Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Aldine_ISD_Grade 3 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.12,0.04,-0.07,0.01,-0.14,0.04,-0.12,0.05,-0.13,0.03,-0.16,0.04
Aldine_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.28,0.11,-0.20,0.07,-0.30,0.12,-0.33,0.08,-0.27,0.11,-0.31,0.12
Aldine_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,0.62,-0.17,0.62,-0.37,0.37,-0.38,0.26,-0.37,0.40,-0.47,0.24,-0.37,0.36,-0.39,0.39
Aldine_ISD_Grade 3 Reading_At Masters Grade Level,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,0.19,-0.08,0.20,-0.11,0.04,-0.09,0.04,-0.12,0.04,-0.18,0.03,-0.12,0.03,-0.12,0.04
Aldine_ISD_Grade 3 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,0.39,-0.07,0.39,-0.16,0.14,-0.12,0.14,-0.17,0.13,-0.11,0.17,-0.15,0.13,-0.18,0.12
Aldine_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,0.67,-0.08,0.68,-0.24,0.42,-0.22,0.39,-0.25,0.42,-0.27,0.43,-0.24,0.41,-0.27,0.40
Aldine_ISD_Grade 4 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,0.21,-0.08,0.22,-0.12,0.07,-0.04,0.03,-0.14,0.07,-0.08,0.13,-0.12,0.06,-0.13,0.08
Aldine_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.23,0.16,-0.14,0.09,-0.26,0.17,-0.09,0.27,-0.22,0.16,-0.26,0.17
Aldine_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.35,0.37,-0.32,0.24,-0.36,0.40,-0.18,0.48,-0.35,0.36,-0.37,0.40
Aldine_ISD_Grade 4 Reading_At Masters Grade Level,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.07,0.04,-0.05,0.03,-0.08,0.04,-0.05,0.08,-0.07,0.04,-0.06,0.04
Aldine_ISD_Grade 4 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.17,0.14,-0.09,0.13,-0.18,0.14,-0.05,0.29,-0.17,0.13,-0.16,0.13
Aldine_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.28,0.39,-0.22,0.34,-0.30,0.39,-0.10,0.53,-0.28,0.38,-0.30,0.38
Aldine_ISD_Grade 5 Mathematics+_At Masters Grade Level,Aldine_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.19,0.09,-0.16,0.03,-0.20,0.10,-0.29,0.04,-0.18,0.09,-0.17,0.11
Aldine_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.28,0.23,-0.24,0.14,-0.29,0.25,-0.21,0.25,-0.27,0.23,-0.28,0.25
Aldine_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.37,0.51,-0.41,0.38,-0.37,0.54,-0.33,0.52,-0.38,0.50,-0.38,0.54
Aldine_ISD_Grade 5 Reading+_At Masters Grade Level,Aldine_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,-0.04,0.12,-0.03,0.10,-0.04,0.12,-0.08,0.15,-0.03,0.12,-0.01,0.11
Aldine_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.13,0.25,-0.13,0.21,-0.14,0.25,-0.07,0.35,-0.13,0.24,-0.10,0.23
Aldine_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.24,0.56,-0.26,0.48,-0.25,0.57,-0.10,0.63,-0.25,0.54,-0.25,0.55
Aldine_ISD_Grade 5 Science_At Masters Grade Level,Aldine_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.08,0.02,-0.05,0.02,-0.09,0.02,-0.14,0.04,-0.08,0.02,-0.07,0.02
Aldine_ISD_Grade 5 Science_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.22,0.10,-0.15,0.09,-0.24,0.09,-0.31,0.10,-0.22,0.09,-0.21,0.08
Aldine_ISD_Grade 5 Science_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,0.62,-0.13,0.62,-0.25,0.38,-0.23,0.31,-0.27,0.38,-0.17,0.48,-0.26,0.36,-0.26,0.36
Alief_ISD_Grade 3 Mathematics_At Masters Grade Level,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,0.14,-0.10,0.15,-0.11,0.05,-0.11,0.05,-0.08,0.04,-0.12,0.06,-0.10,0.05,-0.11,0.05
Alief_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.31,-0.20,0.16,-0.21,0.14,-0.18,0.13,-0.25,0.14,-0.20,0.15,-0.19,0.17
