Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-11%,63%,-11%,52%,-13%,63%,4%,78%,-12%,61%,-10%,64%
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,74%,na,63%,na,76%,na,74%,na,73%,na,74%
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-11%,31%,-14%,17%,-12%,31%,-4%,37%,-14%,26%,-12%,30%
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,42%,na,31%,na,43%,na,41%,na,40%,na,42%
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-10%,13%,-15%,7%,-11%,13%,0%,15%,-11%,12%,-6%,14%
CHANNELVIEW_ISD_Grade 3 Reading,CHANNELVIEW_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,23%,na,22%,na,24%,na,15%,na,23%,na,20%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-21%,61%,-19%,46%,-22%,62%,-13%,67%,-23%,59%,-21%,64%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,82%,na,65%,na,84%,na,80%,na,82%,na,85%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-21%,29%,-20%,17%,-23%,29%,-17%,30%,-21%,27%,-17%,32%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,50%,na,37%,na,52%,na,47%,na,48%,na,49%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-11%,12%,-8%,4%,-12%,12%,-15%,7%,-11%,10%,-10%,14%
CHANNELVIEW_ISD_Grade 3 Mathematics,CHANNELVIEW_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,23%,na,12%,na,24%,na,22%,na,21%,na,24%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-15%,58%,-15%,47%,-14%,60%,-19%,55%,-17%,55%,-14%,61%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,73%,na,62%,na,74%,na,74%,na,72%,na,75%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-7%,26%,-9%,16%,-6%,28%,-19%,18%,-6%,26%,-5%,29%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,33%,na,25%,na,34%,na,37%,na,32%,na,34%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-4%,9%,2%,8%,-5%,8%,-8%,9%,-5%,8%,-4%,10%
CHANNELVIEW_ISD_Grade 4 Reading,CHANNELVIEW_ISD,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,13%,na,6%,na,13%,na,17%,na,13%,na,14%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-23%,59%,-34%,39%,-23%,60%,-21%,57%,-24%,57%,-22%,64%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,82%,na,73%,na,83%,na,78%,na,81%,na,86%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-20%,32%,-9%,20%,-20%,34%,-30%,27%,-19%,32%,-23%,36%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,52%,na,29%,na,54%,na,57%,na,51%,na,59%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-11%,19%,-2%,12%,-14%,19%,-4%,16%,-12%,18%,-15%,23%
CHANNELVIEW_ISD_Grade 4 Mathematics,CHANNELVIEW_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,30%,na,14%,na,33%,na,20%,na,30%,na,38%
