Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,72%,66%,70%,80%,*,88%,*,76%,39%,60%,72%,68%,68%,69%
,2018,77%,77%,73%,66%,72%,80%,57%,95%,-,86%,41%,66%,74%,68%,70%,71%
At Meets Grade Level or Above,2019,45%,46%,37%,27%,35%,45%,*,75%,*,53%,17%,28%,37%,38%,33%,33%
,2018,43%,44%,35%,32%,32%,44%,29%,67%,-,41%,25%,17%,35%,32%,31%,30%
At Masters Grade Level,2019,27%,28%,21%,14%,19%,27%,*,50%,*,32%,2%,19%,21%,21%,17%,16%
,2018,25%,25%,17%,14%,15%,24%,14%,48%,-,17%,6%,6%,18%,12%,14%,12%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,75%,62%,74%,82%,*,92%,*,82%,44%,72%,75%,72%,72%,73%
,2018,78%,79%,73%,64%,74%,77%,57%,90%,-,73%,40%,66%,74%,66%,71%,75%
At Meets Grade Level or Above,2019,49%,49%,41%,28%,41%,48%,*,71%,*,61%,21%,32%,42%,36%,37%,40%
,2018,47%,48%,39%,28%,39%,45%,14%,71%,-,40%,22%,34%,40%,31%,36%,42%
At Masters Grade Level,2019,25%,25%,19%,11%,19%,23%,*,54%,*,24%,7%,19%,20%,14%,17%,20%
,2018,23%,24%,15%,9%,16%,18%,14%,48%,-,10%,6%,9%,16%,10%,14%,17%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,71%,66%,71%,73%,40%,95%,*,78%,31%,72%,72%,67%,67%,70%
,2018,73%,73%,67%,62%,65%,77%,*,86%,*,69%,35%,70%,68%,66%,64%,65%
At Meets Grade Level or Above,2019,44%,45%,37%,32%,36%,45%,40%,64%,*,31%,18%,38%,38%,35%,33%,33%
,2018,46%,46%,38%,33%,35%,49%,*,62%,*,45%,17%,27%,38%,37%,33%,33%
At Masters Grade Level,2019,22%,23%,16%,11%,16%,21%,20%,50%,*,9%,6%,11%,17%,13%,14%,14%
,2018,24%,25%,18%,13%,17%,25%,*,38%,*,24%,3%,11%,18%,17%,14%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,71%,66%,71%,75%,80%,91%,*,69%,35%,74%,72%,70%,68%,71%
,2018,78%,80%,75%,68%,74%,81%,*,95%,*,66%,37%,81%,75%,73%,71%,77%
At Meets Grade Level or Above,2019,48%,49%,41%,29%,42%,45%,60%,73%,*,41%,20%,36%,41%,40%,37%,42%
,2018,49%,51%,41%,31%,41%,48%,*,71%,*,34%,17%,43%,42%,36%,37%,44%
At Masters Grade Level,2019,28%,30%,22%,13%,22%,26%,0%,68%,*,19%,8%,17%,22%,19%,19%,23%
,2018,27%,29%,20%,13%,18%,26%,*,62%,*,17%,3%,16%,21%,16%,17%,19%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,83%,82%,81%,91%,80%,96%,*,72%,41%,76%,84%,80%,80%,81%
,2018,84%,83%,80%,72%,78%,87%,*,96%,*,88%,41%,92%,81%,75%,76%,81%
At Meets Grade Level or Above,2019,54%,54%,43%,36%,41%,52%,40%,79%,*,44%,15%,34%,44%,39%,37%,40%
,2018,54%,54%,46%,39%,44%,55%,*,71%,*,62%,18%,45%,47%,43%,42%,42%
At Masters Grade Level,2019,29%,30%,21%,17%,19%,29%,40%,50%,*,22%,4%,14%,22%,17%,16%,18%
