Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,63%,63%,54%,76%,*,86%,*,63%,32%,*,63%,62%,55%,59%
,2019,76%,76%,78%,81%,70%,88%,-,93%,-,100%,45%,43%,83%,71%,72%,71%
At Meets Grade Level or Above,2021,39%,39%,31%,30%,22%,47%,*,58%,*,38%,13%,*,34%,28%,23%,31%
,2019,45%,46%,56%,51%,48%,76%,-,78%,-,63%,35%,29%,60%,49%,47%,48%
At Masters Grade Level,2021,19%,20%,14%,12%,9%,21%,*,40%,*,13%,0%,*,15%,13%,11%,15%
,2019,27%,28%,37%,36%,29%,52%,-,58%,-,38%,20%,0%,40%,33%,29%,30%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,49%,42%,39%,69%,*,91%,*,50%,13%,*,46%,53%,40%,44%
,2019,79%,79%,80%,75%,76%,88%,-,95%,-,88%,55%,57%,82%,75%,75%,76%
At Meets Grade Level or Above,2021,31%,31%,19%,14%,9%,33%,*,63%,*,25%,5%,*,22%,16%,14%,20%
,2019,49%,49%,51%,45%,43%,70%,-,82%,-,38%,30%,29%,53%,48%,41%,46%
At Masters Grade Level,2021,14%,15%,8%,5%,2%,14%,*,40%,*,13%,3%,*,9%,7%,5%,9%
,2019,25%,25%,30%,20%,21%,61%,-,64%,-,0%,25%,14%,34%,23%,19%,23%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,54%,52%,43%,75%,-,79%,*,67%,22%,56%,54%,54%,45%,52%
,2019,75%,75%,79%,80%,72%,92%,-,96%,*,86%,30%,83%,81%,77%,73%,75%
At Meets Grade Level or Above,2021,36%,37%,25%,29%,17%,38%,-,37%,*,50%,11%,0%,26%,25%,18%,21%
,2019,44%,45%,45%,42%,39%,59%,-,69%,*,50%,7%,17%,50%,41%,38%,46%
At Masters Grade Level,2021,17%,18%,9%,8%,8%,16%,-,11%,*,17%,0%,0%,9%,8%,5%,7%
,2019,22%,23%,23%,22%,18%,24%,-,50%,*,21%,0%,17%,27%,20%,19%,22%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,50%,45%,42%,66%,-,74%,*,71%,30%,56%,50%,51%,41%,47%
,2019,75%,76%,74%,71%,67%,81%,-,96%,*,86%,27%,67%,74%,74%,68%,75%
At Meets Grade Level or Above,2021,36%,37%,23%,25%,14%,34%,-,46%,*,29%,8%,33%,24%,22%,16%,22%
,2019,48%,49%,44%,41%,36%,59%,-,79%,*,43%,17%,17%,45%,44%,39%,46%
At Masters Grade Level,2021,21%,22%,12%,9%,6%,22%,-,30%,*,29%,0%,0%,12%,11%,6%,11%
,2019,28%,30%,28%,27%,19%,35%,-,65%,*,29%,10%,17%,31%,25%,21%,26%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,71%,72%,66%,74%,-,85%,*,71%,40%,*,70%,72%,65%,65%
,2019,86%,86%,84%,79%,82%,94%,-,95%,-,100%,59%,71%,88%,82%,81%,83%
At Meets Grade Level or Above,2021,46%,47%,45%,40%,41%,55%,-,64%,*,43%,21%,*,45%,45%,38%,35%
,2019,54%,54%,51%,49%,43%,64%,-,77%,-,64%,24%,57%,60%,43%,45%,45%
