Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,42%,39%,42%,43%,*,74%,*,61%,23%,35%,43%,38%,41%,40%
,2019,76%,76%,66%,61%,67%,70%,*,89%,67%,66%,38%,52%,66%,63%,65%,67%
At Meets Grade Level or Above,2021,39%,39%,14%,14%,13%,17%,*,38%,*,31%,13%,12%,14%,13%,13%,12%
,2019,45%,46%,30%,26%,30%,28%,*,49%,11%,38%,20%,17%,30%,29%,28%,30%
At Masters Grade Level,2021,19%,20%,4%,4%,4%,3%,*,18%,*,11%,0%,3%,4%,4%,3%,4%
,2019,27%,28%,15%,13%,16%,21%,*,23%,0%,14%,3%,11%,16%,15%,15%,16%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,37%,26%,40%,24%,*,68%,*,38%,26%,31%,39%,28%,36%,39%
,2019,79%,79%,74%,64%,77%,71%,*,94%,78%,60%,43%,77%,76%,67%,73%,78%
At Meets Grade Level or Above,2021,31%,31%,11%,7%,12%,8%,*,47%,*,19%,13%,13%,12%,9%,11%,12%
,2019,49%,49%,39%,27%,42%,41%,*,72%,33%,43%,23%,34%,41%,30%,38%,43%
At Masters Grade Level,2021,14%,15%,4%,1%,4%,5%,*,35%,*,3%,3%,6%,4%,3%,3%,4%
,2019,25%,25%,16%,8%,18%,17%,*,40%,11%,13%,6%,14%,17%,11%,16%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,39%,34%,39%,53%,*,63%,22%,35%,21%,32%,40%,34%,38%,38%
,2019,75%,75%,67%,56%,69%,63%,63%,89%,86%,81%,32%,58%,69%,61%,66%,68%
At Meets Grade Level or Above,2021,36%,37%,14%,13%,14%,29%,*,34%,11%,15%,16%,7%,14%,13%,13%,13%
,2019,44%,45%,31%,22%,32%,34%,38%,70%,43%,35%,18%,21%,32%,27%,30%,29%
At Masters Grade Level,2021,17%,18%,4%,3%,4%,8%,*,9%,0%,4%,2%,3%,4%,3%,4%,4%
,2019,22%,23%,11%,8%,12%,13%,13%,39%,7%,13%,3%,5%,11%,11%,11%,10%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,37%,24%,40%,48%,*,69%,11%,27%,23%,32%,39%,30%,36%,40%
,2019,75%,76%,72%,56%,76%,66%,88%,93%,79%,61%,39%,70%,74%,66%,71%,77%
At Meets Grade Level or Above,2021,36%,37%,16%,9%,17%,27%,*,51%,0%,12%,17%,13%,17%,13%,16%,17%
,2019,48%,49%,39%,23%,43%,36%,13%,80%,57%,26%,24%,36%,41%,32%,38%,43%
At Masters Grade Level,2021,21%,22%,7%,3%,7%,13%,*,29%,0%,4%,5%,1%,7%,5%,6%,8%
,2019,28%,30%,19%,7%,21%,21%,0%,57%,21%,10%,6%,14%,20%,13%,18%,21%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,56%,48%,57%,63%,67%,77%,80%,50%,29%,40%,57%,52%,54%,55%
,2019,86%,86%,80%,74%,82%,73%,100%,83%,*,81%,41%,71%,82%,77%,79%,80%
At Meets Grade Level or Above,2021,46%,47%,25%,21%,25%,35%,33%,49%,20%,25%,19%,16%,26%,21%,24%,23%
