Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.84,1.00,0.67,-,-,0.91,-,-,*,0.91,*,0.80,0.79
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.73,*,0.78,*,-,0.78,-,-,*,0.70,*,0.83,0.71
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.76,0.80,0.67,-,-,0.82,-,-,*,0.86,*,0.67,0.74
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.32,*,0.22,*,-,0.44,-,-,*,0.35,*,0.42,0.29
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.40,0.60,0.11,-,-,0.55,-,-,*,0.45,*,0.33,0.37
Alief_Montessori_Community_Grade 3 Reading,Alief_Montessori_Community,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.18,*,0.11,*,-,0.22,-,-,*,0.20,*,0.17,0.14
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.84,1.00,0.67,-,-,0.91,-,-,*,0.86,*,0.87,0.79
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.59,*,0.33,*,-,0.89,-,-,*,0.65,*,0.67,0.57
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.48,0.40,0.33,-,-,0.64,-,-,*,0.55,*,0.33,0.47
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.41,*,0.22,*,-,0.56,-,-,*,0.45,*,0.42,0.38
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.32,0.40,0.00,-,-,0.55,-,-,*,0.36,*,0.13,0.32
Alief_Montessori_Community_Grade 3 Mathematics,Alief_Montessori_Community,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.18,*,0.11,*,-,0.33,-,-,*,0.20,*,0.17,0.14
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,1.00,*,1.00,*,-,1.00,-,*,*,1.00,*,1.00,1.00
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.72,0.60,0.69,*,-,0.86,-,-,*,0.68,0.86,0.70,0.74
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.48,*,0.22,*,-,0.71,-,*,*,0.47,*,0.36,0.47
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.28,0.40,0.25,*,-,0.29,-,-,*,0.18,0.57,0.25,0.22
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.19,*,0.00,*,-,0.29,-,*,*,0.18,*,0.21,0.12
Alief_Montessori_Community_Grade 4 Reading,Alief_Montessori_Community,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.14,0.00,0.19,*,-,0.14,-,-,*,0.14,0.14,0.15,0.13
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.57,*,0.33,*,-,0.86,-,*,*,0.59,*,0.50,0.59
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.59,0.60,0.50,*,-,0.71,-,-,*,0.55,0.71,0.55,0.61
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.43,*,0.11,*,-,0.86,-,*,*,0.53,*,0.43,0.47
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.14,0.00,0.13,*,-,0.29,-,-,*,0.09,0.29,0.15,0.17
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.24,*,0.00,*,-,0.43,-,*,*,0.29,*,0.21,0.24
Alief_Montessori_Community_Grade 4 Mathematics,Alief_Montessori_Community,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.03,0.00,0.00,*,-,0.14,-,-,*,0.05,0.00,0.05,0.04
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.83,*,0.87,*,-,*,-,-,0.63,0.83,0.83,0.90,0.76
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.92,1.00,0.80,*,-,1.00,-,-,*,0.91,*,0.93,0.87
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.54,*,0.67,*,-,*,-,-,0.25,0.50,0.67,0.60,0.53
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.85,1.00,0.80,*,-,0.80,-,-,*,0.82,*,0.87,0.73
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.25,*,0.40,*,-,*,-,-,0.00,0.22,0.33,0.25,0.24
Alief_Montessori_Community_Grade 5 Reading,Alief_Montessori_Community,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.50,0.60,0.30,*,-,0.60,-,-,*,0.55,*,0.47,0.40
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.75,*,0.80,*,-,*,-,-,0.38,0.78,0.67,0.75,0.71
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.92,0.80,0.90,*,-,1.00,-,-,*,0.95,*,1.00,0.93
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.33,*,0.33,*,-,*,-,-,0.00,0.44,0.00,0.35,0.29
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.58,0.40,0.30,*,-,0.90,-,-,*,0.68,*,0.60,0.53
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.04,*,0.07,*,-,*,-,-,0.00,0.06,0.00,0.05,0.06
Alief_Montessori_Community_Grade 5 Mathematics,Alief_Montessori_Community,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.31,0.20,0.10,*,-,0.50,-,-,*,0.36,*,0.33,0.27
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.42,*,0.47,*,-,*,-,-,0.00,0.44,0.33,0.45,0.47
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.81,0.60,0.70,*,-,1.00,-,-,*,0.86,*,0.80,0.80
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.08,*,0.13,*,-,*,-,-,0.00,0.06,0.17,0.10,0.06
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.19,0.40,0.00,*,-,0.20,-,-,*,0.23,*,0.20,0.20
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.00,*,0.00,*,-,*,-,-,0.00,0.00,0.00,0.00,0.00
Alief_Montessori_Community_Grade 5 Science,Alief_Montessori_Community,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.12,0.20,0.00,*,-,0.10,-,-,*,0.14,*,0.07,0.07
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.91,1.00,0.75,-,-,1.00,-,-,*,0.90,*,0.92,0.85
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.95,*,1.00,*,-,*,-,-,-,1.00,0.88,0.91,1.00
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.83,1.00,0.75,-,-,0.80,-,-,*,0.80,*,0.83,0.69
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.58,*,0.64,*,-,*,-,-,-,0.73,0.38,0.64,0.50
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.48,0.40,0.25,-,-,0.70,-,-,*,0.50,*,0.25,0.31
Alief_Montessori_Community_Grade 6 Reading,Alief_Montessori_Community,Grade 6 Reading,At Masters Grade Level,2021,0.15,0.16,0.26,*,0.36,*,-,*,-,-,-,0.36,0.13,0.27,0.20
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.91,0.80,0.88,-,-,1.00,-,-,*,0.95,*,0.83,0.92
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.89,*,1.00,*,-,*,-,-,-,0.91,0.88,0.82,0.90
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.40,0.70,0.60,0.38,-,-,1.00,-,-,*,0.70,*,0.58,0.62
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.58,*,0.73,*,-,*,-,-,-,0.64,0.50,0.45,0.60
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Masters Grade Level,2022,0.16,0.18,0.43,0.40,0.13,-,-,0.70,-,-,*,0.50,*,0.25,0.31
Alief_Montessori_Community_Grade 6 Mathematics,Alief_Montessori_Community,Grade 6 Mathematics,At Masters Grade Level,2021,0.15,0.17,0.16,*,0.09,*,-,*,-,-,-,0.18,0.13,0.09,0.20
Alief_Montessori_Community_Grade 7 Reading,Alief_Montessori_Community,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.80,0.81,0.93,*,0.91,*,-,*,-,-,*,1.00,0.83,0.90,0.88
Alief_Montessori_Community_Grade 7 Reading,Alief_Montessori_Community,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,1.00,*,*,*,-,*,-,-,*,1.00,*,1.00,1.00
Alief_Montessori_Community_Grade 7 Reading,Alief_Montessori_Community,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.53,*,0.64,*,-,*,-,-,*,0.67,0.33,0.40,0.50
Alief_Montessori_Community_Grade 7 Reading,Alief_Montessori_Community,Grade 7 Reading,At Meets Grade Level or Above,2021,0.45,0.47,0.50,*,*,*,-,*,-,-,*,0.44,*,0.60,0.43
