Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
_Grade 3 Mathematics_At Approaches Grade Level or Above,,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,-0.03,0.72,0.08,0.76,-0.1,0.65,-0.02,0.83,-0.04,0.71,-0.11,0.67
_Grade 3 Mathematics_At Meets Grade Level or Above,,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,-0.03,0.35,0.001,0.38,-0.1,0.24,0.12,0.58,-0.02,0.32,-0.02,0.31
_Grade 3 Mathematics_At Masters Grade Level,,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,-0.05,0.13,-0.07,0.15,-0.03,0.09,-0.15,0.08,-0.06,0.11,-0.02,0.12
_Grade 3 Reading_At Meets Grade Level or Above,,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.001,0.38,-0.06,0.38,0.001,0.3,-0.04,0.5,-0.01,0.35,-0.03,0.31
_Grade 3 Reading_At Masters Grade Level,,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.03,0.23,-0.04,0.25,0.07,0.18,0.02,0.17,0.04,0.22,0.05,0.21
_Grade 4 Mathematics_At Approaches Grade Level or Above,,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,0.02,0.83,-0.02,0.82,0.07,0.84,-0.1,0.82,0.02,0.82,0.04,0.82
_Grade 4 Mathematics_At Meets Grade Level or Above,,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,-0.12,0.49,-0.25,0.45,-0.02,0.5,-0.3,0.45,-0.12,0.45,-0.13,0.42
_Grade 4 Mathematics_At Masters Grade Level,,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,-0.05,0.27,-0.15,0.23,0.1,0.29,-0.58,0.09,-0.03,0.25,-0.08,0.19
_Grade 4 Reading_At Approaches Grade Level or Above,,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,-0.02,0.66,-0.14,0.66,0.08,0.64,-0.09,0.82,0.01,0.65,0.04,0.66
_Grade 4 Reading_At Meets Grade Level or Above,,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.06,0.39,-0.25,0.37,0.05,0.36,-0.09,0.36,-0.07,0.35,-0.02,0.35
_Grade 4 Reading_At Masters Grade Level,,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.03,0.18,-0.11,0.23,0.06,0.12,-0.09,0.18,-0.05,0.15,-0.07,0.11
_Grade 5 Mathematics+_At Approaches Grade Level or Above,,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,0.02,0.89,0.07,0.92,-0.01,0.85,0.17,1,0.02,0.88,0.001,0.88
_Grade 5 Mathematics+_At Meets Grade Level or Above,,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,0.15,0.62,0.29,0.74,0.07,0.49,0.38,0.8,0.14,0.59,0.09,0.56
_Grade 5 Mathematics+_At Masters Grade Level,,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.18,0.38,0.29,0.48,0.1,0.26,0.17,0.5,0.17,0.37,0.12,0.31
_Grade 5 Reading+_At Approaches Grade Level or Above,,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,0.09,0.88,0.1,0.9,0.09,0.83,0.08,1,0.09,0.87,0.1,0.85
_Grade 5 Reading+_At Meets Grade Level or Above,,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,0.09,0.54,0.16,0.7,0.03,0.39,0.22,0.8,0.09,0.51,0.07,0.45
_Grade 5 Reading+_At Masters Grade Level,,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.05,0.31,0.08,0.41,0.01,0.19,0.08,0.5,0.07,0.29,0.06,0.26
_Grade 5 Science_At Approaches Grade Level or Above,,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,0.01,0.67,0.02,0.75,0.04,0.6,0.05,0.8,0.01,0.65,-0.03,0.6
_Grade 5 Science_At Meets Grade Level or Above,,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.12,0.37,0.15,0.44,0.08,0.27,0.08,0.5,0.11,0.32,0.05,0.27
_Grade 5 Science_At Masters Grade Level,,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.11,0.15,0.15,0.21,0.06,0.08,0.12,0.2,0.1,0.13,0.1,0.11
_Grade 6 Mathematics_At Approaches Grade Level or Above,,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.001,0.81,-0.02,0.76,0.02,0.82,0.15,0.9,0.02,0.81,0.04,0.84
_Grade 6 Mathematics_At Meets Grade Level or Above,,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,-0.03,0.43,0.05,0.41,-0.03,0.4,0.08,0.5,-0.02,0.41,-0.02,0.4
_Grade 6 Mathematics_At Masters Grade Level,,Grade 6 Mathematics,At Masters Grade Level,2019,0.03,0.21,0.02,0.22,0.001,0.17,0.03,0.17,0.001,0.13,0.23,0.4,0.01,0.16,-0.01,0.13
_Grade 6 Reading_At Approaches Grade Level or Above,,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,-0.05,0.67,-0.07,0.67,-0.04,0.63,0.1,0.8,-0.05,0.66,-0.04,0.62
_Grade 6 Reading_At Meets Grade Level or Above,,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,-0.01,0.33,0.1,0.39,-0.03,0.29,0.001,0.4,0.01,0.32,-0.07,0.23
_Grade 6 Reading_At Masters Grade Level,,Grade 6 Reading,At Masters Grade Level,2019,-0.01,0.18,-0.01,0.19,0.02,0.15,0.13,0.2,-0.02,0.11,0.001,0.1,0.03,0.14,-0.03,0.09
Aldine_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,-0.02,0.74,-0.04,0.64,-0.01,0.77,-0.05,0.71,-0.03,0.73,-0.02,0.78
Aldine_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,0.001,0.39,-0.03,0.27,0.01,0.42,-0.08,0.41,-0.01,0.38,0.01,0.43
Aldine_ISD_Grade 3 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,0.001,0.16,-0.01,0.08,0.01,0.18,-0.04,0.17,0.001,0.16,0.02,0.2
Aldine_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,-0.01,0.76,-0.01,0.76,-0.04,0.66,-0.02,0.61,-0.04,0.67,-0.07,0.7,-0.04,0.65,-0.04,0.67
Aldine_ISD_Grade 3 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.02,0.3,0.001,0.26,0.02,0.3,-0.13,0.28,0.01,0.28,0.02,0.3
Aldine_ISD_Grade 3 Reading_At Masters Grade Level,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.03,0.15,0.02,0.13,0.04,0.16,0.01,0.21,0.04,0.15,0.04,0.16
Aldine_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,-0.07,0.72,-0.11,0.56,-0.07,0.76,-0.05,0.66,-0.08,0.71,-0.07,0.77
Aldine_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,-0.05,0.39,-0.1,0.23,-0.04,0.43,-0.09,0.36,-0.06,0.38,-0.05,0.43
Aldine_ISD_Grade 4 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,-0.01,0.19,-0.07,0.07,0.001,0.21,-0.02,0.21,-0.02,0.18,-0.01,0.21
Aldine_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,0.04,0.67,0.001,0.56,0.04,0.69,-0.03,0.63,0.04,0.66,0.03,0.68
Aldine_ISD_Grade 4 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.01,0.31,-0.07,0.22,0.001,0.32,-0.08,0.34,-0.01,0.3,-0.02,0.29
Aldine_ISD_Grade 4 Reading_At Masters Grade Level,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.01,0.11,-0.03,0.08,0.001,0.12,-0.06,0.13,-0.01,0.11,-0.02,0.1
Aldine_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,0.02,0.88,0.001,0.79,0.03,0.91,0.02,0.85,0.03,0.88,0.04,0.92
Aldine_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,0.04,0.51,0.04,0.38,0.04,0.54,-0.06,0.46,0.04,0.5,0.01,0.53
Aldine_ISD_Grade 5 Mathematics+_At Masters Grade Level,Aldine_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.08,0.28,0.06,0.19,0.08,0.3,0.1,0.33,0.07,0.27,0.04,0.28
Aldine_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,0.06,0.8,0.07,0.74,0.06,0.82,-0.03,0.73,0.06,0.79,0.05,0.8
Aldine_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,0.02,0.38,0.03,0.34,0.02,0.39,-0.01,0.42,0.02,0.37,-0.03,0.33
