Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL,Zipcode
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2021_2022,0.07,0.21,0.07,0.22,0.04,0.08,0.04,0.05,0.04,0.08,0.04,0.09,0.05,0.08,0.04,0.08,77073
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2021_2022,0.07,0.21,0.07,0.22,0.04,0.08,0.04,0.05,0.04,0.08,0.04,0.09,0.05,0.08,0.04,0.08,77073
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.15,0.52,0.14,0.4,0.14,0.54,0.32,0.56,0.15,0.51,0.15,0.54,77073
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.15,0.52,0.14,0.4,0.14,0.54,0.32,0.56,0.15,0.51,0.15,0.54,77073
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.13,0.24,0.09,0.16,0.13,0.25,0.19,0.27,0.12,0.23,0.12,0.24,77073
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.13,0.24,0.09,0.16,0.13,0.25,0.19,0.27,0.12,0.23,0.12,0.24,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.17,0.59,0.16,0.55,0.18,0.6,0.13,0.56,0.17,0.58,0.17,0.57,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.17,0.59,0.16,0.55,0.18,0.6,0.13,0.56,0.17,0.58,0.17,0.57,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2021_2022,0.11,0.3,0.11,0.31,0.08,0.12,0.05,0.09,0.09,0.13,0.09,0.12,0.09,0.12,0.07,0.11,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2021_2022,0.11,0.3,0.11,0.31,0.08,0.12,0.05,0.09,0.09,0.13,0.09,0.12,0.09,0.12,0.07,0.11,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.16,0.3,0.12,0.26,0.17,0.3,0.21,0.38,0.16,0.29,0.15,0.27,77073
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.16,0.3,0.12,0.26,0.17,0.3,0.21,0.38,0.16,0.29,0.15,0.27,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2021_2022,0.02,0.23,0.02,0.24,0.03,0.1,0.01,0.04,0.05,0.12,-0.08,0.05,0.04,0.1,0.04,0.12,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2021_2022,0.02,0.23,0.02,0.24,0.03,0.1,0.01,0.04,0.05,0.12,-0.08,0.05,0.04,0.1,0.04,0.12,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021_2022,0.07,0.43,0.07,0.44,0.07,0.23,0.03,0.12,0.09,0.26,-0.08,0.19,0.07,0.23,0.1,0.27,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021_2022,0.07,0.43,0.07,0.44,0.07,0.23,0.03,0.12,0.09,0.26,-0.08,0.19,0.07,0.23,0.1,0.27,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.13,0.5,0.13,0.37,0.13,0.53,0,0.48,0.14,0.5,0.13,0.53,77073
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.13,0.5,0.13,0.37,0.13,0.53,0,0.48,0.14,0.5,0.13,0.53,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2021_2022,0.11,0.28,0.12,0.3,0.09,0.13,0.07,0.1,0.1,0.14,0.08,0.16,0.09,0.13,0.1,0.14,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2021_2022,0.11,0.28,0.12,0.3,0.09,0.13,0.07,0.1,0.1,0.14,0.08,0.16,0.09,0.13,0.1,0.14,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.21,0.6,0.22,0.56,0.22,0.61,0.05,0.58,0.22,0.6,0.22,0.6,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.21,0.6,0.22,0.56,0.22,0.61,0.05,0.58,0.22,0.6,0.22,0.6,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.2,0.34,0.18,0.31,0.21,0.35,0.08,0.37,0.21,0.34,0.21,0.34,77073
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.2,0.34,0.18,0.31,0.21,0.35,0.08,0.37,0.21,0.34,0.21,0.34,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Masters Grade Level,2021_2022,0,0.25,0.001,0.26,0.03,0.12,0.03,0.06,0.03,0.13,0.13,0.17,0.02,0.11,0.03,0.14,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Masters Grade Level,2021_2022,0,0.25,0.001,0.26,0.03,0.12,0.03,0.06,0.03,0.13,0.13,0.17,0.02,0.11,0.03,0.14,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021_2022,0.04,0.48,0.04,0.49,0.06,0.29,0.04,0.18,0.07,0.32,0.11,0.36,0.06,0.29,0.07,0.32,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021_2022,0.04,0.48,0.04,0.49,0.06,0.29,0.04,0.18,0.07,0.32,0.11,0.36,0.06,0.29,0.07,0.32,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021_2022,0.07,0.77,0.06,0.76,0.09,0.6,0.08,0.46,0.1,0.64,0.09,0.61,0.1,0.6,0.11,0.65,77073
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021_2022,0.07,0.77,0.06,0.76,0.09,0.6,0.08,0.46,0.1,0.64,0.09,0.61,0.1,0.6,0.11,0.65,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Masters Grade Level,2021_2022,0.06,0.36,0.07,0.38,0.07,0.19,0.04,0.14,0.09,0.21,0.11,0.26,0.07,0.19,0.09,0.2,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Masters Grade Level,2021_2022,0.06,0.36,0.07,0.38,0.07,0.19,0.04,0.14,0.09,0.21,0.11,0.26,0.07,0.19,0.09,0.2,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021_2022,0.08,0.81,0.08,0.81,0.1,0.66,0.11,0.59,0.11,0.68,0.06,0.69,0.12,0.66,0.12,0.67,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021_2022,0.08,0.81,0.08,0.81,0.1,0.66,0.11,0.59,0.11,0.68,0.06,0.69,0.12,0.66,0.12,0.67,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.14,0.39,0.1,0.31,0.15,0.4,0.16,0.51,0.14,0.38,0.17,0.4,77073
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.14,0.39,0.1,0.31,0.15,0.4,0.16,0.51,0.14,0.38,0.17,0.4,77073
Aldine_ISD_Grade 5 Science,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.03,0.41,0.02,0.33,0.05,0.43,0.01,0.49,0.04,0.4,0.05,0.41,77073
Aldine_ISD_Grade 5 Science,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.03,0.41,0.02,0.33,0.05,0.43,0.01,0.49,0.04,0.4,0.05,0.41,77073
