Student Information,District Non SPED Student Count,District Non SPED Percentage of Total Students,State SPED Student Count,State SPED Percentage of Total Students
Kindergarten,0.70%,1.70%,4.60%,6.20%
     Grade 1,4.70%,3.10%,7.50%,5.50%
     Grade 2,3.10%,1.80%,4.30%,2.30%
     Grade 3,2.20%,1.10%,1.20%,0.90%
     Grade 4,1.30%,0.50%,1.30%,0.50%
     Grade 5,0.40%,0.50%,0.20%,0.60%
     Grade 6,1.40%,0.40%,2.00%,0.50%
     Grade 7,1.60%,0.60%,2.30%,0.60%
     Grade 8,1.00%,0.40%,1.10%,0.70%
     Grade 9,13.90%,7.20%,23.10%,12.70%
