Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,74%,67%,53%,84%,-,88%,-,*,38%,*,74%,72%,67%,70%
,2019,76%,76%,89%,86%,83%,98%,*,93%,-,80%,50%,*,90%,88%,87%,85%
At Meets Grade Level or Above,2021,39%,39%,41%,39%,9%,56%,-,52%,-,*,15%,*,42%,38%,31%,32%
,2019,45%,46%,59%,55%,46%,78%,*,64%,-,20%,14%,*,58%,63%,50%,49%
At Masters Grade Level,2021,19%,20%,21%,22%,6%,22%,-,27%,-,*,0%,*,24%,14%,15%,17%
,2019,27%,28%,42%,34%,30%,69%,*,44%,-,0%,14%,*,43%,38%,34%,33%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,63%,54%,48%,59%,-,85%,-,*,31%,*,66%,53%,54%,61%
,2019,79%,79%,86%,89%,72%,91%,*,90%,-,60%,29%,*,87%,82%,83%,81%
At Meets Grade Level or Above,2021,31%,31%,31%,26%,13%,31%,-,46%,-,*,8%,*,32%,29%,21%,28%
,2019,49%,49%,59%,56%,39%,76%,*,69%,-,20%,7%,*,62%,50%,53%,57%
At Masters Grade Level,2021,14%,15%,16%,9%,6%,19%,-,28%,-,*,0%,*,15%,19%,8%,15%
,2019,25%,25%,33%,26%,15%,49%,*,44%,-,0%,0%,*,33%,30%,26%,29%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,74%,72%,49%,81%,-,85%,-,100%,37%,*,77%,68%,70%,71%
,2019,75%,75%,90%,87%,83%,88%,-,97%,-,88%,63%,100%,94%,86%,87%,90%
At Meets Grade Level or Above,2021,36%,37%,46%,47%,22%,50%,-,54%,-,67%,32%,*,49%,38%,38%,38%
,2019,44%,45%,63%,67%,50%,62%,-,71%,-,38%,38%,80%,63%,64%,59%,63%
At Masters Grade Level,2021,17%,18%,23%,20%,7%,38%,-,30%,-,17%,11%,*,25%,17%,16%,22%
,2019,22%,23%,32%,34%,17%,44%,-,36%,-,0%,13%,20%,33%,31%,27%,27%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,68%,69%,38%,70%,-,84%,-,67%,37%,*,70%,65%,62%,69%
,2019,75%,76%,91%,87%,90%,88%,-,97%,-,100%,75%,100%,95%,88%,89%,93%
At Meets Grade Level or Above,2021,36%,37%,48%,47%,27%,48%,-,60%,-,67%,26%,*,50%,45%,42%,48%
,2019,48%,49%,73%,65%,67%,74%,-,90%,-,50%,56%,80%,76%,71%,67%,76%
At Masters Grade Level,2021,21%,22%,27%,24%,11%,33%,-,37%,-,17%,11%,*,28%,24%,24%,29%
,2019,28%,30%,54%,47%,43%,59%,-,71%,-,25%,38%,80%,62%,48%,47%,58%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,81%,76%,73%,96%,*,85%,-,*,63%,-,83%,78%,76%,79%
,2019,86%,86%,98%,96%,96%,100%,-,100%,*,*,82%,100%,98%,98%,97%,99%
At Meets Grade Level or Above,2021,46%,47%,51%,47%,39%,74%,*,50%,-,*,25%,-,53%,48%,41%,42%
,2019,54%,54%,74%,71%,64%,73%,-,85%,*,*,27%,60%,75%,73%,68%,75%
