Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.9,0.8,0.82,0.93,0.86,1
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.9,0.8,0.82,0.93,0.86,1
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.6,0.75,0.87,0.77,1
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.6,0.75,0.87,0.77,1
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.74,0.5,0.68,0.77,0.64,1
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.74,0.5,0.68,0.77,0.64,1
Beta_Academy_Grade 6 Mathematics,Beta_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.92,0.93,0.94,0.8,0.96,0.96
Beta_Academy_Grade 6 Mathematics,Beta_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.92,0.93,0.94,0.8,0.96,0.96
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.87,0.71,0.9,0.85,0.84,0.94
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.87,0.71,0.9,0.85,0.84,0.94
Crosby_ISD_Grade 5 Mathematics,Crosby_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.86,0.7,0.89,0.87,0.81,0.94
Crosby_ISD_Grade 5 Mathematics,Crosby_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.86,0.7,0.89,0.87,0.81,0.94
Beta_Academy_Grade 5 Reading,Beta_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.92,0.87,0.93,0.86,0.9,0.92
Beta_Academy_Grade 5 Reading,Beta_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.92,0.87,0.93,0.86,0.9,0.92
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.92,0.89,0.85,0.91,0.9,0.91
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.92,0.89,0.85,0.91,0.9,0.91
Deer_Park_ISD_Grade 6 Mathematics,Deer_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.87,0.6,0.87,0.89,0.85,0.9
Deer_Park_ISD_Grade 6 Mathematics,Deer_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.87,0.6,0.87,0.89,0.85,0.9
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.9,0.7,0.88,0.92,0.8,0.9
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.9,0.7,0.88,0.92,0.8,0.9
Harmony_Schools_West_Grade 5 Reading,Harmony_Schools_West,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.92,0.93,0.77,0.89,0.9,0.89
Harmony_Schools_West_Grade 5 Reading,Harmony_Schools_West,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.92,0.93,0.77,0.89,0.9,0.89
Harmony_Schools_West_Grade 7 Mathematics,Harmony_Schools_West,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.9,0.86,0.85,0.94,0.89,0.89
Harmony_Schools_West_Grade 7 Mathematics,Harmony_Schools_West,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.9,0.86,0.85,0.94,0.89,0.89
Tomball_ISD_Grade 6 Mathematics,Tomball_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.93,0.84,0.91,0.94,0.86,0.89
Tomball_ISD_Grade 6 Mathematics,Tomball_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.93,0.84,0.91,0.94,0.86,0.89
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.9,0.84,0.86,0.94,0.84,0.89
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.9,0.84,0.86,0.94,0.84,0.89
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.9,0.78,0.87,0.91,0.77,0.89
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.9,0.78,0.87,0.91,0.77,0.89
Katy_ISD_Grade 7 Reading,Katy_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.92,0.87,0.87,0.95,0.86,0.88
Katy_ISD_Grade 7 Reading,Katy_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.92,0.87,0.87,0.95,0.86,0.88
Harmony_Schools_West_Grade 5 Mathematics,Harmony_Schools_West,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.89,0.89,0.73,0.86,0.85,0.88
Harmony_Schools_West_Grade 5 Mathematics,Harmony_Schools_West,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.89,0.89,0.73,0.86,0.85,0.88
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.88,0.85,0.7,0.97,0.84,0.88
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.88,0.85,0.7,0.97,0.84,0.88
Beta_Academy_Grade 6 Mathematics,Beta_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.84,1,0.82,0.8,0.83,0.88
Beta_Academy_Grade 6 Mathematics,Beta_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.84,1,0.82,0.8,0.83,0.88
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.82,0.65,0.86,0.82,0.79,0.88
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.82,0.65,0.86,0.82,0.79,0.88
Katy_ISD_Grade 6 Mathematics,Katy_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.89,0.8,0.84,0.94,0.8,0.87
Katy_ISD_Grade 6 Mathematics,Katy_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.89,0.8,0.84,0.94,0.8,0.87
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.88,0.79,0.84,0.92,0.79,0.87
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.88,0.79,0.84,0.92,0.79,0.87
