Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,89%,86%,83%,98%,*,93%,-,80%,50%,*,90%,88%,87%,85%
,2018,77%,77%,90%,93%,83%,94%,-,89%,-,86%,71%,*,92%,88%,88%,86%
At Meets Grade Level or Above,2019,45%,46%,59%,55%,46%,78%,*,64%,-,20%,14%,*,58%,63%,50%,49%
,2018,43%,44%,58%,66%,32%,53%,-,67%,-,57%,41%,*,59%,58%,54%,47%
At Masters Grade Level,2019,27%,28%,42%,34%,30%,69%,*,44%,-,0%,14%,*,43%,38%,34%,33%
,2018,25%,25%,36%,39%,17%,32%,-,45%,-,29%,0%,*,40%,32%,32%,28%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,86%,89%,72%,91%,*,90%,-,60%,29%,*,87%,82%,83%,81%
,2018,78%,79%,92%,92%,77%,97%,-,99%,-,86%,78%,*,95%,88%,87%,86%
At Meets Grade Level or Above,2019,49%,49%,59%,56%,39%,76%,*,69%,-,20%,7%,*,62%,50%,53%,57%
,2018,47%,48%,65%,62%,51%,59%,-,81%,-,43%,56%,*,68%,62%,59%,59%
At Masters Grade Level,2019,25%,25%,33%,26%,15%,49%,*,44%,-,0%,0%,*,33%,30%,26%,29%
,2018,23%,24%,39%,38%,26%,29%,-,55%,-,29%,33%,*,42%,37%,31%,37%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,90%,87%,83%,88%,-,97%,-,88%,63%,100%,94%,86%,87%,90%
,2018,73%,73%,89%,91%,82%,88%,-,94%,*,100%,61%,100%,88%,90%,86%,93%
At Meets Grade Level or Above,2019,44%,45%,63%,67%,50%,62%,-,71%,-,38%,38%,80%,63%,64%,59%,63%
,2018,46%,46%,65%,59%,57%,63%,-,78%,*,83%,39%,80%,62%,70%,63%,68%
At Masters Grade Level,2019,22%,23%,32%,34%,17%,44%,-,36%,-,0%,13%,20%,33%,31%,27%,27%
,2018,24%,25%,38%,34%,31%,37%,-,50%,*,17%,11%,20%,35%,42%,34%,41%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,91%,87%,90%,88%,-,97%,-,100%,75%,100%,95%,88%,89%,93%
,2018,78%,80%,91%,89%,83%,90%,-,99%,*,83%,55%,100%,90%,91%,90%,93%
At Meets Grade Level or Above,2019,48%,49%,73%,65%,67%,74%,-,90%,-,50%,56%,80%,76%,71%,67%,76%
,2018,49%,51%,67%,65%,48%,65%,-,88%,*,50%,27%,100%,66%,69%,62%,69%
At Masters Grade Level,2019,28%,30%,54%,47%,43%,59%,-,71%,-,25%,38%,80%,62%,48%,47%,58%
,2018,27%,29%,47%,48%,26%,40%,-,70%,*,50%,23%,60%,43%,53%,42%,49%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,98%,96%,96%,100%,-,100%,*,*,82%,100%,98%,98%,97%,99%
,2018,84%,83%,95%,94%,87%,98%,-,99%,*,100%,64%,*,98%,92%,96%,94%
At Meets Grade Level or Above,2019,54%,54%,74%,71%,64%,73%,-,85%,*,*,27%,60%,75%,73%,68%,75%
,2018,54%,54%,76%,78%,57%,67%,-,88%,*,91%,27%,*,81%,68%,75%,68%
At Masters Grade Level,2019,29%,30%,46%,53%,26%,41%,-,57%,*,*,14%,60%,48%,43%,42%,47%
