Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,82%,62%,84%,*,-,*,-,100%,63%,80%,85%,78%,79%,69%
,2019,76%,76%,95%,100%,98%,*,-,*,-,*,*,-,92%,100%,93%,90%
At Meets Grade Level or Above,2021,39%,39%,46%,15%,50%,*,-,*,-,60%,25%,40%,46%,46%,39%,41%
,2019,45%,46%,65%,63%,70%,*,-,*,-,*,*,-,60%,76%,68%,72%
At Masters Grade Level,2021,19%,20%,20%,8%,22%,*,-,*,-,40%,13%,40%,17%,27%,17%,15%
,2019,27%,28%,41%,50%,43%,*,-,*,-,*,*,-,36%,52%,39%,31%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,62%,38%,64%,*,-,*,-,40%,38%,60%,63%,61%,58%,56%
,2019,79%,79%,85%,100%,84%,*,-,*,-,*,*,-,83%,88%,86%,76%
At Meets Grade Level or Above,2021,31%,31%,19%,0%,21%,*,-,*,-,0%,0%,40%,19%,17%,16%,21%
,2019,49%,49%,55%,63%,56%,*,-,*,-,*,*,-,49%,68%,54%,48%
At Masters Grade Level,2021,14%,15%,5%,0%,6%,*,-,*,-,0%,0%,0%,4%,7%,4%,5%
,2019,25%,25%,27%,13%,30%,*,-,*,-,*,*,-,21%,40%,21%,28%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,77%,71%,77%,83%,*,*,-,*,55%,-,75%,79%,74%,83%
,2019,75%,75%,95%,*,94%,100%,-,*,-,-,71%,-,97%,92%,93%,92%
At Meets Grade Level or Above,2021,36%,37%,38%,43%,35%,67%,*,*,-,*,27%,-,31%,47%,33%,35%
,2019,44%,45%,61%,*,61%,40%,-,*,-,-,14%,-,63%,59%,61%,60%
At Masters Grade Level,2021,17%,18%,9%,7%,8%,17%,*,*,-,*,0%,-,4%,16%,13%,3%
,2019,22%,23%,24%,*,24%,40%,-,*,-,-,0%,-,29%,21%,23%,24%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,55%,36%,56%,67%,*,*,-,*,55%,-,50%,60%,56%,60%
,2019,75%,76%,77%,*,75%,100%,-,*,-,-,57%,-,77%,77%,77%,72%
At Meets Grade Level or Above,2021,36%,37%,24%,21%,23%,17%,*,*,-,*,18%,-,19%,30%,26%,28%
,2019,48%,49%,28%,*,28%,20%,-,*,-,-,0%,-,29%,28%,26%,24%
At Masters Grade Level,2021,21%,22%,7%,7%,4%,17%,*,*,-,*,9%,-,6%,9%,7%,10%
,2019,28%,30%,12%,*,13%,0%,-,*,-,-,0%,-,11%,13%,11%,16%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,95%,91%,97%,100%,-,*,-,-,*,*,92%,98%,100%,93%
,2019,86%,86%,97%,90%,98%,-,-,*,-,*,86%,-,97%,97%,96%,100%
At Meets Grade Level or Above,2021,46%,47%,76%,73%,79%,67%,-,*,-,-,*,*,73%,80%,80%,73%
,2019,54%,54%,62%,40%,70%,-,-,*,-,*,29%,-,63%,62%,60%,60%
At Masters Grade Level,2021,30%,31%,51%,64%,49%,50%,-,*,-,-,*,*,42%,59%,51%,46%
,2019,29%,30%,29%,20%,32%,-,-,*,-,*,0%,-,23%,33%,30%,30%
