Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,72%,44%,66%,83%,*,100%,-,67%,40%,76%,73%,66%,64%,64%
,2019,76%,76%,82%,67%,77%,88%,-,86%,-,91%,45%,83%,83%,78%,74%,66%
At Meets Grade Level or Above,2021,39%,39%,42%,0%,35%,52%,*,67%,-,52%,19%,35%,43%,34%,31%,30%
,2019,45%,46%,45%,22%,39%,55%,-,71%,-,27%,18%,40%,46%,40%,33%,32%
At Masters Grade Level,2021,19%,20%,23%,0%,19%,31%,*,44%,-,33%,9%,12%,25%,16%,15%,15%
,2019,27%,28%,25%,6%,20%,33%,-,43%,-,18%,5%,23%,26%,20%,15%,13%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,70%,33%,68%,75%,*,89%,-,52%,41%,88%,72%,62%,62%,72%
,2019,79%,79%,82%,67%,81%,85%,-,86%,-,91%,46%,93%,83%,79%,76%,80%
At Meets Grade Level or Above,2021,31%,31%,35%,0%,32%,39%,*,67%,-,38%,19%,47%,37%,25%,26%,32%
,2019,49%,49%,49%,22%,44%,58%,-,86%,-,41%,24%,60%,52%,39%,38%,42%
At Masters Grade Level,2021,14%,15%,15%,0%,12%,20%,*,44%,-,10%,5%,12%,17%,9%,9%,12%
,2019,25%,25%,22%,6%,17%,29%,-,57%,-,18%,5%,30%,24%,13%,12%,15%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,65%,43%,60%,74%,-,-,-,69%,34%,67%,68%,57%,56%,43%
,2019,75%,75%,80%,62%,75%,88%,*,100%,-,78%,50%,70%,82%,74%,73%,66%
At Meets Grade Level or Above,2021,36%,37%,37%,17%,30%,48%,-,-,-,62%,18%,33%,39%,30%,28%,13%
,2019,44%,45%,45%,33%,37%,61%,*,67%,-,48%,23%,39%,49%,36%,33%,26%
At Masters Grade Level,2021,17%,18%,17%,9%,12%,26%,-,-,-,38%,5%,7%,19%,11%,11%,4%
,2019,22%,23%,22%,14%,16%,32%,*,33%,-,26%,4%,13%,24%,15%,13%,7%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,67%,43%,62%,77%,-,-,-,75%,32%,79%,69%,60%,56%,49%
,2019,75%,76%,83%,67%,80%,89%,*,100%,-,91%,57%,87%,86%,74%,76%,81%
At Meets Grade Level or Above,2021,36%,37%,42%,17%,34%,57%,-,-,-,67%,18%,50%,44%,37%,31%,23%
,2019,48%,49%,54%,29%,48%,64%,*,100%,-,64%,26%,61%,57%,46%,44%,43%
At Masters Grade Level,2021,21%,22%,26%,9%,21%,37%,-,-,-,42%,8%,36%,28%,21%,17%,12%
,2019,28%,30%,33%,24%,26%,44%,*,50%,-,27%,16%,35%,36%,25%,23%,19%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,77%,57%,74%,83%,-,100%,-,74%,50%,78%,79%,73%,69%,66%
,2019,86%,86%,92%,88%,89%,96%,-,100%,-,100%,67%,94%,93%,89%,87%,84%
At Meets Grade Level or Above,2021,46%,47%,48%,26%,42%,58%,-,86%,-,57%,26%,44%,49%,44%,36%,39%
,2019,54%,54%,57%,38%,50%,68%,-,86%,-,67%,28%,44%,59%,51%,47%,44%
