Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.77,0.71,0.68,0.91,1.00,0.94,-,0.93,0.51,0.79,0.72,0.67,0.67
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.71,0.62,0.60,0.92,0.50,0.91,-,0.83,0.40,0.73,0.66,0.56,0.57
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.55,0.41,0.40,0.79,0.80,0.82,-,0.78,0.29,0.56,0.50,0.38,0.38
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.43,0.27,0.27,0.70,0.17,0.72,-,0.62,0.23,0.44,0.39,0.22,0.24
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.35,0.22,0.20,0.57,0.80,0.66,-,0.57,0.13,0.36,0.30,0.18,0.19
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.23,0.10,0.11,0.45,0.00,0.42,-,0.48,0.08,0.24,0.20,0.08,0.09
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.75,0.60,0.67,0.91,1.00,0.93,-,0.93,0.44,0.77,0.68,0.64,0.68
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.69,0.49,0.58,0.91,0.33,0.92,-,0.83,0.46,0.71,0.63,0.54,0.57
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.52,0.31,0.39,0.75,0.80,0.82,-,0.81,0.28,0.54,0.46,0.36,0.39
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.43,0.20,0.28,0.70,0.00,0.81,-,0.62,0.24,0.44,0.39,0.24,0.27
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.29,0.11,0.16,0.47,0.40,0.66,-,0.61,0.12,0.30,0.25,0.14,0.17
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.22,0.06,0.10,0.43,0.00,0.53,-,0.42,0.07,0.23,0.20,0.07,0.09
Spring_Branch_ISD_Grade 4 Reading,Spring_Branch_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.80,0.70,0.71,0.94,0.20,0.95,-,0.91,0.46,0.82,0.72,0.69,0.68
Spring_Branch_ISD_Grade 4 Reading,Spring_Branch_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.66,0.54,0.55,0.88,0.56,0.90,-,0.87,0.36,0.68,0.61,0.51,0.52
Spring_Branch_ISD_Grade 4 Reading,Spring_Branch_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.59,0.47,0.46,0.81,0.20,0.89,-,0.75,0.29,0.62,0.52,0.42,0.42
Spring_Branch_ISD_Grade 4 Reading,Spring_Branch_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.41,0.23,0.26,0.68,0.44,0.68,-,0.69,0.19,0.42,0.37,0.22,0.24
Spring_Branch_ISD_Grade 4 Reading,Spring_Branch_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.34,0.20,0.21,0.53,0.00,0.61,-,0.54,0.08,0.35,0.29,0.18,0.20
