Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.58,*,0.59,*,-,-,-,*,0.71,0.58,0.64,0.59,0.59
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.59,*,0.58,*,-,-,-,-,0.17,0.59,0.57,0.58,0.59
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.31,*,0.31,*,-,-,-,*,0.29,0.28,0.5,0.3,0.3
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.21,*,0.2,*,-,-,-,-,0.17,0.19,0.36,0.2,0.2
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Masters Grade Level,2022,0.3,0.31,0.19,*,0.18,*,-,-,-,*,0.14,0.18,0.21,0.17,0.18
Ser_Ninos_Charter_Grade 3 Reading,Ser_Ninos_Charter,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.2,0.08,*,0.08,*,-,-,-,-,0.00,0.07,0.14,0.07,0.08
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.48,*,0.47,*,-,-,-,*,0.57,0.47,0.57,0.47,0.47
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.47,*,0.46,*,-,-,-,-,0.33,0.48,0.36,0.45,0.47
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.25,*,0.23,*,-,-,-,*,0.29,0.24,0.29,0.23,0.23
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.07,*,0.06,*,-,-,-,-,0.17,0.08,0.0,0.06,0.07
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.09,*,0.09,*,-,-,-,*,0.14,0.09,0.14,0.08,0.08
Ser_Ninos_Charter_Grade 3 Mathematics,Ser_Ninos_Charter,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.05,*,0.05,*,-,-,-,-,0.17,0.06,0.0,0.05,0.05
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.68,*,0.68,*,-,-,-,-,0.33,0.7,0.56,0.68,0.69
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.57,-,0.56,-,*,-,-,-,0.14,0.59,0.43,0.56,0.56
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.42,*,0.41,*,-,-,-,-,0.17,0.4,0.5,0.42,0.42
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.28,-,0.29,-,*,-,-,-,0.00,0.3,0.14,0.29,0.29
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.3,0.21,*,0.22,*,-,-,-,-,0.00,0.2,0.25,0.21,0.22
Ser_Ninos_Charter_Grade 4 Reading,Ser_Ninos_Charter,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.08,-,0.09,-,*,-,-,-,0.00,0.09,0.07,0.09,0.09
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.74,*,0.74,*,-,-,-,-,0.67,0.76,0.63,0.74,0.75
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.41,-,0.42,-,*,-,-,-,0.00,0.45,0.14,0.41,0.42
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.39,*,0.39,*,-,-,-,-,0.33,0.4,0.31,0.39,0.39
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.2,-,0.2,-,*,-,-,-,0.00,0.22,0.07,0.2,0.2
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.12,*,0.12,*,-,-,-,-,0.00,0.12,0.13,0.12,0.12
Ser_Ninos_Charter_Grade 4 Mathematics,Ser_Ninos_Charter,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.07,-,0.07,-,*,-,-,-,0.00,0.08,0.0,0.07,0.07
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.7,-,0.71,-,*,-,-,-,0.33,0.72,0.55,0.71,0.69
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.82,-,0.82,*,*,-,-,-,0.60,0.82,0.84,0.82,0.82
