Students by Grade,District Student Count,District Percentage of Total Students,State Student Count,State Percentage of Total Students,District Non SPED Retention Rate,State Non SPED Retention Rate,District SPED Retention Rate,State SPED Retention Rate,District Class Size Average,State Class Size Average
Early Childhood Education,257,0.10%,"15,122",0.30%,,,,,,
     Pre-Kindergarten,"14,810",7.10%,"238,810",4.40%,,,,,,
     Kindergarten,"15,597",7.50%,"373,435",6.90%,0.70%,1.70%,4.60%,6.20%,19.2,18.9
     Grade 1,"16,534",7.90%,"386,567",7.10%,4.70%,3.10%,7.50%,5.50%,18.9,18.8
     Grade 2,"16,503",7.90%,"387,490",7.20%,3.10%,1.80%,4.30%,2.30%,18.3,18.7
     Grade 3,"16,958",8.10%,"395,637",7.30%,2.20%,1.10%,1.20%,0.90%,18.3,18.9
     Grade 4,"17,256",8.30%,"411,805",7.60%,1.30%,0.50%,1.30%,0.50%,18.4,19.2
     Grade 5,"16,712",8.00%,"417,388",7.70%,0.40%,0.50%,0.20%,0.60%,19.3,21.2
     Grade 6,"14,092",6.70%,"417,587",7.70%,1.40%,0.40%,2.00%,0.50%,22.1,20.4
     Grade 7,"13,478",6.40%,"406,716",7.50%,1.60%,0.60%,2.30%,0.60%,,
     Grade 8,"13,543",6.50%,"404,933",7.50%,1.00%,0.40%,1.10%,0.70%,,
     Grade 9,"15,700",7.50%,"436,449",8.10%,13.90%,7.20%,23.10%,12.70%,,
     Grade 10,"13,769",6.60%,"400,571",7.40%,,,,,,
     Grade 11,"12,240",5.90%,"372,899",6.90%,,,,,,
     Grade 12,"11,591",5.50%,"350,991",6.50%,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
