Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,94%,94%,95%,93%,-,*,-,*,88%,-,94%,96%,96%,*
,2018,77%,77%,87%,78%,77%,95%,-,*,-,83%,60%,*,87%,88%,84%,*
At Meets Grade Level or Above,2019,45%,46%,55%,53%,50%,56%,-,*,-,*,38%,-,59%,43%,43%,*
,2018,43%,44%,50%,67%,50%,50%,-,*,-,17%,30%,*,52%,46%,42%,*
At Masters Grade Level,2019,27%,28%,35%,24%,23%,42%,-,*,-,*,25%,-,40%,22%,35%,*
,2018,25%,25%,30%,33%,31%,32%,-,*,-,17%,20%,*,29%,33%,23%,*
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,84%,94%,77%,82%,-,*,-,*,38%,-,83%,87%,91%,*
,2018,78%,79%,78%,78%,65%,84%,-,*,-,83%,50%,*,77%,79%,74%,*
At Meets Grade Level or Above,2019,49%,49%,43%,47%,18%,51%,-,*,-,*,25%,-,48%,30%,39%,*
,2018,47%,48%,44%,33%,35%,50%,-,*,-,50%,20%,*,50%,29%,48%,*
At Masters Grade Level,2019,25%,25%,20%,12%,9%,24%,-,*,-,*,13%,-,24%,9%,13%,*
,2018,23%,24%,23%,0%,15%,32%,-,*,-,33%,10%,*,26%,17%,16%,*
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,93%,91%,96%,92%,-,*,-,*,73%,*,92%,94%,90%,*
,2018,73%,73%,73%,83%,45%,82%,-,*,-,*,50%,*,73%,73%,65%,67%
At Meets Grade Level or Above,2019,44%,45%,57%,73%,54%,54%,-,*,-,*,27%,*,60%,53%,45%,*
,2018,46%,46%,55%,83%,30%,63%,-,*,-,*,33%,*,54%,56%,41%,67%
At Masters Grade Level,2019,22%,23%,34%,45%,39%,30%,-,*,-,*,0%,*,35%,32%,14%,*
,2018,24%,25%,28%,17%,10%,35%,-,*,-,*,0%,*,24%,32%,18%,0%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,77%,73%,75%,78%,-,*,-,*,55%,*,81%,71%,66%,*
,2018,78%,80%,77%,100%,64%,80%,-,*,-,*,50%,*,81%,73%,53%,75%
At Meets Grade Level or Above,2019,48%,49%,49%,55%,50%,41%,-,*,-,*,27%,*,52%,44%,45%,*
,2018,49%,51%,39%,50%,18%,49%,-,*,-,*,17%,*,40%,39%,24%,25%
At Masters Grade Level,2019,28%,30%,23%,18%,21%,22%,-,*,-,*,27%,*,27%,18%,21%,*
,2018,27%,29%,21%,33%,18%,22%,-,*,-,*,0%,*,21%,22%,12%,13%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,89%,100%,90%,87%,-,*,-,*,50%,*,93%,85%,67%,100%
,2018,84%,83%,95%,89%,100%,93%,-,*,-,*,83%,*,95%,95%,82%,100%
At Meets Grade Level or Above,2019,54%,54%,60%,75%,40%,66%,-,*,-,*,38%,*,64%,55%,22%,20%
,2018,54%,54%,72%,56%,73%,80%,-,*,-,*,50%,*,71%,73%,64%,71%
At Masters Grade Level,2019,29%,30%,29%,25%,15%,36%,-,*,-,*,25%,*,33%,25%,6%,0%
,2018,26%,27%,42%,22%,27%,57%,-,*,-,*,17%,*,37%,48%,27%,0%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
