Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,68%,73%,60%,75%,-,83%,-,*,37%,*,69%,65%,66%,59%
,2018,77%,77%,72%,76%,68%,62%,*,94%,-,*,60%,*,75%,66%,72%,70%
At Meets Grade Level or Above,2019,45%,46%,38%,38%,30%,50%,-,61%,-,*,15%,*,39%,33%,35%,31%
,2018,43%,44%,38%,44%,30%,54%,*,59%,-,*,40%,*,42%,29%,36%,34%
At Masters Grade Level,2019,27%,28%,23%,25%,18%,17%,-,44%,-,*,7%,*,25%,20%,22%,21%
,2018,25%,25%,20%,29%,11%,15%,*,47%,-,*,10%,*,23%,13%,18%,16%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,72%,76%,65%,83%,-,89%,-,*,33%,*,73%,71%,71%,67%
,2018,78%,79%,75%,68%,75%,85%,*,94%,-,*,60%,*,75%,73%,75%,78%
At Meets Grade Level or Above,2019,49%,49%,35%,38%,24%,58%,-,61%,-,*,19%,*,37%,27%,32%,31%
,2018,47%,48%,38%,38%,34%,46%,*,65%,-,*,40%,*,40%,30%,34%,33%
At Masters Grade Level,2019,25%,25%,13%,15%,9%,8%,-,28%,-,*,7%,*,15%,8%,11%,12%
,2018,23%,24%,18%,22%,12%,23%,*,41%,-,*,25%,*,19%,14%,17%,14%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,66%,66%,64%,82%,*,91%,-,*,32%,*,69%,62%,65%,66%
,2018,73%,73%,68%,80%,56%,91%,-,71%,-,-,11%,*,71%,62%,64%,62%
At Meets Grade Level or Above,2019,44%,45%,39%,37%,36%,36%,*,73%,-,*,24%,*,40%,37%,35%,35%
,2018,46%,46%,45%,62%,31%,45%,-,64%,-,-,5%,*,50%,39%,42%,37%
At Masters Grade Level,2019,22%,23%,18%,23%,12%,18%,*,45%,-,*,8%,*,19%,15%,15%,11%
,2018,24%,25%,21%,34%,6%,27%,-,57%,-,-,5%,*,28%,12%,20%,18%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,83%,82%,84%,82%,*,91%,-,*,32%,*,84%,80%,82%,82%
,2018,78%,80%,81%,84%,77%,92%,-,93%,-,-,48%,*,83%,78%,80%,78%
At Meets Grade Level or Above,2019,48%,49%,49%,45%,50%,45%,*,73%,-,*,24%,*,51%,47%,45%,42%
,2018,49%,51%,61%,70%,52%,75%,-,71%,-,-,14%,*,64%,56%,57%,55%
At Masters Grade Level,2019,28%,30%,27%,23%,29%,9%,*,55%,-,*,20%,*,29%,23%,25%,19%
,2018,27%,29%,32%,38%,19%,67%,-,57%,-,-,0%,*,36%,26%,28%,27%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,88%,90%,83%,100%,-,100%,-,-,52%,*,89%,85%,87%,85%
,2018,84%,83%,79%,80%,74%,92%,-,91%,-,-,35%,-,78%,80%,78%,75%
At Meets Grade Level or Above,2019,54%,54%,54%,70%,39%,80%,-,82%,-,-,23%,*,53%,57%,51%,45%
,2018,54%,54%,45%,54%,36%,58%,-,55%,-,-,18%,-,45%,45%,42%,38%
At Masters Grade Level,2019,29%,30%,31%,41%,19%,50%,-,73%,-,-,3%,*,36%,23%,29%,26%
,2018,26%,27%,26%,33%,18%,42%,-,32%,-,-,18%,-,25%,27%,22%,20%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
