Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,78%,81%,70%,88%,-,93%,-,100%,45%,43%,83%,71%,72%,71%
,2018,77%,77%,84%,78%,78%,92%,-,96%,-,93%,36%,*,85%,81%,79%,83%
At Meets Grade Level or Above,2019,45%,46%,56%,51%,48%,76%,-,78%,-,63%,35%,29%,60%,49%,47%,48%
,2018,43%,44%,51%,46%,44%,58%,-,71%,-,57%,14%,*,56%,45%,43%,48%
At Masters Grade Level,2019,27%,28%,37%,36%,29%,52%,-,58%,-,38%,20%,0%,40%,33%,29%,30%
,2018,25%,25%,30%,27%,24%,31%,-,51%,-,29%,5%,*,35%,23%,23%,29%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,80%,75%,76%,88%,-,95%,-,88%,55%,57%,82%,75%,75%,76%
,2018,78%,79%,79%,72%,74%,85%,-,96%,-,86%,43%,*,77%,81%,72%,80%
At Meets Grade Level or Above,2019,49%,49%,51%,45%,43%,70%,-,82%,-,38%,30%,29%,53%,48%,41%,46%
,2018,47%,48%,52%,45%,43%,59%,-,84%,-,43%,11%,*,55%,46%,45%,47%
At Masters Grade Level,2019,25%,25%,30%,20%,21%,61%,-,64%,-,0%,25%,14%,34%,23%,19%,23%
,2018,23%,24%,28%,23%,19%,32%,-,59%,-,29%,7%,*,29%,27%,22%,25%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,79%,80%,72%,92%,-,96%,*,86%,30%,83%,81%,77%,73%,75%
,2018,73%,73%,73%,67%,69%,78%,-,90%,-,80%,28%,83%,72%,73%,68%,73%
At Meets Grade Level or Above,2019,44%,45%,45%,42%,39%,59%,-,69%,*,50%,7%,17%,50%,41%,38%,46%
,2018,46%,46%,46%,45%,36%,53%,-,77%,-,40%,22%,50%,51%,43%,37%,41%
At Masters Grade Level,2019,22%,23%,23%,22%,18%,24%,-,50%,*,21%,0%,17%,27%,20%,19%,22%
,2018,24%,25%,25%,17%,19%,32%,-,52%,-,20%,6%,17%,26%,24%,18%,25%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,74%,71%,67%,81%,-,96%,*,86%,27%,67%,74%,74%,68%,75%
,2018,78%,80%,77%,75%,72%,85%,-,92%,-,73%,41%,100%,78%,77%,71%,74%
At Meets Grade Level or Above,2019,48%,49%,44%,41%,36%,59%,-,79%,*,43%,17%,17%,45%,44%,39%,46%
,2018,49%,51%,48%,36%,41%,59%,-,80%,-,36%,22%,83%,51%,46%,39%,44%
At Masters Grade Level,2019,28%,30%,28%,27%,19%,35%,-,65%,*,29%,10%,17%,31%,25%,21%,26%
,2018,27%,29%,27%,18%,21%,32%,-,61%,-,18%,7%,0%,25%,28%,21%,21%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,79%,82%,94%,-,95%,-,100%,59%,71%,88%,82%,81%,83%
,2018,84%,83%,85%,87%,79%,87%,-,97%,-,80%,48%,50%,86%,84%,80%,80%
At Meets Grade Level or Above,2019,54%,54%,51%,49%,43%,64%,-,77%,-,64%,24%,57%,60%,43%,45%,45%
,2018,54%,54%,55%,54%,50%,56%,-,73%,-,40%,33%,50%,61%,51%,49%,47%
At Masters Grade Level,2019,29%,30%,30%,25%,22%,45%,-,63%,-,36%,16%,29%,37%,25%,23%,26%
