Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,95%,100%,98%,*,-,*,-,*,*,-,92%,100%,93%,90%
,2018,77%,77%,94%,80%,94%,100%,-,*,-,-,*,-,94%,93%,97%,100%
At Meets Grade Level or Above,2019,45%,46%,65%,63%,70%,*,-,*,-,*,*,-,60%,76%,68%,72%
,2018,43%,44%,54%,40%,50%,100%,-,*,-,-,*,-,59%,48%,55%,46%
At Masters Grade Level,2019,27%,28%,41%,50%,43%,*,-,*,-,*,*,-,36%,52%,39%,31%
,2018,25%,25%,35%,20%,31%,100%,-,*,-,-,*,-,32%,38%,26%,15%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,85%,100%,84%,*,-,*,-,*,*,-,83%,88%,86%,76%
,2018,78%,79%,94%,80%,95%,100%,-,*,-,-,*,-,97%,91%,97%,94%
At Meets Grade Level or Above,2019,49%,49%,55%,63%,56%,*,-,*,-,*,*,-,49%,68%,54%,48%
,2018,47%,48%,54%,60%,54%,60%,-,*,-,-,*,-,63%,44%,61%,47%
At Masters Grade Level,2019,25%,25%,27%,13%,30%,*,-,*,-,*,*,-,21%,40%,21%,28%
,2018,23%,24%,21%,40%,19%,40%,-,*,-,-,*,-,26%,16%,27%,18%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,95%,*,94%,100%,-,*,-,-,71%,-,97%,92%,93%,92%
,2018,73%,73%,89%,100%,89%,*,-,-,-,-,*,-,-,89%,89%,88%
At Meets Grade Level or Above,2019,44%,45%,61%,*,61%,40%,-,*,-,-,14%,-,63%,59%,61%,60%
,2018,46%,46%,58%,50%,60%,*,-,-,-,-,*,-,-,58%,54%,50%
At Masters Grade Level,2019,22%,23%,24%,*,24%,40%,-,*,-,-,0%,-,29%,21%,23%,24%
,2018,24%,25%,15%,17%,15%,*,-,-,-,-,*,-,-,15%,11%,13%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,77%,*,75%,100%,-,*,-,-,57%,-,77%,77%,77%,72%
,2018,78%,80%,86%,83%,87%,*,-,*,-,*,67%,-,-,86%,74%,82%
At Meets Grade Level or Above,2019,48%,49%,28%,*,28%,20%,-,*,-,-,0%,-,29%,28%,26%,24%
,2018,49%,51%,56%,67%,55%,*,-,*,-,*,50%,-,-,56%,52%,50%
At Masters Grade Level,2019,28%,30%,12%,*,13%,0%,-,*,-,-,0%,-,11%,13%,11%,16%
,2018,27%,29%,19%,17%,19%,*,-,*,-,*,0%,-,-,19%,26%,14%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,97%,90%,98%,-,-,*,-,*,86%,-,97%,97%,96%,100%
,2018,84%,83%,95%,100%,94%,*,-,*,-,-,80%,-,-,95%,100%,100%
At Meets Grade Level or Above,2019,54%,54%,62%,40%,70%,-,-,*,-,*,29%,-,63%,62%,60%,60%
,2018,54%,54%,64%,67%,66%,*,-,*,-,-,20%,-,-,64%,79%,91%
At Masters Grade Level,2019,29%,30%,29%,20%,32%,-,-,*,-,*,0%,-,23%,33%,30%,30%
,2018,26%,27%,31%,50%,25%,*,-,*,-,-,20%,-,-,31%,29%,36%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,90%,89%,97%,100%,96%,-,-,*,-,*,86%,-,100%,95%,96%,100%
