Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,66%,61%,67%,70%,*,89%,67%,66%,38%,52%,66%,63%,65%,67%
,2018,77%,77%,70%,63%,71%,77%,*,86%,87%,72%,36%,63%,70%,67%,69%,71%
At Meets Grade Level or Above,2019,45%,46%,30%,26%,30%,28%,*,49%,11%,38%,20%,17%,30%,29%,28%,30%
,2018,43%,44%,28%,26%,28%,41%,*,63%,40%,34%,20%,20%,28%,28%,27%,28%
At Masters Grade Level,2019,27%,28%,15%,13%,16%,21%,*,23%,0%,14%,3%,11%,16%,15%,15%,16%
,2018,25%,25%,12%,11%,12%,20%,*,39%,20%,21%,4%,11%,12%,11%,11%,12%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,74%,64%,77%,71%,*,94%,78%,60%,43%,77%,76%,67%,73%,78%
,2018,78%,79%,76%,68%,78%,76%,*,92%,87%,66%,45%,73%,78%,71%,76%,80%
At Meets Grade Level or Above,2019,49%,49%,39%,27%,42%,41%,*,72%,33%,43%,23%,34%,41%,30%,38%,43%
,2018,47%,48%,39%,30%,41%,49%,*,69%,73%,41%,26%,38%,40%,34%,39%,42%
At Masters Grade Level,2019,25%,25%,16%,8%,18%,17%,*,40%,11%,13%,6%,14%,17%,11%,16%,20%
,2018,23%,24%,16%,9%,17%,21%,*,49%,33%,14%,8%,16%,17%,11%,16%,18%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,67%,56%,69%,63%,63%,89%,86%,81%,32%,58%,69%,61%,66%,68%
,2018,73%,73%,63%,56%,65%,66%,*,79%,*,59%,30%,45%,64%,60%,62%,65%
At Meets Grade Level or Above,2019,44%,45%,31%,22%,32%,34%,38%,70%,43%,35%,18%,21%,32%,27%,30%,29%
,2018,46%,46%,32%,29%,32%,42%,*,61%,*,41%,21%,24%,33%,29%,31%,31%
At Masters Grade Level,2019,22%,23%,11%,8%,12%,13%,13%,39%,7%,13%,3%,5%,11%,11%,11%,10%
,2018,24%,25%,12%,11%,12%,19%,*,33%,*,31%,4%,6%,13%,11%,12%,12%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,72%,56%,76%,66%,88%,93%,79%,61%,39%,70%,74%,66%,71%,77%
,2018,78%,80%,79%,67%,83%,71%,100%,97%,*,65%,42%,75%,82%,72%,79%,84%
At Meets Grade Level or Above,2019,48%,49%,39%,23%,43%,36%,13%,80%,57%,26%,24%,36%,41%,32%,38%,43%
,2018,49%,51%,44%,33%,47%,45%,40%,71%,*,42%,27%,35%,47%,38%,44%,48%
At Masters Grade Level,2019,28%,30%,19%,7%,21%,21%,0%,57%,21%,10%,6%,14%,20%,13%,18%,21%
,2018,27%,29%,20%,14%,21%,23%,20%,52%,*,16%,7%,15%,21%,16%,20%,22%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,80%,74%,82%,73%,100%,83%,*,81%,41%,71%,82%,77%,79%,80%
,2018,84%,83%,74%,67%,76%,76%,*,93%,71%,63%,37%,62%,76%,67%,73%,75%
At Meets Grade Level or Above,2019,54%,54%,38%,34%,39%,42%,60%,62%,*,32%,21%,24%,39%,35%,37%,33%
,2018,54%,54%,36%,31%,37%,43%,*,55%,71%,33%,24%,22%,38%,30%,35%,36%
At Masters Grade Level,2019,29%,30%,16%,13%,16%,23%,40%,28%,*,13%,5%,8%,16%,13%,15%,12%
