Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,65%,69%,61%,66%,59%,77%,*,73%,40%,48%,65%,64%,63%,62%
,2018,77%,77%,68%,68%,66%,68%,64%,79%,*,78%,51%,68%,70%,59%,66%,65%
At Meets Grade Level or Above,2019,45%,46%,32%,35%,27%,38%,32%,50%,*,23%,23%,26%,33%,29%,31%,30%
,2018,43%,44%,31%,32%,27%,39%,32%,47%,*,48%,31%,38%,33%,25%,28%,29%
At Masters Grade Level,2019,27%,28%,18%,19%,14%,20%,11%,34%,*,9%,6%,10%,18%,16%,16%,17%
,2018,25%,25%,16%,16%,13%,25%,9%,30%,*,30%,11%,21%,17%,12%,14%,15%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,68%,64%,67%,70%,64%,88%,*,82%,41%,62%,69%,65%,67%,69%
,2018,78%,79%,70%,64%,70%,73%,86%,88%,*,67%,49%,74%,73%,61%,69%,71%
At Meets Grade Level or Above,2019,49%,49%,36%,35%,31%,39%,36%,63%,*,45%,26%,26%,37%,32%,35%,36%
,2018,47%,48%,37%,31%,34%,43%,41%,66%,*,29%,29%,44%,40%,27%,35%,38%
At Masters Grade Level,2019,25%,25%,16%,16%,12%,18%,7%,39%,*,5%,9%,7%,17%,14%,15%,16%
,2018,23%,24%,16%,13%,13%,21%,20%,41%,*,8%,13%,16%,18%,11%,14%,17%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,69%,68%,66%,73%,64%,81%,67%,90%,38%,79%,71%,63%,67%,67%
,2018,73%,73%,64%,67%,60%,71%,57%,75%,*,77%,46%,50%,66%,60%,62%,61%
At Meets Grade Level or Above,2019,44%,45%,35%,35%,32%,44%,33%,54%,33%,45%,23%,40%,37%,31%,33%,34%
,2018,46%,46%,37%,39%,32%,36%,41%,55%,*,62%,33%,26%,38%,33%,35%,34%
At Masters Grade Level,2019,22%,23%,16%,18%,12%,21%,5%,32%,0%,25%,7%,10%,17%,14%,14%,15%
,2018,24%,25%,17%,18%,14%,16%,11%,32%,*,23%,8%,10%,18%,14%,15%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,71%,65%,70%,71%,82%,87%,67%,80%,41%,73%,74%,63%,69%,72%
,2018,78%,80%,68%,65%,68%,66%,64%,83%,*,79%,43%,55%,72%,61%,67%,69%
At Meets Grade Level or Above,2019,48%,49%,43%,41%,41%,44%,38%,68%,33%,35%,29%,42%,46%,37%,41%,43%
,2018,49%,51%,39%,34%,36%,40%,33%,66%,*,36%,27%,32%,42%,32%,37%,40%
At Masters Grade Level,2019,28%,30%,25%,21%,22%,28%,15%,53%,17%,15%,11%,21%,27%,21%,23%,25%
,2018,27%,29%,19%,15%,17%,18%,18%,41%,*,25%,9%,16%,21%,15%,18%,21%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,78%,82%,76%,79%,83%,80%,60%,89%,50%,79%,80%,75%,77%,75%
,2018,84%,83%,74%,78%,69%,76%,65%,87%,100%,75%,49%,76%,76%,70%,73%,71%
At Meets Grade Level or Above,2019,54%,54%,43%,47%,38%,44%,45%,57%,40%,54%,31%,39%,46%,37%,41%,40%
,2018,54%,54%,43%,45%,37%,49%,30%,67%,88%,50%,30%,47%,45%,38%,41%,40%
