Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,74%,63%,76%,74%,67%,*,*,*,38%,100%,76%,70%,73%,74%
,2018,77%,77%,78%,74%,78%,88%,75%,*,-,86%,53%,80%,79%,77%,78%,78%
At Meets Grade Level or Above,2019,45%,46%,42%,31%,43%,41%,33%,*,*,*,18%,43%,42%,39%,40%,42%
,2018,43%,44%,38%,26%,38%,46%,38%,*,-,57%,30%,30%,38%,36%,38%,37%
At Masters Grade Level,2019,27%,28%,23%,22%,24%,15%,17%,*,*,*,5%,43%,23%,21%,23%,20%
,2018,25%,25%,17%,15%,17%,17%,0%,*,-,14%,4%,0%,18%,13%,16%,17%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,82%,65%,84%,80%,83%,*,*,*,47%,100%,84%,76%,82%,85%
,2018,78%,79%,83%,72%,84%,84%,75%,*,-,71%,56%,90%,84%,78%,83%,86%
At Meets Grade Level or Above,2019,49%,49%,50%,37%,52%,47%,25%,*,*,*,23%,71%,53%,39%,48%,49%
,2018,47%,48%,52%,38%,53%,63%,50%,*,-,29%,36%,50%,54%,46%,51%,57%
At Masters Grade Level,2019,25%,25%,23%,12%,24%,22%,17%,*,*,*,9%,29%,26%,14%,21%,24%
,2018,23%,24%,22%,13%,23%,29%,0%,*,-,0%,18%,10%,23%,20%,21%,27%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,73%,62%,74%,74%,80%,*,-,67%,45%,58%,77%,63%,72%,75%
,2018,73%,73%,66%,62%,66%,73%,78%,80%,*,*,38%,58%,70%,59%,63%,66%
At Meets Grade Level or Above,2019,44%,45%,33%,25%,34%,37%,40%,*,-,50%,28%,17%,36%,28%,32%,34%
,2018,46%,46%,37%,32%,37%,38%,44%,80%,*,*,19%,25%,39%,32%,35%,36%
At Masters Grade Level,2019,22%,23%,13%,6%,13%,17%,20%,*,-,17%,9%,0%,15%,9%,13%,14%
,2018,24%,25%,14%,5%,15%,17%,11%,20%,*,*,2%,8%,15%,11%,13%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,82%,73%,83%,78%,100%,*,-,100%,54%,92%,84%,79%,81%,86%
,2018,78%,80%,81%,60%,83%,85%,100%,100%,*,*,40%,83%,84%,76%,79%,85%
At Meets Grade Level or Above,2019,48%,49%,52%,29%,54%,57%,80%,*,-,67%,31%,50%,54%,49%,51%,59%
,2018,49%,51%,48%,33%,50%,53%,56%,100%,*,*,22%,58%,50%,44%,45%,52%
At Masters Grade Level,2019,28%,30%,30%,14%,33%,20%,40%,*,-,17%,21%,25%,32%,26%,30%,38%
,2018,27%,29%,26%,22%,25%,32%,33%,80%,*,*,6%,25%,26%,25%,24%,28%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,84%,83%,92%,86%,100%,*,*,48%,81%,86%,79%,82%,82%
,2018,84%,83%,81%,70%,83%,89%,71%,78%,-,*,52%,50%,82%,80%,80%,80%
At Meets Grade Level or Above,2019,54%,54%,43%,39%,43%,51%,71%,60%,*,*,22%,13%,45%,40%,40%,45%
,2018,54%,54%,45%,35%,45%,65%,35%,67%,-,*,27%,13%,49%,38%,42%,41%
At Masters Grade Level,2019,29%,30%,19%,18%,18%,24%,43%,60%,*,*,7%,6%,20%,18%,17%,20%
