Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,76%,62%,73%,81%,*,*,-,86%,40%,91%,77%,72%,69%,69%
,2018,77%,77%,74%,59%,73%,78%,*,-,-,80%,47%,71%,75%,69%,66%,73%
At Meets Grade Level or Above,2019,45%,46%,38%,21%,35%,46%,*,*,-,36%,14%,45%,40%,32%,28%,30%
,2018,43%,44%,34%,15%,28%,44%,*,-,-,50%,20%,14%,36%,29%,23%,28%
At Masters Grade Level,2019,27%,28%,22%,9%,21%,28%,*,*,-,21%,12%,23%,25%,15%,15%,16%
,2018,25%,25%,16%,8%,10%,22%,*,-,-,30%,8%,14%,16%,15%,10%,10%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,78%,76%,78%,80%,*,*,-,64%,36%,95%,78%,79%,76%,76%
,2018,78%,79%,76%,61%,76%,81%,*,-,-,70%,57%,71%,78%,72%,70%,78%
At Meets Grade Level or Above,2019,49%,49%,43%,28%,39%,52%,*,*,-,43%,21%,59%,46%,35%,37%,41%
,2018,47%,48%,35%,20%,32%,42%,*,-,-,40%,22%,0%,37%,32%,28%,35%
At Masters Grade Level,2019,25%,25%,17%,2%,17%,21%,*,*,-,21%,7%,18%,18%,12%,12%,16%
,2018,23%,24%,12%,8%,10%,16%,*,-,-,10%,12%,0%,13%,11%,8%,11%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,72%,53%,75%,75%,*,-,-,75%,45%,36%,75%,65%,65%,71%
,2018,73%,73%,72%,64%,66%,79%,*,*,-,69%,45%,50%,72%,71%,66%,63%
At Meets Grade Level or Above,2019,44%,45%,38%,19%,38%,45%,*,-,-,42%,17%,9%,41%,32%,29%,31%
,2018,46%,46%,41%,37%,35%,46%,*,*,-,38%,23%,0%,44%,35%,34%,27%
At Masters Grade Level,2019,22%,23%,15%,9%,13%,19%,*,-,-,17%,4%,0%,17%,12%,10%,15%
,2018,24%,25%,18%,13%,13%,25%,*,*,-,23%,3%,0%,20%,15%,15%,8%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,62%,44%,67%,65%,*,-,-,42%,43%,55%,65%,58%,59%,71%
,2018,78%,80%,77%,70%,79%,80%,*,*,-,69%,63%,25%,78%,77%,74%,77%
At Meets Grade Level or Above,2019,48%,49%,27%,13%,29%,31%,*,-,-,17%,23%,0%,32%,19%,23%,31%
,2018,49%,51%,44%,37%,41%,48%,*,*,-,38%,38%,25%,45%,40%,39%,34%
At Masters Grade Level,2019,28%,30%,14%,6%,11%,18%,*,-,-,17%,11%,0%,16%,9%,10%,9%
,2018,27%,29%,23%,18%,20%,25%,*,*,-,31%,5%,0%,25%,17%,19%,17%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,86%,79%,83%,90%,*,*,-,93%,58%,71%,85%,89%,82%,83%
,2018,84%,83%,87%,85%,87%,87%,*,*,-,88%,51%,67%,88%,83%,84%,89%
At Meets Grade Level or Above,2019,54%,54%,49%,45%,47%,51%,*,*,-,50%,18%,14%,48%,51%,46%,44%
,2018,54%,54%,50%,49%,45%,56%,*,*,-,38%,29%,33%,54%,42%,44%,47%
At Masters Grade Level,2019,29%,30%,25%,19%,23%,28%,*,*,-,36%,5%,0%,25%,25%,22%,17%
,2018,26%,27%,22%,20%,14%,29%,*,*,-,13%,3%,0%,24%,16%,17%,14%
