Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,79%,71%,75%,87%,78%,92%,50%,85%,49%,75%,80%,72%,72%,76%
,2018,77%,77%,81%,72%,77%,91%,61%,92%,100%,89%,53%,80%,83%,75%,74%,77%
At Meets Grade Level or Above,2019,45%,46%,48%,38%,40%,61%,38%,72%,50%,59%,26%,39%,50%,40%,37%,42%
,2018,43%,44%,48%,36%,39%,65%,29%,67%,50%,59%,30%,40%,49%,41%,36%,38%
At Masters Grade Level,2019,27%,28%,30%,22%,23%,42%,24%,52%,33%,40%,9%,19%,32%,24%,21%,24%
,2018,25%,25%,29%,18%,20%,44%,11%,48%,25%,42%,10%,26%,30%,24%,18%,20%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,82%,71%,78%,90%,75%,95%,67%,87%,54%,79%,83%,76%,75%,80%
,2018,78%,79%,81%,70%,77%,90%,63%,96%,83%,86%,56%,80%,83%,74%,74%,79%
At Meets Grade Level or Above,2019,49%,49%,49%,34%,40%,65%,33%,78%,33%,57%,30%,41%,51%,40%,37%,43%
,2018,47%,48%,50%,35%,41%,65%,29%,79%,67%,56%,34%,49%,52%,40%,38%,46%
At Masters Grade Level,2019,25%,25%,23%,12%,15%,37%,13%,51%,17%,29%,10%,22%,25%,17%,14%,19%
,2018,23%,24%,25%,14%,17%,36%,5%,55%,17%,32%,12%,23%,27%,19%,16%,22%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,79%,68%,75%,89%,59%,93%,100%,86%,44%,81%,82%,73%,72%,77%
,2018,73%,73%,79%,70%,74%,90%,67%,90%,100%,90%,48%,73%,81%,73%,71%,73%
At Meets Grade Level or Above,2019,44%,45%,48%,35%,40%,65%,41%,70%,64%,63%,23%,44%,51%,41%,37%,41%
,2018,46%,46%,53%,41%,45%,69%,39%,74%,60%,70%,32%,41%,56%,47%,42%,44%
At Masters Grade Level,2019,22%,23%,24%,14%,17%,36%,16%,45%,36%,32%,7%,18%,26%,19%,15%,19%
,2018,24%,25%,29%,20%,22%,41%,18%,50%,40%,41%,12%,19%,31%,24%,20%,23%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,77%,63%,74%,89%,65%,94%,100%,82%,46%,80%,80%,71%,69%,76%
,2018,78%,80%,81%,72%,77%,90%,77%,95%,100%,89%,51%,83%,83%,76%,74%,79%
At Meets Grade Level or Above,2019,48%,49%,51%,34%,43%,67%,32%,80%,64%,57%,27%,54%,54%,43%,39%,47%
,2018,49%,51%,53%,39%,44%,70%,38%,81%,60%,60%,31%,43%,56%,45%,41%,47%
At Masters Grade Level,2019,28%,30%,31%,17%,22%,46%,22%,62%,36%,40%,10%,30%,34%,25%,20%,27%
,2018,27%,29%,31%,17%,23%,45%,18%,60%,40%,38%,12%,26%,33%,23%,20%,27%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,90%,85%,88%,96%,84%,97%,*,92%,58%,89%,91%,86%,86%,88%
,2018,84%,83%,88%,82%,86%,95%,80%,96%,83%,91%,58%,87%,91%,82%,83%,86%
At Meets Grade Level or Above,2019,54%,54%,61%,52%,54%,77%,46%,79%,*,75%,30%,55%,64%,53%,50%,53%
,2018,54%,54%,61%,50%,54%,78%,47%,80%,50%,73%,32%,59%,64%,52%,50%,54%
