Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,82%,67%,77%,88%,-,86%,-,91%,45%,83%,83%,78%,74%,66%
,2018,77%,77%,83%,78%,78%,91%,-,80%,-,79%,66%,67%,85%,75%,77%,78%
At Meets Grade Level or Above,2019,45%,46%,45%,22%,39%,55%,-,71%,-,27%,18%,40%,46%,40%,33%,32%
,2018,43%,44%,46%,17%,41%,56%,-,80%,-,58%,34%,33%,50%,33%,38%,41%
At Masters Grade Level,2019,27%,28%,25%,6%,20%,33%,-,43%,-,18%,5%,23%,26%,20%,15%,13%
,2018,25%,25%,24%,4%,20%,33%,-,60%,-,29%,8%,29%,26%,18%,16%,18%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,82%,67%,81%,85%,-,86%,-,91%,46%,93%,83%,79%,76%,80%
,2018,78%,79%,84%,67%,82%,89%,-,100%,-,92%,64%,77%,86%,80%,81%,85%
At Meets Grade Level or Above,2019,49%,49%,49%,22%,44%,58%,-,86%,-,41%,24%,60%,52%,39%,38%,42%
,2018,47%,48%,48%,33%,44%,58%,-,80%,-,29%,38%,55%,51%,40%,40%,41%
At Masters Grade Level,2019,25%,25%,22%,6%,17%,29%,-,57%,-,18%,5%,30%,24%,13%,12%,15%
,2018,23%,24%,23%,8%,20%,28%,-,60%,-,21%,11%,27%,25%,13%,17%,14%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,80%,62%,75%,88%,*,100%,-,78%,50%,70%,82%,74%,73%,66%
,2018,73%,73%,81%,86%,74%,91%,-,100%,-,90%,51%,80%,81%,80%,73%,62%
At Meets Grade Level or Above,2019,44%,45%,45%,33%,37%,61%,*,67%,-,48%,23%,39%,49%,36%,33%,26%
,2018,46%,46%,51%,43%,42%,63%,-,100%,-,48%,32%,40%,51%,50%,41%,31%
At Masters Grade Level,2019,22%,23%,22%,14%,16%,32%,*,33%,-,26%,4%,13%,24%,15%,13%,7%
,2018,24%,25%,22%,14%,18%,29%,-,40%,-,14%,11%,20%,23%,20%,15%,11%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,83%,67%,80%,89%,*,100%,-,91%,57%,87%,86%,74%,76%,81%
,2018,78%,80%,86%,71%,82%,93%,-,100%,-,96%,59%,80%,88%,82%,80%,81%
At Meets Grade Level or Above,2019,48%,49%,54%,29%,48%,64%,*,100%,-,64%,26%,61%,57%,46%,44%,43%
,2018,49%,51%,59%,29%,53%,71%,-,100%,-,48%,35%,50%,62%,52%,50%,50%
At Masters Grade Level,2019,28%,30%,33%,24%,26%,44%,*,50%,-,27%,16%,35%,36%,25%,23%,19%
,2018,27%,29%,34%,13%,29%,41%,-,100%,-,35%,18%,30%,35%,30%,23%,26%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,92%,88%,89%,96%,-,100%,-,100%,67%,94%,93%,89%,87%,84%
,2018,84%,83%,88%,81%,85%,93%,-,71%,-,90%,53%,88%,88%,87%,83%,78%
At Meets Grade Level or Above,2019,54%,54%,57%,38%,50%,68%,-,86%,-,67%,28%,44%,59%,51%,47%,44%
,2018,54%,54%,54%,38%,48%,63%,-,57%,-,67%,22%,42%,56%,49%,44%,41%
At Masters Grade Level,2019,29%,30%,28%,17%,24%,35%,-,57%,-,33%,13%,19%,28%,28%,21%,14%
