Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,76%,70%,77%,69%,*,100%,-,100%,40%,68%,78%,66%,75%,77%
,2018,77%,77%,75%,75%,75%,73%,80%,80%,-,75%,41%,50%,76%,71%,74%,77%
At Meets Grade Level or Above,2019,45%,46%,41%,36%,42%,44%,*,63%,-,55%,22%,36%,43%,34%,39%,43%
,2018,43%,44%,37%,34%,37%,39%,40%,60%,-,33%,18%,17%,39%,31%,36%,41%
At Masters Grade Level,2019,27%,28%,22%,18%,22%,31%,*,25%,-,27%,5%,16%,24%,17%,21%,22%
,2018,25%,25%,17%,16%,17%,22%,0%,60%,-,8%,5%,4%,17%,15%,15%,18%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,80%,70%,82%,83%,*,100%,-,91%,48%,84%,82%,72%,79%,83%
,2018,78%,79%,79%,74%,80%,81%,80%,80%,-,75%,46%,56%,81%,74%,78%,83%
At Meets Grade Level or Above,2019,49%,49%,46%,30%,48%,46%,*,75%,-,55%,25%,52%,48%,36%,44%,49%
,2018,47%,48%,46%,39%,47%,48%,20%,80%,-,42%,20%,24%,49%,37%,45%,50%
At Masters Grade Level,2019,25%,25%,20%,12%,21%,22%,*,38%,-,27%,4%,24%,22%,15%,19%,22%
,2018,23%,24%,20%,16%,21%,16%,20%,80%,-,8%,8%,16%,21%,16%,20%,23%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,72%,68%,72%,80%,60%,83%,*,64%,34%,58%,73%,66%,71%,71%
,2018,73%,73%,67%,64%,67%,70%,*,100%,*,78%,32%,59%,69%,62%,66%,66%
At Meets Grade Level or Above,2019,44%,45%,36%,30%,37%,42%,20%,67%,*,18%,13%,16%,38%,30%,35%,36%
,2018,46%,46%,35%,29%,35%,42%,*,73%,*,33%,21%,19%,37%,31%,33%,35%
At Masters Grade Level,2019,22%,23%,15%,12%,15%,17%,20%,50%,*,18%,3%,10%,16%,13%,14%,16%
,2018,24%,25%,16%,17%,15%,21%,*,45%,*,0%,4%,9%,17%,14%,15%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,78%,73%,78%,81%,80%,100%,*,64%,39%,81%,79%,73%,77%,78%
,2018,78%,80%,83%,80%,84%,79%,*,100%,*,100%,40%,85%,84%,79%,82%,85%
At Meets Grade Level or Above,2019,48%,49%,47%,39%,48%,55%,40%,67%,*,27%,15%,39%,49%,39%,45%,48%
,2018,49%,51%,49%,43%,50%,50%,*,91%,*,40%,22%,52%,51%,44%,48%,51%
At Masters Grade Level,2019,28%,30%,26%,17%,27%,34%,20%,67%,*,18%,6%,16%,28%,19%,25%,28%
,2018,27%,29%,25%,22%,25%,30%,*,45%,*,30%,6%,21%,25%,24%,23%,24%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,79%,85%,84%,*,100%,*,100%,43%,92%,86%,77%,83%,86%
,2018,84%,83%,84%,84%,84%,85%,*,100%,-,82%,49%,81%,85%,81%,84%,84%
At Meets Grade Level or Above,2019,54%,54%,45%,42%,44%,54%,*,83%,*,75%,17%,19%,47%,37%,42%,44%
,2018,54%,54%,47%,45%,47%,51%,*,71%,-,55%,26%,38%,48%,45%,47%,48%
At Masters Grade Level,2019,29%,30%,19%,17%,18%,30%,*,58%,*,38%,3%,8%,20%,15%,17%,17%
