Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,78%,66%,74%,87%,100%,86%,63%,94%,48%,72%,80%,71%,67%,72%
,2018,77%,77%,80%,65%,77%,89%,77%,90%,71%,84%,54%,73%,82%,73%,68%,69%
At Meets Grade Level or Above,2019,45%,46%,46%,34%,38%,59%,64%,69%,42%,58%,28%,40%,48%,38%,30%,36%
,2018,43%,44%,46%,33%,37%,62%,38%,59%,41%,51%,31%,28%,48%,40%,32%,28%
At Masters Grade Level,2019,27%,28%,28%,18%,20%,38%,27%,50%,32%,45%,10%,25%,29%,21%,16%,18%
,2018,25%,25%,27%,16%,19%,40%,8%,38%,24%,31%,15%,10%,29%,22%,15%,12%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,77%,63%,74%,87%,100%,90%,70%,85%,49%,80%,79%,71%,66%,74%
,2018,78%,79%,79%,66%,76%,87%,92%,91%,65%,79%,51%,76%,81%,72%,70%,75%
At Meets Grade Level or Above,2019,49%,49%,45%,30%,37%,57%,45%,72%,40%,66%,27%,35%,47%,36%,31%,37%
,2018,47%,48%,47%,32%,40%,58%,54%,74%,47%,51%,32%,27%,50%,37%,34%,40%
At Masters Grade Level,2019,25%,25%,21%,12%,13%,31%,27%,50%,0%,32%,10%,18%,23%,15%,11%,16%
,2018,23%,24%,23%,12%,17%,33%,15%,49%,29%,30%,11%,10%,25%,16%,13%,15%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,74%,60%,71%,85%,80%,87%,75%,77%,43%,73%,77%,69%,60%,64%
,2018,73%,73%,76%,62%,72%,87%,78%,92%,64%,79%,47%,73%,78%,73%,65%,66%
At Meets Grade Level or Above,2019,44%,45%,45%,28%,39%,60%,50%,62%,50%,47%,25%,39%,49%,37%,27%,32%
,2018,46%,46%,49%,30%,42%,63%,22%,73%,32%,62%,30%,44%,52%,42%,36%,36%
At Masters Grade Level,2019,22%,23%,23%,12%,18%,34%,20%,41%,25%,26%,10%,15%,26%,17%,12%,14%
,2018,24%,25%,27%,15%,21%,38%,11%,47%,5%,31%,10%,24%,30%,22%,17%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,72%,55%,70%,84%,90%,86%,63%,68%,44%,69%,76%,64%,59%,68%
,2018,78%,80%,78%,61%,75%,88%,89%,96%,77%,80%,44%,82%,80%,73%,68%,72%
At Meets Grade Level or Above,2019,48%,49%,44%,26%,38%,59%,50%,64%,44%,47%,27%,34%,47%,36%,29%,37%
,2018,49%,51%,49%,27%,42%,63%,56%,84%,45%,52%,32%,48%,53%,40%,34%,42%
At Masters Grade Level,2019,28%,30%,26%,12%,21%,38%,30%,48%,31%,27%,12%,16%,29%,20%,15%,22%
,2018,27%,29%,27%,11%,20%,38%,22%,59%,14%,31%,12%,32%,30%,21%,17%,22%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,88%,77%,86%,95%,100%,98%,79%,93%,49%,94%,89%,84%,80%,82%
,2018,84%,83%,88%,78%,86%,94%,92%,98%,95%,93%,54%,88%,90%,85%,81%,82%
At Meets Grade Level or Above,2019,54%,54%,57%,39%,50%,72%,14%,83%,38%,63%,24%,52%,60%,48%,41%,44%
,2018,54%,54%,61%,43%,53%,75%,33%,78%,58%,73%,33%,59%,64%,54%,45%,46%
