Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KATY ISD (101914) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,89%,82%,83%,91%,95%,96%,63%,94%,64%,91%,89%,86%,79%,85%
,2018,77%,77%,89%,79%,84%,93%,81%,97%,100%,93%,65%,86%,90%,85%,81%,87%
At Meets Grade Level or Above,2019,45%,46%,61%,47%,50%,65%,63%,81%,50%,65%,34%,58%,62%,54%,42%,54%
,2018,43%,44%,61%,44%,51%,68%,45%,79%,40%,63%,37%,54%,63%,55%,45%,55%
At Masters Grade Level,2019,27%,28%,41%,30%,31%,44%,37%,63%,38%,46%,17%,35%,43%,34%,25%,36%
,2018,25%,25%,40%,26%,29%,46%,32%,57%,20%,41%,15%,30%,42%,33%,24%,33%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,88%,76%,83%,92%,95%,96%,63%,90%,63%,95%,90%,84%,79%,88%
,2018,78%,79%,89%,80%,84%,93%,84%,98%,100%,92%,64%,90%,91%,85%,81%,88%
At Meets Grade Level or Above,2019,49%,49%,62%,45%,49%,67%,68%,87%,25%,63%,34%,67%,64%,55%,43%,59%
,2018,47%,48%,64%,45%,52%,68%,52%,89%,60%,68%,39%,63%,66%,57%,45%,61%
At Masters Grade Level,2019,25%,25%,37%,23%,23%,39%,42%,66%,25%,40%,13%,35%,39%,29%,19%,34%
,2018,23%,24%,36%,21%,23%,39%,19%,65%,20%,40%,19%,30%,38%,29%,19%,34%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,88%,77%,84%,92%,88%,95%,*,89%,61%,89%,90%,84%,78%,86%
,2018,73%,73%,88%,79%,82%,92%,89%,96%,75%,89%,62%,90%,89%,86%,78%,86%
At Meets Grade Level or Above,2019,44%,45%,62%,45%,52%,69%,41%,81%,*,63%,32%,63%,65%,55%,44%,57%
,2018,46%,46%,65%,54%,54%,71%,61%,84%,63%,66%,36%,68%,67%,61%,49%,61%
At Masters Grade Level,2019,22%,23%,36%,21%,26%,40%,16%,58%,*,39%,12%,32%,38%,31%,19%,31%
,2018,24%,25%,39%,27%,28%,43%,33%,61%,38%,46%,16%,32%,41%,34%,24%,35%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,87%,72%,82%,92%,84%,98%,*,89%,58%,88%,89%,82%,75%,86%
,2018,78%,80%,90%,81%,85%,93%,83%,99%,100%,90%,63%,91%,91%,88%,83%,90%
At Meets Grade Level or Above,2019,48%,49%,64%,42%,52%,72%,59%,90%,*,65%,37%,72%,68%,57%,44%,63%
,2018,49%,51%,66%,49%,53%,72%,56%,90%,63%,70%,38%,64%,68%,61%,50%,64%
At Masters Grade Level,2019,28%,30%,44%,24%,30%,50%,38%,77%,*,46%,20%,49%,47%,38%,23%,43%
,2018,27%,29%,41%,25%,28%,46%,28%,71%,63%,43%,17%,33%,44%,37%,25%,41%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,94%,89%,91%,97%,88%,99%,100%,96%,68%,95%,95%,93%,88%,93%
,2018,84%,83%,94%,90%,91%,96%,95%,98%,100%,92%,72%,96%,95%,91%,89%,92%
At Meets Grade Level or Above,2019,54%,54%,72%,59%,61%,77%,63%,89%,67%,76%,36%,71%,73%,67%,55%,67%
,2018,54%,54%,72%,59%,62%,79%,65%,88%,89%,72%,42%,72%,74%,67%,55%,66%
