Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,81%,73%,75%,89%,82%,91%,*,80%,52%,89%,83%,74%,72%,74%
,2018,77%,77%,82%,71%,76%,91%,75%,89%,*,90%,56%,73%,83%,76%,72%,73%
At Meets Grade Level or Above,2019,45%,46%,50%,39%,40%,62%,55%,70%,*,57%,30%,42%,52%,42%,37%,38%
,2018,43%,44%,47%,36%,36%,62%,42%,59%,*,59%,30%,35%,49%,39%,33%,30%
At Masters Grade Level,2019,27%,28%,31%,21%,24%,41%,27%,47%,*,33%,11%,25%,33%,24%,22%,23%
,2018,25%,25%,27%,18%,19%,38%,17%,36%,*,36%,8%,18%,28%,23%,15%,14%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,81%,71%,77%,89%,82%,95%,*,83%,54%,93%,84%,75%,73%,78%
,2018,78%,79%,84%,72%,80%,90%,67%,94%,*,89%,58%,87%,85%,80%,75%,79%
At Meets Grade Level or Above,2019,49%,49%,51%,36%,42%,63%,55%,76%,*,57%,33%,51%,54%,41%,38%,45%
,2018,47%,48%,53%,38%,45%,64%,42%,69%,*,57%,36%,43%,54%,47%,40%,45%
At Masters Grade Level,2019,25%,25%,24%,12%,17%,34%,18%,45%,*,30%,10%,25%,26%,18%,16%,20%
,2018,23%,24%,26%,16%,20%,33%,17%,42%,*,26%,10%,20%,28%,19%,16%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,80%,68%,76%,89%,67%,90%,*,83%,51%,74%,83%,75%,72%,76%
,2018,73%,73%,77%,62%,71%,88%,62%,89%,*,84%,44%,73%,80%,71%,66%,65%
At Meets Grade Level or Above,2019,44%,45%,48%,34%,38%,64%,50%,67%,*,52%,31%,38%,50%,43%,35%,37%
,2018,46%,46%,51%,34%,42%,64%,31%,71%,*,55%,28%,50%,54%,45%,35%,37%
At Masters Grade Level,2019,22%,23%,24%,15%,17%,35%,17%,38%,*,25%,10%,21%,26%,20%,14%,14%
,2018,24%,25%,29%,16%,21%,39%,15%,44%,*,38%,7%,21%,31%,25%,16%,19%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,79%,66%,74%,87%,58%,92%,*,80%,56%,79%,82%,72%,70%,76%
,2018,78%,80%,84%,70%,80%,91%,54%,96%,*,88%,54%,91%,86%,78%,75%,79%
At Meets Grade Level or Above,2019,48%,49%,51%,36%,44%,63%,42%,73%,*,57%,34%,57%,54%,45%,40%,47%
,2018,49%,51%,57%,36%,49%,70%,31%,84%,*,63%,33%,58%,60%,51%,42%,49%
At Masters Grade Level,2019,28%,30%,30%,19%,23%,41%,17%,50%,*,31%,14%,36%,32%,26%,20%,25%
,2018,27%,29%,34%,17%,26%,44%,15%,60%,*,40%,12%,32%,37%,28%,20%,25%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,89%,83%,85%,95%,91%,94%,*,88%,58%,91%,90%,86%,82%,82%
,2018,84%,83%,89%,79%,85%,94%,80%,95%,83%,96%,60%,84%,90%,84%,82%,82%
At Meets Grade Level or Above,2019,54%,54%,58%,46%,48%,71%,64%,76%,*,66%,28%,53%,61%,51%,45%,44%
,2018,54%,54%,61%,48%,52%,75%,60%,73%,83%,73%,31%,58%,65%,53%,46%,47%
At Masters Grade Level,2019,29%,30%,34%,22%,25%,45%,36%,54%,*,44%,8%,30%,37%,26%,21%,23%
