Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,86%,70%,88%,88%,*,100%,*,73%,55%,70%,87%,82%,83%,80%
,2018,77%,77%,89%,66%,88%,96%,*,100%,-,*,72%,100%,90%,86%,85%,86%
At Meets Grade Level or Above,2019,45%,46%,53%,34%,53%,56%,*,73%,*,64%,33%,40%,56%,43%,46%,43%
,2018,43%,44%,49%,24%,47%,56%,*,80%,-,*,28%,43%,50%,46%,40%,27%
At Masters Grade Level,2019,27%,28%,32%,17%,32%,34%,*,36%,*,36%,16%,20%,34%,23%,26%,22%
,2018,25%,25%,26%,6%,29%,28%,*,40%,-,*,2%,21%,28%,21%,19%,13%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,85%,77%,84%,88%,*,100%,*,82%,56%,70%,86%,80%,79%,73%
,2018,78%,79%,88%,72%,88%,92%,*,100%,-,*,55%,100%,89%,86%,86%,80%
At Meets Grade Level or Above,2019,49%,49%,50%,34%,50%,54%,*,64%,*,45%,33%,40%,52%,44%,43%,37%
,2018,47%,48%,56%,38%,56%,60%,*,80%,-,*,32%,62%,58%,52%,48%,54%
At Masters Grade Level,2019,25%,25%,24%,11%,23%,29%,*,18%,*,18%,15%,20%,26%,17%,21%,20%
,2018,23%,24%,26%,6%,27%,29%,*,40%,-,*,12%,23%,27%,24%,18%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,86%,85%,84%,89%,*,*,-,67%,62%,88%,89%,79%,82%,78%
,2018,73%,73%,83%,75%,83%,84%,*,*,-,100%,55%,91%,84%,80%,80%,80%
At Meets Grade Level or Above,2019,44%,45%,51%,39%,50%,55%,*,*,-,33%,26%,56%,54%,45%,43%,36%
,2018,46%,46%,54%,38%,52%,57%,*,*,-,83%,35%,64%,54%,52%,45%,43%
At Masters Grade Level,2019,22%,23%,23%,17%,23%,24%,*,*,-,17%,8%,19%,24%,21%,16%,13%
,2018,24%,25%,27%,15%,26%,29%,*,*,-,17%,10%,27%,27%,26%,22%,20%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,84%,68%,87%,83%,*,*,-,50%,50%,88%,85%,81%,81%,85%
,2018,78%,80%,92%,88%,91%,93%,*,*,-,100%,69%,100%,92%,91%,91%,90%
At Meets Grade Level or Above,2019,48%,49%,55%,41%,56%,55%,*,*,-,17%,33%,44%,57%,49%,49%,50%
,2018,49%,51%,68%,55%,64%,74%,*,*,-,50%,37%,82%,68%,66%,62%,62%
At Masters Grade Level,2019,28%,30%,29%,17%,28%,30%,*,*,-,17%,14%,38%,29%,28%,21%,17%
,2018,27%,29%,38%,35%,33%,44%,*,*,-,33%,22%,45%,40%,34%,33%,27%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,95%,83%,95%,96%,*,*,-,100%,75%,92%,96%,90%,93%,91%
,2018,84%,83%,92%,96%,90%,95%,100%,100%,-,100%,62%,85%,93%,90%,89%,92%
At Meets Grade Level or Above,2019,54%,54%,57%,34%,56%,61%,*,*,-,60%,34%,58%,58%,53%,51%,49%
,2018,54%,54%,64%,62%,64%,63%,80%,100%,-,40%,44%,62%,64%,63%,57%,58%
At Masters Grade Level,2019,29%,30%,32%,26%,29%,38%,*,*,-,20%,11%,25%,34%,28%,26%,28%
,2018,26%,27%,29%,18%,27%,32%,20%,60%,-,20%,11%,23%,30%,26%,20%,17%
