Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
PASADENA ISD (101917) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,80%,73%,80%,83%,*,93%,-,79%,45%,80%,81%,75%,79%,82%
,2018,77%,77%,78%,68%,78%,82%,*,94%,*,89%,50%,76%,79%,76%,77%,80%
At Meets Grade Level or Above,2019,45%,46%,42%,31%,42%,45%,*,65%,-,47%,22%,36%,43%,38%,40%,46%
,2018,43%,44%,40%,28%,40%,49%,*,60%,*,43%,29%,42%,41%,35%,37%,42%
At Masters Grade Level,2019,27%,28%,23%,14%,23%,23%,*,46%,-,37%,5%,18%,24%,20%,22%,25%
,2018,25%,25%,19%,15%,19%,25%,*,35%,*,36%,6%,15%,20%,18%,18%,20%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,78%,67%,78%,83%,*,94%,-,79%,49%,85%,79%,75%,77%,82%
,2018,78%,79%,78%,68%,78%,84%,*,93%,*,72%,53%,76%,79%,73%,77%,82%
At Meets Grade Level or Above,2019,49%,49%,41%,28%,40%,56%,*,79%,-,53%,25%,44%,42%,35%,39%,45%
,2018,47%,48%,40%,28%,39%,46%,*,75%,*,41%,32%,35%,41%,34%,38%,44%
At Masters Grade Level,2019,25%,25%,17%,11%,16%,26%,*,49%,-,21%,8%,18%,18%,13%,16%,20%
,2018,23%,24%,16%,12%,15%,17%,*,39%,*,10%,9%,15%,16%,13%,15%,17%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,77%,70%,77%,82%,-,97%,*,81%,45%,74%,78%,72%,76%,75%
,2018,73%,73%,71%,66%,71%,78%,57%,83%,-,83%,45%,72%,73%,65%,69%,70%
At Meets Grade Level or Above,2019,44%,45%,41%,35%,40%,52%,-,73%,*,46%,25%,35%,42%,37%,39%,38%
,2018,46%,46%,41%,35%,40%,55%,29%,60%,-,67%,30%,32%,42%,37%,38%,37%
At Masters Grade Level,2019,22%,23%,17%,16%,16%,30%,-,38%,*,27%,7%,13%,17%,17%,16%,15%
,2018,24%,25%,19%,16%,18%,26%,0%,37%,-,42%,10%,15%,20%,16%,16%,17%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,75%,63%,75%,80%,-,93%,*,88%,45%,78%,77%,68%,74%,79%
,2018,78%,80%,77%,66%,78%,78%,57%,92%,-,88%,51%,87%,79%,70%,76%,81%
At Meets Grade Level or Above,2019,48%,49%,40%,30%,39%,47%,-,78%,*,35%,28%,42%,42%,35%,39%,45%
,2018,49%,51%,43%,32%,43%,52%,14%,74%,-,63%,32%,48%,46%,36%,41%,46%
At Masters Grade Level,2019,28%,30%,18%,12%,18%,21%,-,51%,*,19%,11%,18%,19%,15%,17%,20%
,2018,27%,29%,20%,14%,19%,26%,14%,53%,-,33%,11%,20%,21%,17%,18%,21%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,77%,84%,88%,86%,92%,*,100%,55%,84%,85%,80%,83%,83%
,2018,84%,83%,79%,73%,78%,89%,*,97%,60%,94%,52%,77%,81%,73%,77%,77%
At Meets Grade Level or Above,2019,54%,54%,47%,41%,45%,59%,43%,75%,*,72%,31%,42%,48%,41%,43%,42%
,2018,54%,54%,45%,42%,43%,60%,*,80%,60%,64%,28%,41%,47%,37%,42%,41%
At Masters Grade Level,2019,29%,30%,21%,19%,20%,35%,0%,44%,*,56%,8%,25%,23%,17%,19%,18%
