Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,66%,57%,71%,70%,78%,79%,67%,75%,44%,59%,68%,63%,65%,72%
,2018,77%,77%,67%,57%,72%,76%,72%,85%,*,87%,45%,44%,70%,60%,65%,73%
At Meets Grade Level or Above,2019,45%,46%,35%,28%,38%,40%,43%,55%,33%,37%,24%,24%,37%,30%,33%,41%
,2018,43%,44%,32%,22%,36%,41%,40%,65%,*,43%,29%,21%,35%,26%,30%,39%
At Masters Grade Level,2019,27%,28%,19%,14%,22%,27%,16%,36%,0%,16%,7%,10%,21%,16%,18%,23%
,2018,25%,25%,16%,10%,17%,28%,14%,42%,*,28%,6%,12%,17%,14%,14%,19%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,68%,58%,74%,78%,77%,91%,83%,76%,46%,67%,70%,64%,68%,75%
,2018,78%,79%,68%,57%,74%,77%,69%,89%,*,85%,51%,68%,70%,63%,66%,75%
At Meets Grade Level or Above,2019,49%,49%,34%,26%,36%,48%,45%,64%,83%,41%,26%,22%,37%,27%,33%,39%
,2018,47%,48%,34%,24%,38%,42%,36%,67%,*,43%,32%,32%,37%,27%,32%,39%
At Masters Grade Level,2019,25%,25%,14%,9%,16%,21%,15%,40%,17%,18%,6%,12%,16%,11%,13%,18%
,2018,23%,24%,14%,7%,17%,18%,19%,52%,*,26%,8%,15%,16%,11%,13%,19%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,63%,53%,68%,74%,67%,85%,*,67%,42%,58%,66%,57%,61%,68%
,2018,73%,73%,59%,48%,65%,63%,60%,83%,83%,67%,34%,56%,62%,54%,57%,67%
At Meets Grade Level or Above,2019,44%,45%,33%,25%,35%,39%,39%,72%,*,52%,29%,26%,36%,28%,31%,38%
,2018,46%,46%,32%,23%,35%,39%,33%,56%,67%,39%,23%,24%,35%,27%,30%,38%
At Masters Grade Level,2019,22%,23%,14%,9%,15%,17%,15%,43%,*,35%,5%,8%,15%,12%,12%,16%
,2018,24%,25%,14%,10%,15%,19%,18%,27%,42%,13%,4%,7%,16%,11%,12%,17%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,65%,55%,70%,78%,74%,94%,*,73%,48%,66%,68%,61%,64%,71%
,2018,78%,80%,69%,58%,74%,75%,76%,88%,92%,75%,39%,67%,72%,64%,69%,76%
At Meets Grade Level or Above,2019,48%,49%,35%,25%,39%,48%,43%,78%,*,42%,30%,37%,39%,30%,34%,41%
,2018,49%,51%,36%,24%,42%,43%,47%,69%,50%,40%,23%,33%,41%,29%,34%,46%
At Masters Grade Level,2019,28%,30%,18%,9%,21%,24%,29%,48%,*,19%,12%,24%,20%,13%,17%,23%
,2018,27%,29%,17%,10%,20%,21%,22%,50%,17%,18%,7%,14%,20%,13%,17%,25%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,77%,71%,80%,88%,80%,88%,80%,85%,47%,64%,79%,75%,77%,79%
,2018,84%,83%,77%,71%,79%,82%,66%,96%,38%,89%,43%,73%,79%,73%,75%,77%
At Meets Grade Level or Above,2019,54%,54%,41%,33%,45%,49%,37%,67%,60%,43%,24%,26%,44%,37%,39%,44%
,2018,54%,54%,42%,35%,45%,57%,34%,70%,25%,55%,23%,38%,45%,38%,40%,44%
