Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,74%,60%,64%,90%,*,91%,*,85%,47%,50%,74%,72%,61%,62%
,2018,77%,77%,73%,65%,64%,93%,*,89%,-,92%,48%,63%,75%,68%,62%,62%
At Meets Grade Level or Above,2019,45%,46%,46%,31%,31%,70%,*,75%,*,61%,28%,25%,46%,43%,28%,30%
,2018,43%,44%,44%,29%,30%,70%,*,68%,-,65%,32%,30%,44%,41%,29%,30%
At Masters Grade Level,2019,27%,28%,29%,17%,16%,51%,*,55%,*,39%,9%,10%,30%,25%,14%,15%
,2018,25%,25%,26%,15%,15%,47%,*,44%,-,45%,10%,7%,26%,24%,15%,13%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,78%,58%,70%,93%,*,96%,*,79%,52%,55%,78%,77%,68%,71%
,2018,78%,79%,75%,53%,67%,93%,*,93%,-,90%,50%,67%,76%,70%,65%,66%
At Meets Grade Level or Above,2019,49%,49%,49%,31%,36%,72%,*,82%,*,56%,28%,28%,50%,46%,32%,37%
,2018,47%,48%,46%,27%,33%,72%,*,80%,-,67%,33%,43%,47%,42%,33%,34%
At Masters Grade Level,2019,25%,25%,26%,13%,15%,44%,*,57%,*,37%,10%,15%,27%,22%,13%,16%
,2018,23%,24%,23%,13%,12%,42%,*,54%,-,43%,9%,11%,23%,21%,13%,14%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,69%,53%,59%,91%,*,89%,-,89%,42%,54%,72%,63%,57%,57%
,2018,73%,73%,70%,56%,59%,92%,*,92%,*,90%,41%,54%,72%,66%,59%,59%
At Meets Grade Level or Above,2019,44%,45%,44%,26%,30%,72%,*,69%,-,65%,28%,23%,46%,39%,27%,28%
,2018,46%,46%,43%,28%,27%,72%,*,77%,*,62%,25%,42%,45%,39%,28%,27%
At Masters Grade Level,2019,22%,23%,24%,17%,12%,46%,*,42%,-,39%,8%,10%,25%,21%,10%,11%
,2018,24%,25%,25%,9%,12%,50%,*,55%,*,41%,6%,23%,27%,21%,13%,12%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,72%,44%,64%,91%,*,89%,-,85%,45%,73%,75%,65%,61%,64%
,2018,78%,80%,75%,51%,66%,93%,*,96%,*,83%,46%,77%,77%,69%,65%,68%
At Meets Grade Level or Above,2019,48%,49%,49%,26%,36%,74%,*,82%,-,69%,31%,44%,52%,40%,33%,36%
,2018,49%,51%,46%,19%,33%,73%,*,80%,*,60%,31%,33%,49%,37%,32%,34%
At Masters Grade Level,2019,28%,30%,33%,16%,20%,57%,*,67%,-,55%,16%,19%,35%,28%,17%,20%
,2018,27%,29%,27%,10%,14%,49%,*,63%,*,37%,8%,21%,28%,22%,15%,17%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,83%,76%,76%,97%,*,94%,*,96%,50%,81%,84%,80%,75%,76%
,2018,84%,83%,77%,71%,69%,94%,38%,99%,-,98%,46%,81%,77%,77%,68%,69%
At Meets Grade Level or Above,2019,54%,54%,54%,36%,38%,85%,*,81%,*,75%,26%,62%,55%,50%,36%,36%
,2018,54%,54%,51%,36%,35%,82%,25%,82%,-,83%,31%,49%,52%,47%,35%,35%
At Masters Grade Level,2019,29%,30%,32%,18%,17%,61%,*,58%,*,48%,7%,36%,33%,30%,14%,16%
