Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,66%,57%,69%,70%,*,*,-,54%,30%,57%,67%,65%,66%,69%
,2018,77%,77%,71%,61%,72%,77%,*,100%,-,75%,44%,70%,72%,66%,70%,69%
At Meets Grade Level or Above,2019,45%,46%,33%,24%,35%,42%,*,*,-,15%,16%,29%,33%,33%,31%,34%
,2018,43%,44%,33%,26%,33%,39%,*,80%,-,13%,23%,10%,34%,29%,31%,29%
At Masters Grade Level,2019,27%,28%,18%,13%,20%,21%,*,*,-,15%,0%,0%,20%,15%,17%,18%
,2018,25%,25%,17%,11%,18%,23%,*,80%,-,0%,3%,10%,19%,14%,16%,17%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,76%,66%,79%,73%,*,*,-,77%,39%,71%,77%,73%,76%,79%
,2018,78%,79%,71%,55%,75%,67%,*,100%,-,88%,41%,90%,74%,64%,70%,75%
At Meets Grade Level or Above,2019,49%,49%,38%,24%,41%,58%,*,*,-,15%,18%,29%,40%,34%,36%,42%
,2018,47%,48%,38%,23%,41%,42%,*,80%,-,63%,26%,50%,41%,31%,38%,37%
At Masters Grade Level,2019,25%,25%,18%,9%,19%,33%,*,*,-,8%,3%,14%,19%,15%,17%,20%
,2018,23%,24%,17%,6%,19%,19%,*,80%,-,0%,10%,20%,18%,14%,16%,18%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,65%,55%,68%,63%,*,100%,-,63%,27%,64%,70%,55%,65%,65%
,2018,73%,73%,60%,58%,60%,66%,*,60%,-,70%,20%,70%,61%,57%,60%,57%
At Meets Grade Level or Above,2019,44%,45%,32%,21%,36%,19%,*,80%,-,25%,15%,18%,36%,25%,31%,30%
,2018,46%,46%,36%,28%,38%,39%,*,40%,-,40%,16%,30%,38%,32%,36%,36%
At Masters Grade Level,2019,22%,23%,15%,6%,18%,7%,*,80%,-,0%,6%,0%,18%,8%,14%,16%
,2018,24%,25%,17%,11%,20%,11%,*,0%,-,0%,2%,0%,18%,15%,17%,17%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,65%,52%,69%,63%,*,100%,-,63%,30%,82%,69%,58%,65%,66%
,2018,78%,80%,70%,49%,75%,75%,*,100%,-,70%,20%,80%,73%,65%,70%,76%
At Meets Grade Level or Above,2019,48%,49%,40%,21%,44%,37%,*,80%,-,50%,21%,64%,46%,29%,39%,42%
,2018,49%,51%,38%,23%,43%,30%,*,40%,-,40%,13%,40%,41%,34%,39%,44%
At Masters Grade Level,2019,28%,30%,22%,12%,25%,19%,*,80%,-,25%,10%,18%,27%,14%,21%,24%
,2018,27%,29%,20%,8%,25%,11%,*,40%,-,10%,4%,20%,22%,17%,21%,26%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,79%,72%,81%,80%,*,100%,-,90%,41%,82%,80%,77%,79%,81%
,2018,84%,83%,78%,71%,80%,76%,-,-,*,100%,29%,67%,80%,75%,77%,79%
At Meets Grade Level or Above,2019,54%,54%,44%,35%,45%,52%,*,60%,-,70%,17%,9%,44%,43%,42%,42%
,2018,54%,54%,44%,31%,47%,38%,-,-,*,80%,14%,33%,47%,37%,42%,45%
At Masters Grade Level,2019,29%,30%,21%,12%,24%,30%,*,20%,-,0%,5%,0%,24%,16%,20%,20%
