Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUFFMAN ISD (101925) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,76%,76%,67%,62%,81%,*,-,*,*,47%,*,79%,66%,67%,54%
,2018,77%,77%,79%,83%,74%,81%,-,*,-,*,71%,80%,82%,72%,70%,68%
At Meets Grade Level or Above,2019,45%,46%,40%,17%,29%,45%,*,-,*,*,25%,*,44%,29%,25%,31%
,2018,43%,44%,33%,50%,33%,33%,-,*,-,*,35%,20%,35%,27%,23%,25%
At Masters Grade Level,2019,27%,28%,25%,0%,13%,31%,*,-,*,*,9%,*,28%,17%,13%,12%
,2018,25%,25%,19%,33%,17%,19%,-,*,-,*,24%,10%,20%,14%,13%,11%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,79%,66%,17%,59%,71%,*,-,*,*,56%,*,71%,53%,52%,42%
,2018,78%,79%,75%,67%,74%,75%,-,*,-,*,68%,100%,78%,67%,69%,64%
At Meets Grade Level or Above,2019,49%,49%,34%,17%,22%,39%,*,-,*,*,22%,*,41%,18%,19%,23%
,2018,47%,48%,37%,67%,31%,38%,-,*,-,*,37%,40%,37%,35%,25%,18%
At Masters Grade Level,2019,25%,25%,15%,17%,6%,18%,*,-,*,*,9%,*,18%,6%,5%,8%
,2018,23%,24%,18%,33%,16%,18%,-,*,-,*,21%,0%,20%,12%,15%,7%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,75%,89%,81%,73%,-,*,-,*,37%,82%,77%,72%,67%,68%
,2018,73%,73%,72%,*,57%,78%,-,*,-,*,60%,56%,74%,69%,52%,48%
At Meets Grade Level or Above,2019,44%,45%,39%,56%,35%,39%,-,*,-,*,23%,45%,40%,37%,30%,23%
,2018,46%,46%,46%,*,34%,51%,-,*,-,*,33%,33%,50%,37%,31%,15%
At Masters Grade Level,2019,22%,23%,18%,44%,19%,16%,-,*,-,*,13%,18%,20%,14%,11%,6%
,2018,24%,25%,21%,*,11%,24%,-,*,-,*,20%,22%,24%,15%,11%,11%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,76%,67%,89%,61%,68%,-,*,-,*,41%,64%,67%,65%,60%,45%
,2018,78%,80%,70%,*,59%,75%,-,*,-,*,42%,67%,74%,62%,51%,48%
At Meets Grade Level or Above,2019,48%,49%,37%,56%,39%,36%,-,*,-,*,31%,18%,38%,36%,33%,23%
,2018,49%,51%,38%,*,29%,42%,-,*,-,*,13%,33%,42%,30%,24%,26%
At Masters Grade Level,2019,28%,30%,22%,56%,21%,21%,-,*,-,*,17%,9%,23%,20%,20%,10%
,2018,27%,29%,18%,*,14%,19%,-,*,-,*,0%,22%,18%,17%,9%,4%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,85%,*,79%,88%,-,*,-,*,40%,100%,84%,86%,76%,75%
,2018,84%,83%,87%,*,80%,88%,-,*,-,*,64%,*,87%,87%,81%,71%
At Meets Grade Level or Above,2019,54%,54%,51%,*,39%,57%,-,*,-,*,17%,50%,52%,49%,35%,22%
,2018,54%,54%,58%,*,52%,59%,-,*,-,*,43%,*,57%,60%,50%,43%
At Masters Grade Level,2019,29%,30%,28%,*,21%,31%,-,*,-,*,7%,33%,26%,31%,15%,9%
,2018,26%,27%,25%,*,12%,29%,-,*,-,*,14%,*,26%,24%,16%,14%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
