Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,82%,73%,80%,84%,*,100%,-,*,62%,-,78%,89%,73%,60%
,2019,76%,76%,94%,94%,95%,93%,-,*,-,*,88%,-,94%,96%,96%,*
At Meets Grade Level or Above,2021,39%,39%,55%,73%,48%,55%,*,60%,-,*,15%,-,56%,52%,18%,20%
,2019,45%,46%,55%,53%,50%,56%,-,*,-,*,38%,-,59%,43%,43%,*
At Masters Grade Level,2021,19%,20%,32%,45%,32%,32%,*,0%,-,*,8%,-,27%,41%,9%,20%
,2019,27%,28%,35%,24%,23%,42%,-,*,-,*,25%,-,40%,22%,35%,*
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,71%,64%,68%,68%,*,100%,-,*,31%,-,65%,81%,45%,40%
,2019,79%,79%,84%,94%,77%,82%,-,*,-,*,38%,-,83%,87%,91%,*
At Meets Grade Level or Above,2021,31%,31%,43%,45%,28%,47%,*,60%,-,*,23%,-,35%,59%,14%,20%
,2019,49%,49%,43%,47%,18%,51%,-,*,-,*,25%,-,48%,30%,39%,*
At Masters Grade Level,2021,14%,15%,15%,9%,12%,11%,*,60%,-,*,0%,-,11%,22%,0%,0%
,2019,25%,25%,20%,12%,9%,24%,-,*,-,*,13%,-,24%,9%,13%,*
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,74%,60%,70%,76%,-,*,-,*,18%,*,66%,84%,68%,*
,2019,75%,75%,93%,91%,96%,92%,-,*,-,*,73%,*,92%,94%,90%,*
At Meets Grade Level or Above,2021,36%,37%,47%,30%,30%,56%,-,*,-,*,0%,*,46%,49%,32%,*
,2019,44%,45%,57%,73%,54%,54%,-,*,-,*,27%,*,60%,53%,45%,*
At Masters Grade Level,2021,17%,18%,24%,10%,25%,25%,-,*,-,*,0%,*,22%,27%,21%,*
,2019,22%,23%,34%,45%,39%,30%,-,*,-,*,0%,*,35%,32%,14%,*
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,79%,60%,73%,84%,-,*,-,*,45%,*,73%,87%,75%,*
,2019,75%,76%,77%,73%,75%,78%,-,*,-,*,55%,*,81%,71%,66%,*
At Meets Grade Level or Above,2021,36%,37%,54%,40%,36%,62%,-,*,-,*,9%,*,51%,58%,40%,*
,2019,48%,49%,49%,55%,50%,41%,-,*,-,*,27%,*,52%,44%,45%,*
At Masters Grade Level,2021,21%,22%,36%,40%,23%,38%,-,*,-,*,0%,*,29%,45%,30%,*
,2019,28%,30%,23%,18%,21%,22%,-,*,-,*,27%,*,27%,18%,21%,*
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,93%,93%,100%,90%,-,*,-,-,75%,*,93%,94%,93%,*
,2019,86%,86%,89%,100%,90%,87%,-,*,-,*,50%,*,93%,85%,67%,100%
At Meets Grade Level or Above,2021,46%,47%,74%,67%,68%,77%,-,*,-,-,50%,*,72%,76%,67%,*
,2019,54%,54%,60%,75%,40%,66%,-,*,-,*,38%,*,64%,55%,22%,20%
At Masters Grade Level,2021,30%,31%,55%,53%,41%,60%,-,*,-,-,17%,*,54%,58%,47%,*
,2019,29%,30%,29%,25%,15%,36%,-,*,-,*,25%,*,33%,25%,6%,0%
