Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,54%,58%,48%,62%,-,79%,*,*,29%,-,54%,55%,53%,50%
,2019,76%,76%,68%,73%,60%,75%,-,83%,-,*,37%,*,69%,65%,66%,59%
At Meets Grade Level or Above,2021,39%,39%,22%,23%,15%,23%,-,57%,*,*,14%,-,23%,20%,21%,23%
,2019,45%,46%,38%,38%,30%,50%,-,61%,-,*,15%,*,39%,33%,35%,31%
At Masters Grade Level,2021,19%,20%,8%,8%,5%,8%,-,29%,*,*,0%,-,10%,4%,7%,9%
,2019,27%,28%,23%,25%,18%,17%,-,44%,-,*,7%,*,25%,20%,22%,21%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,38%,46%,22%,46%,-,79%,*,*,14%,-,38%,38%,36%,34%
,2019,79%,79%,72%,76%,65%,83%,-,89%,-,*,33%,*,73%,71%,71%,67%
At Meets Grade Level or Above,2021,31%,31%,12%,14%,3%,31%,-,36%,*,*,7%,-,11%,15%,10%,11%
,2019,49%,49%,35%,38%,24%,58%,-,61%,-,*,19%,*,37%,27%,32%,31%
At Masters Grade Level,2021,14%,15%,5%,4%,2%,15%,-,29%,*,*,7%,-,5%,5%,3%,7%
,2019,25%,25%,13%,15%,9%,8%,-,28%,-,*,7%,*,15%,8%,11%,12%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,57%,62%,50%,50%,-,87%,-,*,9%,*,61%,51%,55%,54%
,2019,75%,75%,66%,66%,64%,82%,*,91%,-,*,32%,*,69%,62%,65%,66%
At Meets Grade Level or Above,2021,36%,37%,30%,43%,17%,33%,-,47%,-,*,4%,*,33%,25%,27%,20%
,2019,44%,45%,39%,37%,36%,36%,*,73%,-,*,24%,*,40%,37%,35%,35%
At Masters Grade Level,2021,17%,18%,13%,23%,3%,17%,-,27%,-,*,0%,*,13%,14%,13%,9%
,2019,22%,23%,18%,23%,12%,18%,*,45%,-,*,8%,*,19%,15%,15%,11%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,50%,55%,40%,67%,-,87%,-,*,4%,*,56%,42%,47%,48%
,2019,75%,76%,83%,82%,84%,82%,*,91%,-,*,32%,*,84%,80%,82%,82%
At Meets Grade Level or Above,2021,36%,37%,25%,28%,15%,67%,-,60%,-,*,4%,*,23%,28%,22%,26%
,2019,48%,49%,49%,45%,50%,45%,*,73%,-,*,24%,*,51%,47%,45%,42%
At Masters Grade Level,2021,21%,22%,11%,14%,6%,17%,-,27%,-,*,4%,*,10%,11%,10%,11%
,2019,28%,30%,27%,23%,29%,9%,*,55%,-,*,20%,*,29%,23%,25%,19%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,67%,75%,57%,80%,-,92%,-,*,36%,*,66%,68%,65%,60%
,2019,86%,86%,88%,90%,83%,100%,-,100%,-,-,52%,*,89%,85%,87%,85%
At Meets Grade Level or Above,2021,46%,47%,36%,40%,32%,10%,-,77%,-,*,18%,*,38%,34%,35%,31%
,2019,54%,54%,54%,70%,39%,80%,-,82%,-,-,23%,*,53%,57%,51%,45%
At Masters Grade Level,2021,30%,31%,19%,24%,12%,10%,-,54%,-,*,5%,*,21%,15%,19%,13%
