Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,53%,57%,48%,51%,40%,71%,*,71%,29%,55%,55%,44%,51%,50%
,2019,76%,76%,65%,69%,61%,66%,59%,77%,*,73%,40%,48%,65%,64%,63%,62%
At Meets Grade Level or Above,2021,39%,39%,24%,29%,19%,24%,25%,40%,*,43%,17%,21%,26%,18%,22%,21%
,2019,45%,46%,32%,35%,27%,38%,32%,50%,*,23%,23%,26%,33%,29%,31%,30%
At Masters Grade Level,2021,19%,20%,11%,14%,8%,10%,15%,18%,*,14%,4%,7%,12%,6%,10%,9%
,2019,27%,28%,18%,19%,14%,20%,11%,34%,*,9%,6%,10%,18%,16%,16%,17%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,45%,43%,41%,45%,35%,74%,*,57%,30%,48%,48%,34%,44%,46%
,2019,79%,79%,68%,64%,67%,70%,64%,88%,*,82%,41%,62%,69%,65%,67%,69%
At Meets Grade Level or Above,2021,31%,31%,16%,14%,13%,14%,15%,40%,*,29%,16%,14%,18%,11%,15%,17%
,2019,49%,49%,36%,35%,31%,39%,36%,63%,*,45%,26%,26%,37%,32%,35%,36%
At Masters Grade Level,2021,14%,15%,5%,5%,4%,6%,10%,15%,*,14%,3%,3%,6%,3%,5%,5%
,2019,25%,25%,16%,16%,12%,18%,7%,39%,*,5%,9%,7%,17%,14%,15%,16%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,49%,54%,45%,56%,63%,60%,*,56%,25%,38%,52%,44%,48%,47%
,2019,75%,75%,69%,68%,66%,73%,64%,81%,67%,90%,38%,79%,71%,63%,67%,67%
At Meets Grade Level or Above,2021,36%,37%,25%,30%,21%,26%,31%,39%,*,22%,17%,18%,27%,21%,24%,23%
,2019,44%,45%,35%,35%,32%,44%,33%,54%,33%,45%,23%,40%,37%,31%,33%,34%
At Masters Grade Level,2021,17%,18%,10%,13%,7%,14%,9%,17%,*,11%,4%,6%,11%,7%,9%,8%
,2019,22%,23%,16%,18%,12%,21%,5%,32%,0%,25%,7%,10%,17%,14%,14%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,45%,41%,43%,45%,59%,69%,*,44%,26%,44%,47%,39%,44%,46%
,2019,75%,76%,71%,65%,70%,71%,82%,87%,67%,80%,41%,73%,74%,63%,69%,72%
At Meets Grade Level or Above,2021,36%,37%,21%,20%,18%,22%,26%,44%,*,11%,18%,15%,23%,17%,20%,21%
,2019,48%,49%,43%,41%,41%,44%,38%,68%,33%,35%,29%,42%,46%,37%,41%,43%
At Masters Grade Level,2021,21%,22%,11%,10%,8%,14%,6%,29%,*,0%,5%,6%,12%,8%,10%,11%
,2019,28%,30%,25%,21%,22%,28%,15%,53%,17%,15%,11%,21%,27%,21%,23%,25%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,56%,59%,52%,53%,59%,72%,*,91%,32%,46%,59%,51%,55%,54%
,2019,86%,86%,78%,82%,76%,79%,83%,80%,60%,89%,50%,79%,80%,75%,77%,75%
At Meets Grade Level or Above,2021,46%,47%,29%,34%,25%,24%,21%,44%,*,36%,20%,21%,31%,24%,27%,26%
