Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,63%,52%,63%,78%,67%,89%,-,20%,29%,40%,64%,60%,61%,64%
,2019,76%,76%,74%,63%,76%,74%,67%,*,*,*,38%,100%,76%,70%,73%,74%
At Meets Grade Level or Above,2021,39%,39%,31%,17%,31%,37%,17%,67%,-,0%,11%,0%,32%,26%,26%,30%
,2019,45%,46%,42%,31%,43%,41%,33%,*,*,*,18%,43%,42%,39%,40%,42%
At Masters Grade Level,2021,19%,20%,13%,7%,13%,15%,17%,44%,-,0%,2%,0%,14%,11%,12%,14%
,2019,27%,28%,23%,22%,24%,15%,17%,*,*,*,5%,43%,23%,21%,23%,20%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,61%,46%,62%,67%,83%,89%,-,20%,36%,40%,63%,55%,59%,64%
,2019,79%,79%,82%,65%,84%,80%,83%,*,*,*,47%,100%,84%,76%,82%,85%
At Meets Grade Level or Above,2021,31%,31%,29%,17%,29%,30%,0%,67%,-,20%,13%,0%,31%,20%,27%,32%
,2019,49%,49%,50%,37%,52%,47%,25%,*,*,*,23%,71%,53%,39%,48%,49%
At Masters Grade Level,2021,14%,15%,12%,4%,12%,7%,0%,44%,-,0%,6%,0%,13%,5%,10%,14%
,2019,25%,25%,23%,12%,24%,22%,17%,*,*,*,9%,29%,26%,14%,21%,24%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,58%,47%,60%,55%,86%,*,*,*,32%,38%,62%,50%,55%,61%
,2019,75%,75%,73%,62%,74%,74%,80%,*,-,67%,45%,58%,77%,63%,72%,75%
At Meets Grade Level or Above,2021,36%,37%,26%,16%,28%,18%,57%,*,*,*,8%,13%,27%,24%,26%,29%
,2019,44%,45%,33%,25%,34%,37%,40%,*,-,50%,28%,17%,36%,28%,32%,34%
At Masters Grade Level,2021,17%,18%,9%,8%,8%,9%,43%,*,*,*,3%,13%,9%,8%,8%,10%
,2019,22%,23%,13%,6%,13%,17%,20%,*,-,17%,9%,0%,15%,9%,13%,14%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,59%,39%,60%,57%,88%,*,*,*,31%,78%,63%,48%,57%,64%
,2019,75%,76%,82%,73%,83%,78%,100%,*,-,100%,54%,92%,84%,79%,81%,86%
At Meets Grade Level or Above,2021,36%,37%,32%,20%,34%,27%,63%,*,*,*,16%,56%,36%,23%,32%,36%
,2019,48%,49%,52%,29%,54%,57%,80%,*,-,67%,31%,50%,54%,49%,51%,59%
At Masters Grade Level,2021,21%,22%,19%,12%,19%,16%,25%,*,*,*,9%,22%,21%,13%,18%,23%
,2019,28%,30%,30%,14%,33%,20%,40%,*,-,17%,21%,25%,32%,26%,30%,38%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,65%,45%,68%,55%,50%,*,*,*,30%,*,65%,65%,62%,65%
,2019,86%,86%,84%,84%,83%,92%,86%,100%,*,*,48%,81%,86%,79%,82%,82%
At Meets Grade Level or Above,2021,46%,47%,38%,20%,41%,26%,33%,*,*,*,13%,*,38%,37%,35%,42%
,2019,54%,54%,43%,39%,43%,51%,71%,60%,*,*,22%,13%,45%,40%,40%,45%
