Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,71%,51%,69%,80%,*,*,-,83%,36%,56%,69%,77%,62%,55%
,2019,76%,76%,76%,62%,73%,81%,*,*,-,86%,40%,91%,77%,72%,69%,69%
At Meets Grade Level or Above,2021,39%,39%,37%,29%,33%,44%,*,*,-,67%,9%,33%,37%,38%,27%,20%
,2019,45%,46%,38%,21%,35%,46%,*,*,-,36%,14%,45%,40%,32%,28%,30%
At Masters Grade Level,2021,19%,20%,19%,14%,17%,22%,*,*,-,33%,0%,22%,19%,18%,12%,8%
,2019,27%,28%,22%,9%,21%,28%,*,*,-,21%,12%,23%,25%,15%,15%,16%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,67%,41%,69%,72%,*,*,-,67%,30%,78%,66%,68%,59%,66%
,2019,79%,79%,78%,76%,78%,80%,*,*,-,64%,36%,95%,78%,79%,76%,76%
At Meets Grade Level or Above,2021,31%,31%,34%,20%,32%,42%,*,*,-,50%,13%,33%,33%,39%,25%,26%
,2019,49%,49%,43%,28%,39%,52%,*,*,-,43%,21%,59%,46%,35%,37%,41%
At Masters Grade Level,2021,14%,15%,15%,10%,15%,15%,*,*,-,33%,6%,11%,15%,13%,10%,12%
,2019,25%,25%,17%,2%,17%,21%,*,*,-,21%,7%,18%,18%,12%,12%,16%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,71%,49%,71%,78%,*,*,-,50%,46%,77%,72%,70%,66%,69%
,2019,75%,75%,72%,53%,75%,75%,*,-,-,75%,45%,36%,75%,65%,65%,71%
At Meets Grade Level or Above,2021,36%,37%,39%,22%,38%,44%,*,*,-,33%,27%,31%,39%,38%,34%,36%
,2019,44%,45%,38%,19%,38%,45%,*,-,-,42%,17%,9%,41%,32%,29%,31%
At Masters Grade Level,2021,17%,18%,15%,11%,13%,18%,*,*,-,17%,1%,23%,15%,15%,12%,11%
,2019,22%,23%,15%,9%,13%,19%,*,-,-,17%,4%,0%,17%,12%,10%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,63%,38%,65%,66%,*,*,-,60%,41%,77%,65%,57%,56%,64%
,2019,75%,76%,62%,44%,67%,65%,*,-,-,42%,43%,55%,65%,58%,59%,71%
At Meets Grade Level or Above,2021,36%,37%,36%,13%,35%,44%,*,*,-,40%,26%,38%,39%,29%,29%,35%
,2019,48%,49%,27%,13%,29%,31%,*,-,-,17%,23%,0%,32%,19%,23%,31%
At Masters Grade Level,2021,21%,22%,20%,2%,18%,27%,*,*,-,40%,6%,23%,22%,15%,14%,15%
,2019,28%,30%,14%,6%,11%,18%,*,-,-,17%,11%,0%,16%,9%,10%,9%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,82%,79%,78%,87%,*,*,-,88%,50%,89%,82%,80%,76%,73%
,2019,86%,86%,86%,79%,83%,90%,*,*,-,93%,58%,71%,85%,89%,82%,83%
At Meets Grade Level or Above,2021,46%,47%,48%,45%,42%,57%,*,*,-,38%,28%,56%,49%,45%,44%,32%
,2019,54%,54%,49%,45%,47%,51%,*,*,-,50%,18%,14%,48%,51%,46%,44%
