Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,75%,66%,69%,86%,61%,89%,57%,82%,46%,70%,77%,67%,67%,69%
,2019,76%,76%,79%,71%,75%,87%,78%,92%,50%,85%,49%,75%,80%,72%,72%,76%
At Meets Grade Level or Above,2021,39%,39%,46%,35%,37%,61%,33%,66%,43%,54%,25%,30%,47%,39%,34%,37%
,2019,45%,46%,48%,38%,40%,61%,38%,72%,50%,59%,26%,39%,50%,40%,37%,42%
At Masters Grade Level,2021,19%,20%,23%,14%,16%,35%,13%,37%,43%,29%,7%,10%,24%,18%,13%,15%
,2019,27%,28%,30%,22%,23%,42%,24%,52%,33%,40%,9%,19%,32%,24%,21%,24%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,68%,51%,62%,84%,46%,87%,57%,69%,45%,65%,69%,61%,57%,65%
,2019,79%,79%,82%,71%,78%,90%,75%,95%,67%,87%,54%,79%,83%,76%,75%,80%
At Meets Grade Level or Above,2021,31%,31%,34%,20%,25%,51%,24%,61%,29%,37%,23%,35%,36%,27%,23%,30%
,2019,49%,49%,49%,34%,40%,65%,33%,78%,33%,57%,30%,41%,51%,40%,37%,43%
At Masters Grade Level,2021,14%,15%,15%,6%,9%,24%,9%,34%,0%,16%,5%,15%,16%,11%,8%,12%
,2019,25%,25%,23%,12%,15%,37%,13%,51%,17%,29%,10%,22%,25%,17%,14%,19%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,69%,58%,63%,81%,53%,87%,86%,79%,36%,67%,72%,60%,59%,64%
,2019,75%,75%,79%,68%,75%,89%,59%,93%,100%,86%,44%,81%,82%,73%,72%,77%
At Meets Grade Level or Above,2021,36%,37%,41%,30%,32%,56%,29%,63%,43%,52%,22%,43%,44%,33%,29%,32%
,2019,44%,45%,48%,35%,40%,65%,41%,70%,64%,63%,23%,44%,51%,41%,37%,41%
At Masters Grade Level,2021,17%,18%,20%,13%,13%,32%,18%,37%,14%,30%,7%,20%,22%,15%,11%,13%
,2019,22%,23%,24%,14%,17%,36%,16%,45%,36%,32%,7%,18%,26%,19%,15%,19%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,60%,41%,52%,79%,56%,86%,86%,71%,34%,65%,64%,50%,47%,55%
,2019,75%,76%,77%,63%,74%,89%,65%,94%,100%,82%,46%,80%,80%,71%,69%,76%
At Meets Grade Level or Above,2021,36%,37%,36%,19%,26%,56%,32%,65%,29%,47%,24%,38%,39%,27%,22%,29%
,2019,48%,49%,51%,34%,43%,67%,32%,80%,64%,57%,27%,54%,54%,43%,39%,47%
At Masters Grade Level,2021,21%,22%,22%,9%,13%,37%,20%,49%,14%,29%,9%,24%,25%,14%,11%,16%
,2019,28%,30%,31%,17%,22%,46%,22%,62%,36%,40%,10%,30%,34%,25%,20%,27%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,79%,69%,75%,89%,68%,92%,57%,87%,46%,74%,81%,72%,72%,75%
,2019,86%,86%,90%,85%,88%,96%,84%,97%,*,92%,58%,89%,91%,86%,86%,88%
At Meets Grade Level or Above,2021,46%,47%,54%,41%,47%,71%,43%,75%,57%,60%,25%,49%,57%,45%,43%,47%
