Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,58%,55%,57%,71%,*,78%,-,78%,21%,64%,58%,55%,55%,55%
,2019,76%,76%,76%,70%,77%,69%,*,100%,-,100%,40%,68%,78%,66%,75%,77%
At Meets Grade Level or Above,2021,39%,39%,27%,23%,27%,43%,*,78%,-,33%,9%,14%,28%,25%,24%,25%
,2019,45%,46%,41%,36%,42%,44%,*,63%,-,55%,22%,36%,43%,34%,39%,43%
At Masters Grade Level,2021,19%,20%,12%,10%,12%,21%,*,67%,-,11%,4%,9%,12%,11%,11%,12%
,2019,27%,28%,22%,18%,22%,31%,*,25%,-,27%,5%,16%,24%,17%,21%,22%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,58%,46%,60%,62%,*,67%,-,67%,32%,64%,60%,50%,56%,61%
,2019,79%,79%,80%,70%,82%,83%,*,100%,-,91%,48%,84%,82%,72%,79%,83%
At Meets Grade Level or Above,2021,31%,31%,23%,15%,23%,31%,*,67%,-,22%,12%,32%,24%,17%,20%,23%
,2019,49%,49%,46%,30%,48%,46%,*,75%,-,55%,25%,52%,48%,36%,44%,49%
At Masters Grade Level,2021,14%,15%,8%,6%,8%,10%,*,56%,-,11%,1%,9%,9%,6%,7%,8%
,2019,25%,25%,20%,12%,21%,22%,*,38%,-,27%,4%,24%,22%,15%,19%,22%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,57%,51%,57%,63%,40%,75%,-,80%,20%,38%,58%,53%,54%,56%
,2019,75%,75%,72%,68%,72%,80%,60%,83%,*,64%,34%,58%,73%,66%,71%,71%
At Meets Grade Level or Above,2021,36%,37%,29%,25%,30%,30%,0%,50%,-,50%,11%,23%,31%,25%,26%,29%
,2019,44%,45%,36%,30%,37%,42%,20%,67%,*,18%,13%,16%,38%,30%,35%,36%
At Masters Grade Level,2021,17%,18%,13%,10%,13%,17%,0%,38%,-,20%,2%,23%,14%,10%,11%,13%
,2019,22%,23%,15%,12%,15%,17%,20%,50%,*,18%,3%,10%,16%,13%,14%,16%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,56%,43%,58%,64%,20%,100%,-,70%,24%,54%,58%,51%,54%,61%
,2019,75%,76%,78%,73%,78%,81%,80%,100%,*,64%,39%,81%,79%,73%,77%,78%
At Meets Grade Level or Above,2021,36%,37%,29%,19%,31%,36%,20%,75%,-,20%,16%,31%,31%,25%,27%,33%
,2019,48%,49%,47%,39%,48%,55%,40%,67%,*,27%,15%,39%,49%,39%,45%,48%
At Masters Grade Level,2021,21%,22%,15%,9%,16%,11%,20%,50%,-,20%,3%,8%,16%,12%,14%,17%
,2019,28%,30%,26%,17%,27%,34%,20%,67%,*,18%,6%,16%,28%,19%,25%,28%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,71%,57%,73%,68%,-,100%,-,90%,33%,60%,72%,67%,70%,74%
,2019,86%,86%,84%,79%,85%,84%,*,100%,*,100%,43%,92%,86%,77%,83%,86%
At Meets Grade Level or Above,2021,46%,47%,37%,27%,38%,43%,-,57%,-,70%,21%,32%,39%,33%,35%,40%
,2019,54%,54%,45%,42%,44%,54%,*,83%,*,75%,17%,19%,47%,37%,42%,44%
