Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,66%,57%,65%,74%,63%,90%,-,69%,36%,68%,68%,59%,61%,64%
,2019,76%,76%,72%,66%,70%,80%,*,88%,*,76%,39%,60%,72%,68%,68%,69%
At Meets Grade Level or Above,2021,39%,39%,34%,25%,32%,47%,38%,62%,-,42%,19%,29%,36%,28%,29%,31%
,2019,45%,46%,37%,27%,35%,45%,*,75%,*,53%,17%,28%,37%,38%,33%,33%
At Masters Grade Level,2021,19%,20%,15%,11%,13%,24%,13%,29%,-,14%,5%,13%,15%,12%,12%,13%
,2019,27%,28%,21%,14%,19%,27%,*,50%,*,32%,2%,19%,21%,21%,17%,16%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,61%,45%,61%,68%,63%,90%,-,67%,35%,77%,63%,53%,56%,63%
,2019,79%,79%,75%,62%,74%,82%,*,92%,*,82%,44%,72%,75%,72%,72%,73%
At Meets Grade Level or Above,2021,31%,31%,28%,15%,28%,41%,25%,52%,-,28%,17%,45%,29%,26%,24%,31%
,2019,49%,49%,41%,28%,41%,48%,*,71%,*,61%,21%,32%,42%,36%,37%,40%
At Masters Grade Level,2021,14%,15%,12%,4%,11%,17%,13%,43%,-,11%,7%,16%,12%,10%,10%,13%
,2019,25%,25%,19%,11%,19%,23%,*,54%,*,24%,7%,19%,20%,14%,17%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,60%,45%,62%,65%,43%,78%,*,59%,27%,59%,62%,55%,55%,59%
,2019,75%,75%,71%,66%,71%,73%,40%,95%,*,78%,31%,72%,72%,67%,67%,70%
At Meets Grade Level or Above,2021,36%,37%,34%,22%,33%,42%,29%,61%,*,38%,16%,21%,35%,29%,28%,31%
,2019,44%,45%,37%,32%,36%,45%,40%,64%,*,31%,18%,38%,38%,35%,33%,33%
At Masters Grade Level,2021,17%,18%,14%,6%,14%,21%,0%,35%,*,22%,5%,3%,15%,10%,10%,11%
,2019,22%,23%,16%,11%,16%,21%,20%,50%,*,9%,6%,11%,17%,13%,14%,14%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,58%,40%,59%,67%,29%,86%,*,51%,26%,62%,61%,49%,54%,59%
,2019,75%,76%,71%,66%,71%,75%,80%,91%,*,69%,35%,74%,72%,70%,68%,71%
At Meets Grade Level or Above,2021,36%,37%,32%,16%,33%,40%,14%,73%,*,24%,17%,28%,35%,23%,28%,31%
,2019,48%,49%,41%,29%,42%,45%,60%,73%,*,41%,20%,36%,41%,40%,37%,42%
At Masters Grade Level,2021,21%,22%,18%,5%,18%,26%,14%,50%,*,11%,6%,14%,19%,14%,14%,16%
,2019,28%,30%,22%,13%,22%,26%,0%,68%,*,19%,8%,17%,22%,19%,19%,23%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,71%,62%,71%,76%,50%,96%,-,75%,30%,61%,72%,67%,67%,72%
,2019,86%,86%,83%,82%,81%,91%,80%,96%,*,72%,41%,76%,84%,80%,80%,81%
At Meets Grade Level or Above,2021,46%,47%,41%,25%,40%,51%,17%,74%,-,53%,17%,22%,42%,38%,36%,40%
