Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HOUSTON ISD (101912) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,59%,49%,54%,90%,71%,86%,*,67%,38%,57%,59%,55%,51%,54%
,2019,76%,76%,72%,60%,71%,90%,80%,93%,78%,86%,42%,72%,73%,67%,67%,72%
At Meets Grade Level or Above,2021,39%,39%,32%,22%,26%,71%,29%,68%,*,47%,24%,38%,33%,29%,23%,25%
,2019,45%,46%,42%,29%,39%,69%,55%,80%,56%,70%,26%,39%,43%,36%,35%,40%
At Masters Grade Level,2021,19%,20%,17%,8%,12%,48%,7%,48%,*,27%,8%,19%,17%,15%,10%,12%
,2019,27%,28%,26%,16%,22%,54%,45%,65%,56%,50%,9%,25%,26%,22%,19%,23%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,51%,34%,48%,85%,50%,83%,*,57%,35%,49%,52%,45%,43%,48%
,2019,79%,79%,76%,63%,77%,91%,70%,95%,78%,90%,44%,79%,77%,69%,72%,78%
At Meets Grade Level or Above,2021,31%,31%,24%,12%,19%,59%,21%,65%,*,36%,23%,30%,25%,20%,16%,19%
,2019,49%,49%,46%,31%,45%,72%,55%,85%,78%,71%,28%,46%,48%,38%,40%,46%
At Masters Grade Level,2021,14%,15%,12%,5%,7%,38%,14%,45%,*,36%,8%,17%,12%,9%,6%,8%
,2019,25%,25%,24%,13%,21%,47%,40%,66%,78%,50%,11%,27%,25%,19%,18%,22%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,56%,48%,51%,84%,54%,84%,*,*,30%,55%,57%,51%,49%,49%
,2019,75%,75%,69%,59%,68%,89%,75%,90%,*,84%,37%,61%,70%,65%,64%,66%
At Meets Grade Level or Above,2021,36%,37%,31%,23%,25%,66%,31%,67%,*,*,22%,37%,32%,27%,23%,24%
,2019,44%,45%,39%,29%,36%,68%,25%,75%,*,68%,24%,28%,40%,35%,32%,34%
At Masters Grade Level,2021,17%,18%,15%,9%,10%,44%,23%,47%,*,*,6%,20%,16%,13%,9%,10%
,2019,22%,23%,20%,12%,17%,47%,4%,53%,*,45%,7%,14%,21%,18%,14%,16%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,49%,35%,45%,79%,46%,84%,*,*,31%,53%,50%,42%,41%,45%
,2019,75%,76%,72%,59%,73%,88%,71%,93%,*,89%,42%,65%,74%,67%,69%,74%
At Meets Grade Level or Above,2021,36%,37%,28%,17%,22%,61%,38%,70%,*,*,22%,34%,29%,22%,20%,22%
,2019,48%,49%,45%,30%,45%,70%,25%,84%,*,70%,27%,43%,47%,39%,40%,46%
At Masters Grade Level,2021,21%,22%,16%,8%,11%,44%,23%,57%,*,*,8%,22%,17%,13%,9%,12%
,2019,28%,30%,27%,15%,26%,52%,21%,71%,*,50%,12%,26%,29%,23%,22%,27%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,66%,56%,64%,90%,92%,91%,67%,-,36%,60%,68%,59%,61%,62%
,2019,86%,86%,81%,76%,80%,95%,82%,96%,*,94%,46%,78%,82%,79%,78%,78%
At Meets Grade Level or Above,2021,46%,47%,41%,31%,36%,76%,77%,79%,67%,-,23%,41%,43%,35%,33%,35%
