Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,69%,56%,62%,83%,60%,82%,71%,77%,41%,59%,72%,59%,54%,57%
,2019,76%,76%,78%,66%,74%,87%,100%,86%,63%,94%,48%,72%,80%,71%,67%,72%
At Meets Grade Level or Above,2021,39%,39%,39%,24%,30%,55%,40%,53%,38%,45%,23%,32%,42%,28%,22%,25%
,2019,45%,46%,46%,34%,38%,59%,64%,69%,42%,58%,28%,40%,48%,38%,30%,36%
At Masters Grade Level,2021,19%,20%,19%,8%,14%,30%,20%,29%,14%,24%,8%,11%,21%,14%,9%,13%
,2019,27%,28%,28%,18%,20%,38%,27%,50%,32%,45%,10%,25%,29%,21%,16%,18%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,62%,44%,56%,78%,40%,78%,50%,61%,35%,52%,65%,53%,46%,52%
,2019,79%,79%,77%,63%,74%,87%,100%,90%,70%,85%,49%,80%,79%,71%,66%,74%
At Meets Grade Level or Above,2021,31%,31%,30%,16%,23%,45%,20%,48%,25%,34%,19%,17%,33%,20%,16%,20%
,2019,49%,49%,45%,30%,37%,57%,45%,72%,40%,66%,27%,35%,47%,36%,31%,37%
At Masters Grade Level,2021,14%,15%,12%,3%,8%,21%,0%,24%,10%,18%,8%,9%,14%,6%,6%,7%
,2019,25%,25%,21%,12%,13%,31%,27%,50%,0%,32%,10%,18%,23%,15%,11%,16%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,64%,51%,58%,78%,100%,82%,50%,72%,36%,58%,68%,57%,48%,49%
,2019,75%,75%,74%,60%,71%,85%,80%,87%,75%,77%,43%,73%,77%,69%,60%,64%
At Meets Grade Level or Above,2021,36%,37%,37%,25%,29%,53%,60%,52%,33%,34%,19%,34%,40%,30%,22%,20%
,2019,44%,45%,45%,28%,39%,60%,50%,62%,50%,47%,25%,39%,49%,37%,27%,32%
At Masters Grade Level,2021,17%,18%,17%,10%,11%,28%,0%,30%,8%,22%,8%,17%,19%,13%,7%,6%
,2019,22%,23%,23%,12%,18%,34%,20%,41%,25%,26%,10%,15%,26%,17%,12%,14%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,59%,42%,53%,75%,80%,77%,67%,65%,33%,57%,63%,50%,43%,47%
,2019,75%,76%,72%,55%,70%,84%,90%,86%,63%,68%,44%,69%,76%,64%,59%,68%
At Meets Grade Level or Above,2021,36%,37%,35%,18%,28%,53%,60%,57%,33%,35%,21%,34%,39%,27%,21%,25%
,2019,48%,49%,44%,26%,38%,59%,50%,64%,44%,47%,27%,34%,47%,36%,29%,37%
At Masters Grade Level,2021,21%,22%,21%,8%,14%,34%,40%,36%,25%,22%,8%,21%,23%,16%,10%,12%
,2019,28%,30%,26%,12%,21%,38%,30%,48%,31%,27%,12%,16%,29%,20%,15%,22%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,77%,65%,73%,87%,89%,89%,60%,83%,42%,67%,79%,71%,66%,68%
,2019,86%,86%,88%,77%,86%,95%,100%,98%,79%,93%,49%,94%,89%,84%,80%,82%
At Meets Grade Level or Above,2021,46%,47%,50%,37%,40%,66%,67%,72%,33%,63%,21%,41%,54%,41%,33%,34%
