Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
KATY ISD (101914) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,85%,74%,78%,92%,88%,93%,100%,90%,60%,83%,87%,79%,73%,82%
,2019,76%,76%,89%,82%,83%,91%,95%,96%,63%,94%,64%,91%,89%,86%,79%,85%
At Meets Grade Level or Above,2021,39%,39%,58%,45%,47%,68%,63%,75%,83%,63%,30%,53%,61%,51%,40%,53%
,2019,45%,46%,61%,47%,50%,65%,63%,81%,50%,65%,34%,58%,62%,54%,42%,54%
At Masters Grade Level,2021,19%,20%,33%,21%,24%,42%,13%,48%,17%,35%,14%,23%,35%,29%,18%,29%
,2019,27%,28%,41%,30%,31%,44%,37%,63%,38%,46%,17%,35%,43%,34%,25%,36%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,80%,65%,72%,88%,88%,94%,100%,85%,55%,86%,82%,74%,66%,79%
,2019,79%,79%,88%,76%,83%,92%,95%,96%,63%,90%,63%,95%,90%,84%,79%,88%
At Meets Grade Level or Above,2021,31%,31%,49%,29%,35%,61%,38%,74%,33%,52%,27%,48%,52%,42%,29%,46%
,2019,49%,49%,62%,45%,49%,67%,68%,87%,25%,63%,34%,67%,64%,55%,43%,59%
At Masters Grade Level,2021,14%,15%,27%,13%,17%,32%,25%,50%,17%,26%,11%,26%,29%,22%,13%,25%
,2019,25%,25%,37%,23%,23%,39%,42%,66%,25%,40%,13%,35%,39%,29%,19%,34%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,81%,68%,74%,87%,58%,94%,*,81%,51%,88%,83%,78%,68%,79%
,2019,75%,75%,88%,77%,84%,92%,88%,95%,*,89%,61%,89%,90%,84%,78%,86%
At Meets Grade Level or Above,2021,36%,37%,56%,40%,42%,65%,17%,78%,*,55%,27%,58%,59%,50%,37%,51%
,2019,44%,45%,62%,45%,52%,69%,41%,81%,*,63%,32%,63%,65%,55%,44%,57%
At Masters Grade Level,2021,17%,18%,32%,19%,21%,37%,0%,53%,*,31%,10%,30%,34%,28%,16%,29%
,2019,22%,23%,36%,21%,26%,40%,16%,58%,*,39%,12%,32%,38%,31%,19%,31%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,79%,61%,69%,87%,75%,96%,*,78%,50%,88%,82%,73%,62%,77%
,2019,75%,76%,87%,72%,82%,92%,84%,98%,*,89%,58%,88%,89%,82%,75%,86%
At Meets Grade Level or Above,2021,36%,37%,59%,37%,44%,69%,50%,85%,*,60%,34%,61%,63%,50%,37%,56%
,2019,48%,49%,64%,42%,52%,72%,59%,90%,*,65%,37%,72%,68%,57%,44%,63%
At Masters Grade Level,2021,21%,22%,41%,19%,26%,49%,25%,71%,*,40%,16%,42%,45%,34%,20%,39%
,2019,28%,30%,44%,24%,30%,50%,38%,77%,*,46%,20%,49%,47%,38%,23%,43%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,88%,79%,84%,92%,82%,97%,50%,91%,63%,93%,90%,85%,79%,87%
,2019,86%,86%,94%,89%,91%,97%,88%,99%,100%,96%,68%,95%,95%,93%,88%,93%
At Meets Grade Level or Above,2021,46%,47%,66%,54%,56%,72%,59%,85%,17%,71%,34%,74%,69%,60%,49%,61%
