Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,75%,63%,70%,85%,78%,85%,*,75%,48%,69%,78%,65%,66%,68%
,2019,76%,76%,81%,73%,75%,89%,82%,91%,*,80%,52%,89%,83%,74%,72%,74%
At Meets Grade Level or Above,2021,39%,39%,44%,33%,35%,58%,44%,58%,*,51%,26%,26%,47%,33%,32%,33%
,2019,45%,46%,50%,39%,40%,62%,55%,70%,*,57%,30%,42%,52%,42%,37%,38%
At Masters Grade Level,2021,19%,20%,23%,14%,15%,33%,22%,33%,*,35%,11%,15%,25%,17%,15%,15%
,2019,27%,28%,31%,21%,24%,41%,27%,47%,*,33%,11%,25%,33%,24%,22%,23%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,72%,54%,67%,83%,78%,87%,*,75%,47%,76%,74%,63%,61%,70%
,2019,79%,79%,81%,71%,77%,89%,82%,95%,*,83%,54%,93%,84%,75%,73%,78%
At Meets Grade Level or Above,2021,31%,31%,38%,22%,29%,52%,44%,56%,*,42%,25%,33%,41%,27%,26%,32%
,2019,49%,49%,51%,36%,42%,63%,55%,76%,*,57%,33%,51%,54%,41%,38%,45%
At Masters Grade Level,2021,14%,15%,16%,7%,10%,25%,22%,30%,*,23%,8%,20%,18%,10%,10%,13%
,2019,25%,25%,24%,12%,17%,34%,18%,45%,*,30%,10%,25%,26%,18%,16%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,70%,58%,64%,81%,71%,88%,*,77%,37%,70%,73%,63%,60%,64%
,2019,75%,75%,80%,68%,76%,89%,67%,90%,*,83%,51%,74%,83%,75%,72%,76%
At Meets Grade Level or Above,2021,36%,37%,41%,29%,33%,55%,14%,55%,*,52%,20%,30%,45%,33%,28%,31%
,2019,44%,45%,48%,34%,38%,64%,50%,67%,*,52%,31%,38%,50%,43%,35%,37%
At Masters Grade Level,2021,17%,18%,20%,11%,13%,30%,0%,34%,*,29%,6%,14%,22%,15%,10%,14%
,2019,22%,23%,24%,15%,17%,35%,17%,38%,*,25%,10%,21%,26%,20%,14%,14%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,68%,51%,62%,82%,86%,84%,*,77%,41%,74%,72%,59%,57%,63%
,2019,75%,76%,79%,66%,74%,87%,58%,92%,*,80%,56%,79%,82%,72%,70%,76%
At Meets Grade Level or Above,2021,36%,37%,41%,22%,32%,56%,86%,63%,*,50%,25%,44%,45%,32%,28%,34%
,2019,48%,49%,51%,36%,44%,63%,42%,73%,*,57%,34%,57%,54%,45%,40%,47%
At Masters Grade Level,2021,21%,22%,24%,10%,16%,37%,14%,48%,*,29%,8%,21%,28%,17%,14%,20%
,2019,28%,30%,30%,19%,23%,41%,17%,50%,*,31%,14%,36%,32%,26%,20%,25%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,81%,75%,76%,90%,100%,88%,*,85%,48%,76%,83%,75%,73%,75%
,2019,86%,86%,89%,83%,85%,95%,91%,94%,*,88%,58%,91%,90%,86%,82%,82%
At Meets Grade Level or Above,2021,46%,47%,54%,42%,46%,68%,80%,66%,*,64%,26%,45%,58%,45%,42%,44%
