Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,79%,85%,78%,80%,*,*,*,*,44%,71%,80%,76%,75%,64%
,2019,76%,76%,86%,70%,88%,88%,*,100%,*,73%,55%,70%,87%,82%,83%,80%
At Meets Grade Level or Above,2021,39%,39%,44%,44%,41%,46%,*,*,*,*,16%,29%,44%,45%,36%,36%
,2019,45%,46%,53%,34%,53%,56%,*,73%,*,64%,33%,40%,56%,43%,46%,43%
At Masters Grade Level,2021,19%,20%,21%,15%,19%,23%,*,*,*,*,5%,14%,21%,19%,16%,17%
,2019,27%,28%,32%,17%,32%,34%,*,36%,*,36%,16%,20%,34%,23%,26%,22%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,80%,78%,77%,85%,*,*,*,*,48%,71%,78%,88%,74%,71%
,2019,79%,79%,85%,77%,84%,88%,*,100%,*,82%,56%,70%,86%,80%,79%,73%
At Meets Grade Level or Above,2021,31%,31%,40%,44%,39%,40%,*,*,*,*,25%,43%,41%,38%,34%,36%
,2019,49%,49%,50%,34%,50%,54%,*,64%,*,45%,33%,40%,52%,44%,43%,37%
At Masters Grade Level,2021,14%,15%,13%,4%,12%,15%,*,*,*,*,5%,21%,13%,14%,10%,14%
,2019,25%,25%,24%,11%,23%,29%,*,18%,*,18%,15%,20%,26%,17%,21%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,75%,66%,73%,80%,*,*,*,*,39%,64%,75%,76%,74%,68%
,2019,75%,75%,86%,85%,84%,89%,*,*,-,67%,62%,88%,89%,79%,82%,78%
At Meets Grade Level or Above,2021,36%,37%,44%,31%,42%,48%,*,*,*,*,20%,45%,45%,41%,37%,34%
,2019,44%,45%,51%,39%,50%,55%,*,*,-,33%,26%,56%,54%,45%,43%,36%
At Masters Grade Level,2021,17%,18%,20%,10%,21%,20%,*,*,*,*,6%,36%,22%,15%,17%,16%
,2019,22%,23%,23%,17%,23%,24%,*,*,-,17%,8%,19%,24%,21%,16%,13%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,73%,52%,74%,75%,*,*,*,*,49%,64%,74%,71%,67%,66%
,2019,75%,76%,84%,68%,87%,83%,*,*,-,50%,50%,88%,85%,81%,81%,85%
At Meets Grade Level or Above,2021,36%,37%,48%,31%,49%,49%,*,*,*,*,29%,55%,47%,50%,40%,30%
,2019,48%,49%,55%,41%,56%,55%,*,*,-,17%,33%,44%,57%,49%,49%,50%
At Masters Grade Level,2021,21%,22%,27%,10%,27%,29%,*,*,*,*,11%,45%,27%,27%,20%,12%
,2019,28%,30%,29%,17%,28%,30%,*,*,-,17%,14%,38%,29%,28%,21%,17%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,87%,78%,88%,87%,*,100%,*,*,64%,69%,89%,78%,85%,81%
,2019,86%,86%,95%,83%,95%,96%,*,*,-,100%,75%,92%,96%,90%,93%,91%
At Meets Grade Level or Above,2021,46%,47%,63%,49%,62%,67%,*,80%,*,*,44%,31%,68%,48%,59%,53%
,2019,54%,54%,57%,34%,56%,61%,*,*,-,60%,34%,58%,58%,53%,51%,49%
