Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
PASADENA ISD (101917) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,59%,49%,59%,66%,*,75%,*,55%,32%,52%,60%,57%,57%,58%
,2019,76%,76%,80%,73%,80%,83%,*,93%,-,79%,45%,80%,81%,75%,79%,82%
At Meets Grade Level or Above,2021,39%,39%,27%,17%,27%,33%,*,47%,*,35%,19%,19%,28%,23%,25%,28%
,2019,45%,46%,42%,31%,42%,45%,*,65%,-,47%,22%,36%,43%,38%,40%,46%
At Masters Grade Level,2021,19%,20%,12%,6%,12%,18%,*,15%,*,16%,4%,10%,13%,10%,11%,15%
,2019,27%,28%,23%,14%,23%,23%,*,46%,-,37%,5%,18%,24%,20%,22%,25%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,51%,29%,51%,58%,*,80%,*,55%,30%,48%,52%,44%,48%,55%
,2019,79%,79%,78%,67%,78%,83%,*,94%,-,79%,49%,85%,79%,75%,77%,82%
At Meets Grade Level or Above,2021,31%,31%,18%,9%,18%,21%,*,42%,*,23%,18%,15%,19%,14%,16%,21%
,2019,49%,49%,41%,28%,40%,56%,*,79%,-,53%,25%,44%,42%,35%,39%,45%
At Masters Grade Level,2021,14%,15%,6%,4%,5%,8%,*,16%,*,6%,5%,5%,6%,4%,5%,7%
,2019,25%,25%,17%,11%,16%,26%,*,49%,-,21%,8%,18%,18%,13%,16%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,54%,43%,53%,67%,*,74%,*,64%,28%,46%,55%,50%,52%,50%
,2019,75%,75%,77%,70%,77%,82%,-,97%,*,81%,45%,74%,78%,72%,76%,75%
At Meets Grade Level or Above,2021,36%,37%,25%,21%,23%,39%,*,49%,*,25%,17%,21%,25%,22%,23%,20%
,2019,44%,45%,41%,35%,40%,52%,-,73%,*,46%,25%,35%,42%,37%,39%,38%
At Masters Grade Level,2021,17%,18%,8%,6%,8%,17%,*,22%,*,7%,4%,5%,9%,7%,7%,6%
,2019,22%,23%,17%,16%,16%,30%,-,38%,*,27%,7%,13%,17%,17%,16%,15%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,50%,37%,50%,55%,*,76%,*,39%,30%,46%,51%,45%,48%,50%
,2019,75%,76%,75%,63%,75%,80%,-,93%,*,88%,45%,78%,77%,68%,74%,79%
At Meets Grade Level or Above,2021,36%,37%,21%,12%,21%,30%,*,51%,*,18%,16%,21%,22%,17%,20%,20%
,2019,48%,49%,40%,30%,39%,47%,-,78%,*,35%,28%,42%,42%,35%,39%,45%
At Masters Grade Level,2021,21%,22%,10%,4%,9%,18%,*,32%,*,11%,5%,8%,10%,8%,9%,9%
,2019,28%,30%,18%,12%,18%,21%,-,51%,*,19%,11%,18%,19%,15%,17%,20%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,62%,54%,61%,68%,*,87%,*,71%,30%,64%,64%,54%,60%,56%
,2019,86%,86%,84%,77%,84%,88%,86%,92%,*,100%,55%,84%,85%,80%,83%,83%
At Meets Grade Level or Above,2021,46%,47%,31%,24%,29%,46%,*,63%,*,26%,15%,23%,32%,26%,28%,22%
,2019,54%,54%,47%,41%,45%,59%,43%,75%,*,72%,31%,42%,48%,41%,43%,42%
