Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,56%,51%,57%,68%,65%,73%,64%,74%,31%,51%,57%,54%,54%,56%
,2019,76%,76%,66%,57%,71%,70%,78%,79%,67%,75%,44%,59%,68%,63%,65%,72%
At Meets Grade Level or Above,2021,39%,39%,28%,23%,28%,41%,43%,39%,45%,44%,19%,26%,30%,23%,26%,29%
,2019,45%,46%,35%,28%,38%,40%,43%,55%,33%,37%,24%,24%,37%,30%,33%,41%
At Masters Grade Level,2021,19%,20%,12%,9%,13%,17%,23%,22%,18%,18%,4%,11%,13%,10%,12%,16%
,2019,27%,28%,19%,14%,22%,27%,16%,36%,0%,16%,7%,10%,21%,16%,18%,23%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,51%,40%,54%,69%,60%,76%,82%,64%,32%,51%,53%,45%,49%,57%
,2019,79%,79%,68%,58%,74%,78%,77%,91%,83%,76%,46%,67%,70%,64%,68%,75%
At Meets Grade Level or Above,2021,31%,31%,19%,12%,20%,28%,33%,49%,45%,24%,18%,29%,20%,17%,18%,24%
,2019,49%,49%,34%,26%,36%,48%,45%,64%,83%,41%,26%,22%,37%,27%,33%,39%
At Masters Grade Level,2021,14%,15%,8%,4%,9%,14%,10%,25%,27%,6%,6%,11%,8%,7%,7%,10%
,2019,25%,25%,14%,9%,16%,21%,15%,40%,17%,18%,6%,12%,16%,11%,13%,18%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,48%,38%,53%,63%,47%,65%,56%,55%,21%,38%,50%,45%,46%,53%
,2019,75%,75%,63%,53%,68%,74%,67%,85%,*,67%,42%,58%,66%,57%,61%,68%
At Meets Grade Level or Above,2021,36%,37%,25%,18%,27%,39%,31%,52%,22%,32%,15%,17%,26%,24%,23%,27%
,2019,44%,45%,33%,25%,35%,39%,39%,72%,*,52%,29%,26%,36%,28%,31%,38%
At Masters Grade Level,2021,17%,18%,11%,6%,12%,17%,13%,35%,22%,8%,3%,3%,12%,8%,9%,12%
,2019,22%,23%,14%,9%,15%,17%,15%,43%,*,35%,5%,8%,15%,12%,12%,16%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,43%,29%,49%,61%,39%,63%,55%,50%,25%,37%,46%,38%,40%,50%
,2019,75%,76%,65%,55%,70%,78%,74%,94%,*,73%,48%,66%,68%,61%,64%,71%
At Meets Grade Level or Above,2021,36%,37%,21%,12%,24%,35%,12%,54%,36%,24%,16%,23%,23%,17%,19%,25%
,2019,48%,49%,35%,25%,39%,48%,43%,78%,*,42%,30%,37%,39%,30%,34%,41%
At Masters Grade Level,2021,21%,22%,10%,5%,11%,21%,6%,35%,27%,5%,3%,13%,12%,8%,9%,12%
,2019,28%,30%,18%,9%,21%,24%,29%,48%,*,19%,12%,24%,20%,13%,17%,23%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,58%,50%,61%,68%,66%,79%,67%,62%,28%,71%,60%,55%,56%,62%
,2019,86%,86%,77%,71%,80%,88%,80%,88%,80%,85%,47%,64%,79%,75%,77%,79%
At Meets Grade Level or Above,2021,46%,47%,30%,24%,31%,42%,39%,56%,50%,44%,14%,35%,33%,26%,28%,32%
