Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,71%,62%,60%,92%,50%,91%,-,83%,40%,55%,73%,66%,56%,57%
,2019,76%,76%,74%,60%,64%,90%,*,91%,*,85%,47%,50%,74%,72%,61%,62%
At Meets Grade Level or Above,2021,39%,39%,43%,27%,27%,70%,17%,72%,-,62%,23%,21%,44%,39%,22%,24%
,2019,45%,46%,46%,31%,31%,70%,*,75%,*,61%,28%,25%,46%,43%,28%,30%
At Masters Grade Level,2021,19%,20%,23%,10%,11%,45%,0%,42%,-,48%,8%,6%,24%,20%,8%,9%
,2019,27%,28%,29%,17%,16%,51%,*,55%,*,39%,9%,10%,30%,25%,14%,15%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,69%,49%,58%,91%,33%,92%,-,83%,46%,67%,71%,63%,54%,57%
,2019,79%,79%,78%,58%,70%,93%,*,96%,*,79%,52%,55%,78%,77%,68%,71%
At Meets Grade Level or Above,2021,31%,31%,43%,20%,28%,70%,0%,81%,-,62%,24%,39%,44%,39%,24%,27%
,2019,49%,49%,49%,31%,36%,72%,*,82%,*,56%,28%,28%,50%,46%,32%,37%
At Masters Grade Level,2021,14%,15%,22%,6%,10%,43%,0%,53%,-,42%,7%,15%,23%,20%,7%,9%
,2019,25%,25%,26%,13%,15%,44%,*,57%,*,37%,10%,15%,27%,22%,13%,16%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,66%,54%,55%,88%,56%,90%,-,87%,36%,58%,68%,61%,51%,52%
,2019,75%,75%,69%,53%,59%,91%,*,89%,-,89%,42%,54%,72%,63%,57%,57%
At Meets Grade Level or Above,2021,36%,37%,41%,23%,26%,68%,44%,68%,-,69%,19%,40%,42%,37%,22%,24%
,2019,44%,45%,44%,26%,30%,72%,*,69%,-,65%,28%,23%,46%,39%,27%,28%
At Masters Grade Level,2021,17%,18%,20%,8%,10%,37%,11%,47%,-,35%,5%,16%,21%,16%,7%,9%
,2019,22%,23%,24%,17%,12%,46%,*,42%,-,39%,8%,10%,25%,21%,10%,11%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,68%,43%,57%,90%,44%,96%,-,84%,38%,79%,71%,57%,53%,57%
,2019,75%,76%,72%,44%,64%,91%,*,89%,-,85%,45%,73%,75%,65%,61%,64%
At Meets Grade Level or Above,2021,36%,37%,48%,22%,34%,76%,22%,90%,-,60%,24%,48%,52%,36%,29%,33%
,2019,48%,49%,49%,26%,36%,74%,*,82%,-,69%,31%,44%,52%,40%,33%,36%
At Masters Grade Level,2021,21%,22%,33%,13%,20%,58%,22%,76%,-,51%,10%,29%,36%,25%,15%,19%
,2019,28%,30%,33%,16%,20%,57%,*,67%,-,55%,16%,19%,35%,28%,17%,20%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,75%,62%,65%,93%,*,93%,*,80%,34%,74%,77%,70%,63%,65%
,2019,86%,86%,83%,76%,76%,97%,*,94%,*,96%,50%,81%,84%,80%,75%,76%
At Meets Grade Level or Above,2021,46%,47%,52%,41%,36%,79%,*,83%,*,68%,21%,46%,54%,47%,34%,36%
,2019,54%,54%,54%,36%,38%,85%,*,81%,*,75%,26%,62%,55%,50%,36%,36%
