Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,53%,50%,53%,69%,*,*,-,46%,28%,60%,54%,49%,50%,51%
,2019,76%,76%,66%,57%,69%,70%,*,*,-,54%,30%,57%,67%,65%,66%,69%
At Meets Grade Level or Above,2021,39%,39%,22%,17%,22%,46%,*,*,-,23%,15%,20%,23%,18%,21%,17%
,2019,45%,46%,33%,24%,35%,42%,*,*,-,15%,16%,29%,33%,33%,31%,34%
At Masters Grade Level,2021,19%,20%,6%,7%,5%,19%,*,*,-,15%,3%,20%,7%,5%,5%,3%
,2019,27%,28%,18%,13%,20%,21%,*,*,-,15%,0%,0%,20%,15%,17%,18%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,52%,40%,54%,58%,*,*,-,69%,36%,80%,53%,48%,51%,55%
,2019,79%,79%,76%,66%,79%,73%,*,*,-,77%,39%,71%,77%,73%,76%,79%
At Meets Grade Level or Above,2021,31%,31%,20%,11%,21%,27%,*,*,-,31%,19%,20%,21%,17%,19%,19%
,2019,49%,49%,38%,24%,41%,58%,*,*,-,15%,18%,29%,40%,34%,36%,42%
At Masters Grade Level,2021,14%,15%,8%,5%,8%,19%,*,*,-,8%,5%,0%,8%,6%,7%,7%
,2019,25%,25%,18%,9%,19%,33%,*,*,-,8%,3%,14%,19%,15%,17%,20%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,45%,32%,49%,26%,*,*,-,50%,20%,50%,48%,38%,43%,44%
,2019,75%,75%,65%,55%,68%,63%,*,100%,-,63%,27%,64%,70%,55%,65%,65%
At Meets Grade Level or Above,2021,36%,37%,22%,14%,24%,21%,*,*,-,36%,10%,7%,25%,17%,20%,21%
,2019,44%,45%,32%,21%,36%,19%,*,80%,-,25%,15%,18%,36%,25%,31%,30%
At Masters Grade Level,2021,17%,18%,8%,2%,10%,11%,*,*,-,0%,3%,0%,9%,6%,7%,8%
,2019,22%,23%,15%,6%,18%,7%,*,80%,-,0%,6%,0%,18%,8%,14%,16%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,46%,31%,50%,37%,*,*,-,50%,22%,57%,48%,41%,45%,49%
,2019,75%,76%,65%,52%,69%,63%,*,100%,-,63%,30%,82%,69%,58%,65%,66%
At Meets Grade Level or Above,2021,36%,37%,24%,12%,27%,21%,*,*,-,29%,13%,14%,27%,19%,22%,25%
,2019,48%,49%,40%,21%,44%,37%,*,80%,-,50%,21%,64%,46%,29%,39%,42%
At Masters Grade Level,2021,21%,22%,13%,6%,15%,16%,*,*,-,14%,6%,14%,14%,11%,11%,13%
,2019,28%,30%,22%,12%,25%,19%,*,80%,-,25%,10%,18%,27%,14%,21%,24%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,57%,46%,61%,71%,*,-,-,50%,30%,*,59%,54%,56%,60%
,2019,86%,86%,79%,72%,81%,80%,*,100%,-,90%,41%,82%,80%,77%,79%,81%
At Meets Grade Level or Above,2021,46%,47%,30%,23%,32%,29%,*,-,-,20%,12%,*,33%,25%,28%,30%
,2019,54%,54%,44%,35%,45%,52%,*,60%,-,70%,17%,9%,44%,43%,42%,42%
