Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUFFMAN ISD (101925) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,64%,*,53%,68%,-,-,-,57%,36%,60%,65%,60%,56%,54%
,2019,76%,76%,76%,67%,62%,81%,*,-,*,*,47%,*,79%,66%,67%,54%
At Meets Grade Level or Above,2021,39%,39%,32%,*,16%,38%,-,-,-,14%,14%,60%,32%,33%,18%,17%
,2019,45%,46%,40%,17%,29%,45%,*,-,*,*,25%,*,44%,29%,25%,31%
At Masters Grade Level,2021,19%,20%,11%,*,8%,13%,-,-,-,14%,6%,0%,12%,8%,6%,13%
,2019,27%,28%,25%,0%,13%,31%,*,-,*,*,9%,*,28%,17%,13%,12%
Grade 3 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,64%,*,54%,69%,-,-,-,43%,38%,80%,67%,54%,52%,42%
,2019,79%,79%,66%,17%,59%,71%,*,-,*,*,56%,*,71%,53%,52%,42%
At Meets Grade Level or Above,2021,31%,31%,25%,*,14%,29%,-,-,-,14%,5%,40%,27%,19%,11%,21%
,2019,49%,49%,34%,17%,22%,39%,*,-,*,*,22%,*,41%,18%,19%,23%
At Masters Grade Level,2021,14%,15%,9%,*,8%,10%,-,-,-,0%,3%,20%,9%,10%,3%,13%
,2019,25%,25%,15%,17%,6%,18%,*,-,*,*,9%,*,18%,6%,5%,8%
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,57%,67%,51%,58%,-,-,-,*,20%,29%,57%,57%,41%,32%
,2019,75%,75%,75%,89%,81%,73%,-,*,-,*,37%,82%,77%,72%,67%,68%
At Meets Grade Level or Above,2021,36%,37%,31%,25%,23%,34%,-,-,-,*,11%,14%,32%,28%,18%,18%
,2019,44%,45%,39%,56%,35%,39%,-,*,-,*,23%,45%,40%,37%,30%,23%
At Masters Grade Level,2021,17%,18%,15%,8%,8%,18%,-,-,-,*,2%,14%,17%,10%,8%,5%
,2019,22%,23%,18%,44%,19%,16%,-,*,-,*,13%,18%,20%,14%,11%,6%
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,59%,60%,50%,50%,48%,52%,-,-,-,*,16%,43%,53%,44%,37%,50%
,2019,75%,76%,67%,89%,61%,68%,-,*,-,*,41%,64%,67%,65%,60%,45%
At Meets Grade Level or Above,2021,36%,37%,23%,33%,17%,24%,-,-,-,*,5%,14%,25%,19%,14%,14%
,2019,48%,49%,37%,56%,39%,36%,-,*,-,*,31%,18%,38%,36%,33%,23%
At Masters Grade Level,2021,21%,22%,13%,8%,9%,14%,-,-,-,*,2%,14%,14%,10%,5%,9%
,2019,28%,30%,22%,56%,21%,21%,-,*,-,*,17%,9%,23%,20%,20%,10%
Grade 5 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,70%,*,61%,74%,*,-,-,*,26%,100%,72%,66%,58%,59%
,2019,86%,86%,85%,*,79%,88%,-,*,-,*,40%,100%,84%,86%,76%,75%
At Meets Grade Level or Above,2021,46%,47%,39%,*,28%,45%,*,-,-,*,4%,50%,45%,25%,31%,26%
,2019,54%,54%,51%,*,39%,57%,-,*,-,*,17%,50%,52%,49%,35%,22%
At Masters Grade Level,2021,30%,31%,25%,*,14%,29%,*,-,-,*,0%,33%,27%,16%,20%,11%
