Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.84,0.64,0.79,0.90,-,*,*,0.88,0.50,0.81,0.88,0.78,0.60
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.82,0.73,0.80,0.84,*,1.00,-,*,0.62,0.78,0.89,0.73,0.60
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.63,0.45,0.50,0.77,-,*,*,0.25,0.43,0.60,0.67,0.59,0.20
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.55,0.73,0.48,0.55,*,0.60,-,*,0.15,0.56,0.52,0.18,0.20
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.46,0.18,0.43,0.54,-,*,*,0.25,0.21,0.43,0.50,0.44,0.20
Aristoi_Classical_Academy_Grade 3 Reading,Aristoi_Classical_Academy,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.32,0.45,0.32,0.32,*,0.00,-,*,0.08,0.27,0.41,0.09,0.20
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.72,0.55,0.64,0.81,-,*,*,0.50,0.43,0.71,0.74,0.56,0.60
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.71,0.64,0.68,0.68,*,1.00,-,*,0.31,0.65,0.81,0.45,0.40
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.50,0.36,0.43,0.60,-,*,*,0.25,0.21,0.45,0.57,0.41,0.00
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.43,0.45,0.28,0.47,*,0.60,-,*,0.23,0.35,0.59,0.14,0.20
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.21,0.09,0.21,0.27,-,*,*,0.00,0.07,0.21,0.21,0.06,0.00
Aristoi_Classical_Academy_Grade 3 Mathematics,Aristoi_Classical_Academy,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.15,0.09,0.12,0.11,*,0.60,-,*,0.00,0.11,0.22,0.00,0.00
Aristoi_Classical_Academy_Grade 4 Reading,Aristoi_Classical_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.78,0.82,0.71,0.83,*,0.86,-,*,0.50,0.78,0.77,0.50,0.50
Aristoi_Classical_Academy_Grade 4 Reading,Aristoi_Classical_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.74,0.60,0.70,0.76,-,*,-,*,0.18,0.66,0.84,0.68,*
Aristoi_Classical_Academy_Grade 4 Reading,Aristoi_Classical_Academy,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.63,0.73,0.62,0.62,*,0.57,-,*,0.31,0.61,0.64,0.38,0.25
