"
2018-19 District Student Information",,,,
District Name: HOUSTON ISD (101912),,,,
County Name: HARRIS,,,,
,,,,
,----------------- District ----------------,,------------------ State ------------------,
Student Information,Count,Percent,Count,Percent
 ,,,,
"Total Students
","209,040",100.00%,"5,416,400",100.00%
 ,,,,
"Students by Grade:
     Early Childhood Education",257,0.10%,"15,122",0.30%
     Pre-Kindergarten,"14,810",7.10%,"238,810",4.40%
     Kindergarten,"15,597",7.50%,"373,435",6.90%
     Grade 1,"16,534",7.90%,"386,567",7.10%
     Grade 2,"16,503",7.90%,"387,490",7.20%
     Grade 3,"16,958",8.10%,"395,637",7.30%
     Grade 4,"17,256",8.30%,"411,805",7.60%
     Grade 5,"16,712",8.00%,"417,388",7.70%
     Grade 6,"14,092",6.70%,"417,587",7.70%
     Grade 7,"13,478",6.40%,"406,716",7.50%
     Grade 8,"13,543",6.50%,"404,933",7.50%
     Grade 9,"15,700",7.50%,"436,449",8.10%
     Grade 10,"13,769",6.60%,"400,571",7.40%
     Grade 11,"12,240",5.90%,"372,899",6.90%
     Grade 12,"11,591",5.50%,"350,991",6.50%
 ,,,,
"Ethnic Distribution:
     African American","48,808",23.30%,"684,349",12.60%
     Hispanic,"129,572",62.00%,"2,847,629",52.60%
     White,"18,799",9.00%,"1,484,069",27.40%
     American Indian,463,0.20%,"20,362",0.40%
     Asian,"8,738",4.20%,"242,247",4.50%
     Pacific Islander,140,0.10%,"8,254",0.20%
     Two or More Races,"2,520",1.20%,"129,490",2.40%
 ,,,,
Economically Disadvantaged,"167,106",79.90%,"3,283,812",60.60%
Non-Educationally Disadvantaged,"41,934",20.10%,"2,132,588",39.40%
Section 504 Students,"5,993",2.90%,"354,440",6.50%
English Learners (EL),"66,394",31.80%,"1,054,596",19.50%
Students w/ Disciplinary Placements (2017-18),"1,622",0.70%,"75,963",1.40%
Students w/ Dyslexia,"4,073",1.90%,"194,074",3.60%
At-Risk,"136,566",65.30%,"2,713,848",50.10%
 ,,,,
"Students with Disabilities by Type of Primary Disability:
     Total Students with Disabilities","15,469",,"521,908",
"      By Type of Primary Disability
        Students with Intellectual Disabilities","7,608",49.20%,"221,426",42.40%
        Students with Physical Disabilities,"2,274",14.70%,"114,118",21.90%
        Students with Autism,"2,377",15.40%,"71,373",13.70%
        Students with Behavioral Disabilities,"2,962",19.10%,"107,604",20.60%
        Students with Non-Categorical Early Childhood,248,1.60%,"7,387",1.40%
,,,,
,- Non-Special Education Rates -,,- Special Education Rates -,
Student Information,District,State,District,State
 ,,,,
"Retention Rates by Grade:
     Kindergarten",0.70%,1.70%,4.60%,6.20%
     Grade 1,4.70%,3.10%,7.50%,5.50%
     Grade 2,3.10%,1.80%,4.30%,2.30%
     Grade 3,2.20%,1.10%,1.20%,0.90%
     Grade 4,1.30%,0.50%,1.30%,0.50%
     Grade 5,0.40%,0.50%,0.20%,0.60%
     Grade 6,1.40%,0.40%,2.00%,0.50%
     Grade 7,1.60%,0.60%,2.30%,0.60%
     Grade 8,1.00%,0.40%,1.10%,0.70%
     Grade 9,13.90%,7.20%,23.10%,12.70%
,,,,
,---------- District -----------,,------------ State ------------,
,Count,Percent,Count,Percent
 ,,,,
"Data Quality:
     Underreported Students",14,0.00%,"6,321",0.30%
,,,,
Class Size Information,District,State,,
 ,,,,
"Class Size Averages by Grade and Subject
(Derived from teacher responsibility records):			

Elementary:
     Kindergarten",19.2,18.9,,
     Grade 1,18.9,18.8,,
     Grade 2,18.3,18.7,,
     Grade 3,18.3,18.9,,
     Grade 4,18.4,19.2,,
     Grade 5,19.3,21.2,,
     Grade 6,22.1,20.4,,
 ,,,,
"Secondary:
     English/Language Arts",19.6,16.6,,
     Foreign Languages,22.1,18.9,,
     Mathematics,21.7,17.8,,
     Science,22.3,18.9,,
     Social Studies,23,19.3,,
