Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019
_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0,-0.03,0.08,-0.1,-0.02,-0.04,-0.11
_Grade 3 Mathematics_At Meets Grade Level or Above_2019,,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.03,0.001,-0.1,0.12,-0.02,-0.02
_Grade 3 Mathematics_At Masters Grade Level_2019,,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.05,-0.07,-0.03,-0.15,-0.06,-0.02
_Grade 3 Reading_At Meets Grade Level or Above_2019,,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.001,-0.06,0.001,-0.04,-0.01,-0.03
_Grade 3 Reading_At Masters Grade Level_2019,,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.03,-0.04,0.07,0.02,0.04,0.05
_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,0.02,-0.02,0.07,-0.1,0.02,0.04
_Grade 4 Mathematics_At Meets Grade Level or Above_2019,,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.12,-0.25,-0.02,-0.3,-0.12,-0.13
_Grade 4 Mathematics_At Masters Grade Level_2019,,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.05,-0.15,0.1,-0.58,-0.03,-0.08
_Grade 4 Reading_At Approaches Grade Level or Above_2019,,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,-0.02,-0.14,0.08,-0.09,0.01,0.04
_Grade 4 Reading_At Meets Grade Level or Above_2019,,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.06,-0.25,0.05,-0.09,-0.07,-0.02
_Grade 4 Reading_At Masters Grade Level_2019,,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.03,-0.11,0.06,-0.09,-0.05,-0.07
_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.02,0.07,-0.01,0.17,0.02,0.001
_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.15,0.29,0.07,0.38,0.14,0.09
_Grade 5 Mathematics+_At Masters Grade Level_2019,,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.18,0.29,0.1,0.17,0.17,0.12
_Grade 5 Reading+_At Approaches Grade Level or Above_2019,,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.09,0.1,0.09,0.08,0.09,0.1
