Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Pasadena_ISD_Grade 7 Reading,Pasadena_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021_2022,0.11,0.8,0.1,0.81,0.14,0.76,0.29,0.75,0.13,0.75,0.19,0.85,0.15,0.75,0.33,0.72
Pasadena_ISD_Grade 7 Reading,Pasadena_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021_2022,0.11,0.8,0.1,0.81,0.14,0.76,0.29,0.75,0.13,0.75,0.19,0.85,0.15,0.75,0.33,0.72
Sheldon_ISD_Grade 4 Reading,Sheldon_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.24,0.69,0.28,0.6,0.23,0.72,0.5,0.76,0.25,0.68,0.31,0.75
Sheldon_ISD_Grade 4 Reading,Sheldon_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.24,0.69,0.28,0.6,0.23,0.72,0.5,0.76,0.25,0.68,0.31,0.75
Harmony_Schools_West_Grade 4 Reading,Harmony_Schools_West,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.29,0.75,0.25,0.72,0.29,0.51,0.37,0.87,0.31,0.69,0.31,0.69
Harmony_Schools_West_Grade 4 Reading,Harmony_Schools_West,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.29,0.75,0.25,0.72,0.29,0.51,0.37,0.87,0.31,0.69,0.31,0.69
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.24,0.49,0.15,0.44,0.25,0.42,0.3,0.68,0.24,0.42,0.3,0.51
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.24,0.49,0.15,0.44,0.25,0.42,0.3,0.68,0.24,0.42,0.3,0.51
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.08,0.87,-0.14,0.71,0.12,0.9,0.05,0.85,0.09,0.84,0.3,0.94
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.08,0.87,-0.14,0.71,0.12,0.9,0.05,0.85,0.09,0.84,0.3,0.94
Crosby_ISD_Grade 3 Reading,Crosby_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.16,0.53,0.04,0.33,0.17,0.5,0.17,0.61,0.22,0.49,0.29,0.49
