Grade,Performance level,Subject,Year,State,Region 04,District,"African-
American",Hispanic,White,American-Indian,Asian,Pacific-Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continuously Enrolled,Non-Continuously Enrolled,Econ-Disadv,EL (Current & Monitored)
3,Below,Reading,2022,76%,76%,72%,66%,69%,92%,94%,90%,33%,89%,48%,76%,72%,70%,67%,66%
3,Below,Reading,2021,67%,68%,59%,49%,54%,90%,71%,86%,*,67%,38%,57%,59%,55%,51%,54%
3,Reached,Reading,2022,51%,52%,46%,37%,41%,80%,67%,79%,11%,79%,30%,51%,47%,44%,38%,38%
3,Reached,Reading,2021,39%,39%,32%,22%,26%,71%,29%,68%,*,47%,24%,38%,33%,29%,23%,25%
3,Above,Reading,2022,30%,31%,28%,19%,22%,61%,50%,65%,11%,61%,11%,30%,28%,26%,20%,20%
3,Above,Reading,2021,19%,20%,17%,8%,12%,48%,7%,48%,*,27%,8%,19%,17%,15%,10%,12%
3,Below,Mathematics,2022,71%,71%,67%,53%,66%,89%,83%,91%,22%,86%,45%,72%,69%,60%,62%,67%
3,Below,Mathematics,2021,62%,62%,51%,34%,48%,85%,50%,83%,*,57%,35%,49%,52%,45%,43%,48%
3,Reached,Mathematics,2022,43%,44%,40%,26%,36%,71%,50%,79%,11%,72%,28%,48%,41%,34%,32%,37%
3,Reached,Mathematics,2021,31%,31%,24%,12%,19%,59%,21%,65%,*,36%,23%,30%,25%,20%,16%,19%
3,Above,Mathematics,2022,21%,22%,20%,10%,16%,47%,33%,61%,0%,46%,13%,26%,22%,15%,13%,17%
3,Above,Mathematics,2021,14%,15%,12%,5%,7%,38%,14%,45%,*,36%,8%,17%,12%,9%,6%,8%
4,Below,Reading,2022,77%,77%,71%,65%,69%,91%,83%,91%,100%,93%,46%,66%,73%,68%,66%,66%
4,Below,Reading,2021,63%,63%,56%,48%,51%,84%,54%,84%,*,*,30%,55%,57%,51%,49%,49%
4,Reached,Reading,2022,54%,55%,49%,41%,44%,81%,56%,82%,100%,80%,31%,43%,51%,45%,42%,42%
4,Reached,Reading,2021,36%,37%,31%,23%,25%,66%,31%,67%,*,*,22%,37%,32%,27%,23%,24%
4,Above,Reading,2022,28%,30%,27%,19%,21%,56%,33%,61%,60%,59%,12%,24%,28%,23%,19%,21%
4,Above,Reading,2021,17%,18%,15%,9%,10%,44%,23%,47%,*,*,6%,20%,16%,13%,9%,10%
4,Below,Mathematics,2022,70%,70%,66%,51%,67%,84%,72%,91%,80%,88%,42%,64%,70%,58%,62%,68%
4,Below,Mathematics,2021,59%,60%,49%,35%,45%,79%,46%,84%,*,*,31%,53%,50%,42%,41%,45%
4,Reached,Mathematics,2022,43%,44%,41%,25%,38%,69%,44%,78%,60%,71%,29%,40%,44%,31%,34%,39%
4,Reached,Mathematics,2021,36%,37%,28%,17%,22%,61%,38%,70%,*,*,22%,34%,29%,22%,20%,22%
4,Above,Mathematics,2022,23%,24%,23%,11%,20%,48%,28%,62%,40%,51%,12%,22%,25%,16%,17%,21%
4,Above,Mathematics,2021,21%,22%,16%,8%,11%,44%,23%,57%,*,*,8%,22%,17%,13%,9%,12%
5,Below,Reading,2022,81%,81%,77%,71%,75%,91%,63%,93%,70%,93%,50%,74%,78%,74%,73%,74%
5,Below,Reading,2021,73%,73%,66%,56%,64%,90%,92%,91%,67%,-,36%,60%,68%,59%,61%,62%
5,Reached,Reading,2022,58%,58%,53%,45%,49%,79%,42%,84%,50%,81%,31%,45%,55%,49%,46%,47%
5,Reached,Reading,2021,46%,47%,41%,31%,36%,76%,77%,79%,67%,-,23%,41%,43%,35%,33%,35%
5,Above,Reading,2022,36%,38%,33%,25%,28%,64%,21%,71%,20%,65%,12%,32%,35%,29%,26%,27%
5,Above,Reading,2021,30%,31%,26%,18%,20%,63%,46%,68%,50%,-,8%,28%,27%,20%,18%,19%
5,Below,Mathematics,2022,77%,76%,74%,64%,74%,87%,63%,93%,60%,89%,49%,64%,77%,66%,70%,75%
5,Below,Mathematics,2021,70%,70%,60%,47%,57%,86%,92%,92%,100%,-,38%,60%,62%,50%,54%,58%
5,Reached,Mathematics,2022,48%,49%,47%,34%,45%,68%,26%,82%,30%,72%,30%,42%,51%,35%,41%,46%
5,Reached,Mathematics,2021,44%,45%,35%,22%,31%,68%,69%,81%,67%,-,23%,39%,37%,26%,28%,31%
5,Above,Mathematics,2022,25%,26%,26%,15%,22%,48%,21%,70%,10%,53%,12%,24%,28%,17%,20%,24%
5,Above,Mathematics,2021,25%,26%,20%,9%,15%,50%,54%,67%,50%,-,10%,24%,21%,15%,13%,16%
5,Below,Science,2022,66%,66%,60%,51%,58%,82%,53%,86%,40%,82%,38%,56%,63%,51%,54%,56%
5,Below,Science,2021,62%,62%,50%,41%,45%,82%,77%,88%,100%,*,29%,48%,51%,42%,42%,43%
5,Reached,Science,2022,38%,39%,33%,24%,29%,61%,37%,72%,20%,61%,25%,32%,36%,25%,27%,28%
5,Reached,Science,2021,31%,32%,23%,15%,17%,58%,46%,67%,33%,*,21%,25%,24%,16%,15%,15%
5,Above,Science,2022,18%,19%,15%,9%,12%,36%,16%,49%,0%,38%,12%,13%,17%,10%,10%,12%
5,Above,Science,2021,13%,14%,10%,4%,6%,34%,31%,41%,0%,*,8%,15%,10%,7%,4%,5%
6,Below,Reading,2022,70%,70%,65%,56%,62%,88%,87%,92%,92%,86%,36%,65%,67%,60%,59%,58%
6,Below,Reading,2021,62%,64%,54%,46%,50%,84%,63%,81%,*,*,26%,37%,57%,44%,47%,46%
6,Reached,Reading,2022,43%,44%,41%,31%,36%,72%,60%,81%,83%,75%,24%,39%,43%,36%,33%,32%
6,Reached,Reading,2021,32%,34%,27%,21%,22%,61%,38%,63%,*,*,17%,22%,29%,21%,20%,19%
6,Above,Reading,2022,23%,24%,23%,14%,18%,51%,33%,63%,25%,54%,11%,23%,25%,19%,15%,16%
6,Above,Reading,2021,15%,16%,13%,9%,8%,39%,25%,45%,*,*,7%,15%,14%,9%,7%,7%
6,Below,Mathematics,2022,73%,73%,66%,55%,64%,87%,87%,94%,92%,90%,41%,61%,68%,60%,60%,62%
6,Below,Mathematics,2021,68%,68%,54%,41%,51%,87%,89%,86%,*,-,29%,43%,57%,44%,47%,50%
6,Reached,Mathematics,2022,39%,40%,34%,21%,29%,61%,27%,82%,50%,67%,23%,35%,36%,26%,26%,29%
6,Reached,Mathematics,2021,36%,37%,26%,14%,21%,62%,44%,71%,*,-,17%,24%,28%,17%,17%,19%
6,Above,Mathematics,2022,16%,18%,15%,7%,11%,33%,20%,61%,17%,43%,13%,13%,17%,10%,9%,12%
6,Above,Mathematics,2021,15%,17%,11%,5%,7%,33%,22%,52%,*,-,8%,11%,12%,7%,5%,7%
7,Below,Reading,2022,80%,81%,78%,72%,77%,91%,74%,93%,57%,91%,48%,68%,80%,73%,74%,71%
7,Below,Reading,2021,69%,71%,62%,54%,59%,87%,79%,88%,100%,67%,29%,49%,66%,48%,55%,54%
7,Reached,Reading,2022,56%,58%,55%,45%,52%,80%,37%,84%,43%,81%,29%,41%,57%,50%,48%,45%
7,Reached,Reading,2021,45%,47%,39%,29%,34%,73%,57%,80%,100%,58%,21%,28%,42%,27%,30%,28%
7,Above,Reading,2022,37%,39%,37%,27%,33%,65%,26%,73%,29%,68%,14%,31%,39%,33%,29%,27%
7,Above,Reading,2021,25%,27%,21%,14%,17%,50%,36%,61%,40%,42%,10%,14%,24%,14%,14%,13%
7,Below,Mathematics,2022,61%,63%,57%,43%,57%,79%,53%,86%,43%,81%,36%,45%,60%,49%,52%,54%
7,Below,Mathematics,2021,55%,57%,42%,29%,41%,73%,69%,78%,60%,63%,28%,28%,45%,33%,37%,38%
7,Reached,Mathematics,2022,31%,34%,29%,18%,28%,50%,32%,69%,14%,61%,22%,23%,32%,22%,24%,26%
7,Reached,Mathematics,2021,27%,29%,18%,10%,15%,45%,31%,63%,40%,50%,18%,11%,19%,12%,13%,14%
7,Above,Mathematics,2022,13%,15%,13%,7%,12%,25%,21%,48%,0%,32%,11%,10%,15%,8%,10%,11%
7,Above,Mathematics,2021,12%,13%,6%,2%,5%,18%,31%,40%,20%,38%,7%,4%,7%,5%,4%,5%
8,Below,Reading,2022,83%,84%,80%,77%,78%,94%,85%,93%,100%,92%,48%,66%,83%,73%,77%,73%
8,Below,Reading,2021,73%,74%,65%,57%,62%,91%,85%,89%,100%,*,34%,46%,68%,52%,59%,57%
8,Reached,Reading,2022,58%,60%,58%,50%,55%,81%,70%,85%,75%,82%,28%,38%,61%,49%,52%,47%
8,Reached,Reading,2021,46%,48%,39%,29%,35%,74%,38%,76%,80%,*,22%,23%,41%,28%,31%,29%
